boundary,cluster_id,kappa_rms,r_kappa_vs_gr
reflective,Abell2744,0.12245736071985629,-0.05110701651438619
periodic,Abell2744,0.12248077478347448,-0.051063088980450595
reflective,MACS0416,0.13436076679685807,0.07124714759037626
periodic,MACS0416,0.13440672447897903,0.07072045095365108
reflective,MACS1149,0.116591772656704,-0.019812998725120157
periodic,MACS1149,0.11666856520163987,-0.01992369124600322
reflective,AbellS1063,0.1310597036989372,0.025472220077588113
periodic,AbellS1063,0.13111859245494517,0.02505325967604637
reflective,Abell370,0.14511676161811796,0.12012517679019598
periodic,Abell370,0.1451574146004774,0.12013263119577865
