A,B,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,std_kappa_bias,mean_gamma_bias,std_gamma_bias,mean_pearson_kappa,mean_pearson_gamma,max_conservation_error,median_runtime_seconds,n_clusters_with_positive_pearson_kappa,n_clusters_with_positive_pearson_gamma,n_clusters_with_negative_kappa_bias
0.0,0.0,0.08951008530735144,0.08360319633681881,-0.01057957767497121,0.09290241574484291,0.1558016447600129,0.06971014058135759,-0.06234734786221767,0.02147857773703112,-0.028311712667677076,0.03327806377628225,0.11137085030847733,0.05618171664861549,2.220446049250313e-16,0.22772927512414753,5,4,5
0.0,0.25,0.09225521450357994,0.08575210226518742,-0.00962992504559003,0.09525407347198091,0.155512439318976,0.06920760246734897,-0.06236768255799705,0.02146265739813819,-0.029407630989850875,0.03298191486323926,0.10944769610367691,0.056118957735205664,2.220446049250313e-16,0.21425873087719083,5,3,5
0.0,0.5,0.09458271637575731,0.08242904852747251,-0.009290403902590946,0.09525493843840627,0.15550679140404888,0.06887400555359507,-0.0625772018495527,0.02164203443317563,-0.03018714192585606,0.032755481336758825,0.10666717059011928,0.05425021323150393,2.220446049250313e-16,0.215353523963131,5,4,5
0.0,0.75,0.09536188806218775,0.07779683740287248,-0.008186892379307274,0.0905040125664495,0.15595641920996225,0.0688724656256859,-0.0626668859483361,0.021782686267711345,-0.030629024106835507,0.03264703359455735,0.10348487671315092,0.05162982737033297,2.220446049250313e-16,0.21599439694546163,5,4,5
0.0,1.0,0.09682804496549337,0.08316624152533904,-0.0072224109606458,0.0936013586325898,0.1569395388394539,0.06910363905000272,-0.0626510891675203,0.021811092366318334,-0.03075041967516855,0.03263557825760015,0.1005599129900783,0.05128026201602749,2.220446049250313e-16,0.21537523402366787,5,4,5
0.25,0.0,0.0903295344665456,0.08265006883370665,-0.011129362388324026,0.09122001873291216,0.15254581941383763,0.0694083570066765,-0.06197776040347723,0.02132731432620799,-0.029992061501655242,0.0327788306670771,0.1126124225761983,0.0569064568258061,2.220446049250313e-16,0.2188650529133156,5,4,5
0.25,0.25,0.09371154711829864,0.08428771481780253,-0.01058465471685789,0.09394323322104668,0.151742790332408,0.06889777458860827,-0.062021734465538915,0.021333343139699184,-0.031273773943142916,0.03243077549174209,0.11075345694636754,0.05768932442538982,2.220446049250313e-16,0.2296380599727854,5,4,5
0.25,0.5,0.09663756556628612,0.08194249178148096,-0.010105020455167939,0.09461826939152032,0.1513320987083712,0.06856527729826105,-0.062233661939863946,0.021431871621176345,-0.03219791494099597,0.03220645313282777,0.108527123814563,0.05630108514629174,2.220446049250313e-16,0.21644470700994134,5,4,5
0.25,0.75,0.09796155710881677,0.07872056833403353,-0.008877067373154735,0.0913204366290334,0.15139652658968117,0.06851317332554165,-0.062313085565625724,0.02157286033018822,-0.03284475544897297,0.03204385449600113,0.105148037813631,0.05501152080661529,2.220446049250313e-16,0.22859426692593843,5,4,5
0.25,1.0,0.09938604250489944,0.08252222366150531,-0.008110950413285892,0.093006896750159,0.15180406283614806,0.06863222698494434,-0.062328619007963625,0.021566000642158484,-0.03316620310865596,0.03196635275020907,0.10171213717657399,0.054867024955720226,2.220446049250313e-16,0.21702307800296694,5,4,5
0.5,0.0,0.09089080802337796,0.08210848996683126,-0.01205004750585239,0.0898263440426586,0.149272039667449,0.06911509270025291,-0.06158435682097292,0.0212065374594481,-0.031663683863205824,0.032263544459048166,0.11415664368350846,0.05776202752316485,2.220446049250313e-16,0.22806744603440166,5,4,5
0.5,0.25,0.09486178614657736,0.08329163270796348,-0.011185058535333579,0.09236002266979108,0.14819563384839374,0.06863931901325475,-0.06170864806162074,0.021243683689856966,-0.0330479860922552,0.03192911406677457,0.11231608464936911,0.05892703232444629,2.220446049250313e-16,0.2256429489934817,5,4,5
0.5,0.5,0.09843113603904245,0.08146672792884257,-0.01052239492574412,0.09322332125156427,0.1473256267938498,0.06829737196169292,-0.06185999421365462,0.021291324335075756,-0.03414273789499203,0.031662258697846786,0.10979634832165572,0.059074813639891796,2.220446049250313e-16,0.23165513505227864,5,4,5
0.5,0.75,0.10030745850029038,0.07927020825755088,-0.009639476266153146,0.09163669346407986,0.14689952132130984,0.06819790856987201,-0.06194011357728581,0.021317616433726844,-0.0350118650819481,0.03143582378313377,0.10651349650722516,0.05911080863333375,2.220446049250313e-16,0.22597196092829108,5,4,5
0.5,1.0,0.10263716769391093,0.08288280686939228,-0.008719353975235437,0.09291109107068257,0.14679587783664844,0.06822266008916693,-0.06204269560535373,0.021319628728136232,-0.03550413512931076,0.03130745985025255,0.10369624340261215,0.05906528864421483,2.220446049250313e-16,0.23120623407885432,5,4,5
0.75,0.0,0.09200842623299027,0.08160560171375984,-0.0123537271865465,0.08841227100262661,0.14624748694044007,0.06883915716914775,-0.06124470678045757,0.02112684899077474,-0.03323083078629223,0.03179359030807141,0.11574315448299988,0.05871209730827165,2.220446049250313e-16,0.22657946310937405,5,5,5
0.75,0.25,0.09674719370193754,0.08279440242650882,-0.011836914503494124,0.09079224586056549,0.14477238246683238,0.06842801088771236,-0.06133179111633186,0.021129628426120473,-0.034793644363054696,0.03142761525710895,0.11425657098107807,0.060733829473734756,2.220446049250313e-16,0.2315306249074638,5,4,5
0.75,0.5,0.101069422933501,0.08177194157488912,-0.011102212871944567,0.0918850587040878,0.1435544269753563,0.06807469459378424,-0.06154269504564969,0.02114345566334373,-0.03605478725877069,0.0311237971177641,0.11148416320247578,0.06193126543372364,2.220446049250313e-16,0.23366836993955076,5,4,5
0.75,0.75,0.10314950352518469,0.08072730892393805,-0.010537846761682535,0.09255007367015367,0.14256823926258053,0.06790154865033624,-0.06159246734641235,0.02108044643327518,-0.03702539149887564,0.0308679412296605,0.10887496423079215,0.06256825806237903,2.220446049250313e-16,0.23102548299357295,5,4,5
