A,B,observed_pearson_kappa,observed_ssim_kappa,observed_kappa_bias,expected_additive_pearson_kappa,expected_additive_ssim_kappa,expected_additive_kappa_bias,synergy_pearson_kappa,synergy_ssim_kappa,synergy_kappa_bias,synergy_classification
0.0,0.0,0.08951008530735144,-0.01057957767497121,-0.06234734786221767,0.08951008530735144,-0.01057957767497121,-0.06234734786221767,0.0,0.0,0.0,boundary
0.0,0.25,0.09225521450357994,-0.00962992504559003,-0.06236768255799705,0.09225521450357994,-0.00962992504559003,-0.06236768255799705,0.0,0.0,0.0,boundary
0.0,0.5,0.09458271637575731,-0.009290403902590946,-0.0625772018495527,0.09458271637575731,-0.009290403902590946,-0.0625772018495527,0.0,0.0,0.0,boundary
0.0,0.75,0.09536188806218775,-0.008186892379307274,-0.0626668859483361,0.09536188806218775,-0.008186892379307274,-0.0626668859483361,0.0,0.0,0.0,boundary
0.0,1.0,0.09682804496549337,-0.0072224109606458,-0.0626510891675203,0.09682804496549337,-0.0072224109606458,-0.0626510891675203,0.0,0.0,0.0,boundary
0.25,0.0,0.0903295344665456,-0.011129362388324026,-0.06197776040347723,0.0903295344665456,-0.011129362388324026,-0.06197776040347723,0.0,0.0,0.0,boundary
0.25,0.25,0.09371154711829864,-0.01058465471685789,-0.062021734465538915,0.09307466366277412,-0.010179709758942845,-0.06199809509925662,0.0006368834555245256,-0.000404944957915045,-2.363936628229507e-05,synergistic
0.25,0.5,0.09663756556628612,-0.010105020455167939,-0.062233661939863946,0.09540216553495146,-0.009840188615943761,-0.062207614390812266,0.0012354000313346686,-0.0002648318392241781,-2.6047549051680385e-05,synergistic
0.25,0.75,0.09796155710881677,-0.008877067373154735,-0.062313085565625724,0.09618133722138189,-0.00873667709266009,-0.06229729848959566,0.0017802198874348751,-0.00014039028049464553,-1.5787076030067404e-05,synergistic
0.25,1.0,0.09938604250489944,-0.008110950413285892,-0.062328619007963625,0.09764749412468754,-0.0077721956739986164,-0.06228150170877986,0.0017385483802118962,-0.00033875473928727563,-4.7117299183767336e-05,synergistic
0.5,0.0,0.09089080802337796,-0.01205004750585239,-0.06158435682097292,0.09089080802337796,-0.01205004750585239,-0.06158435682097292,0.0,0.0,0.0,boundary
0.5,0.25,0.09486178614657736,-0.011185058535333579,-0.06170864806162074,0.09363593721960645,-0.011100394876471208,-0.06160469151675231,0.0012258489269709183,-8.466365886237136e-05,-0.00010395654486843042,synergistic
0.5,0.5,0.09843113603904245,-0.01052239492574412,-0.06185999421365462,0.09596343909178384,-0.010760873733472127,-0.06181421080830796,0.0024676969472586102,0.00023847880772800804,-4.5783405346666584e-05,synergistic
0.5,0.75,0.10030745850029038,-0.009639476266153146,-0.06194011357728581,0.09674261077821428,-0.009657362210188453,-0.06190389490709135,0.0035648477220761032,1.7885944035306994e-05,-3.621867019446001e-05,synergistic
0.5,1.0,0.10263716769391093,-0.008719353975235437,-0.06204269560535373,0.09820876768151987,-0.00869288079152698,-0.06188809812627555,0.004428400012391059,-2.647318370845725e-05,-0.00015459747907817928,synergistic
0.75,0.0,0.09200842623299027,-0.0123537271865465,-0.06124470678045757,0.09200842623299027,-0.0123537271865465,-0.06124470678045757,0.0,0.0,0.0,boundary
0.75,0.25,0.09674719370193754,-0.011836914503494124,-0.06133179111633186,0.09475355542921876,-0.011404074557165321,-0.061265041476236945,0.001993638272718784,-0.0004328399463288026,-6.674964009491247e-05,synergistic
0.75,0.5,0.101069422933501,-0.011102212871944567,-0.06154269504564969,0.09708105730139616,-0.011064553414166234,-0.061474560767792605,0.003988365632104848,-3.765945777833325e-05,-6.813427785708204e-05,synergistic
0.75,0.75,0.10314950352518469,-0.010537846761682535,-0.06159246734641235,0.09786022898782659,-0.009961041890882566,-0.061564244866575996,0.005289274537358099,-0.0005768048707999688,-2.8222479836352565e-05,synergistic
0.75,1.0,0.10607711867924711,-0.009595366812822694,-0.06164194489093722,0.09932638589113219,-0.00899656047222109,-0.061548448085760196,0.00675073278811493,-0.0005988063406016046,-9.349680517702075e-05,synergistic
1.0,0.0,0.09346934011095223,-0.012931028445331597,-0.0608517029498576,0.09346934011095223,-0.012931028445331597,-0.0608517029498576,0.0,0.0,0.0,boundary
1.0,0.25,0.098548141742689,-0.012417348997147198,-0.06099057001430015,0.09621446930718075,-0.011981375815950414,-0.06087203764563699,0.0023336724355082494,-0.00043597318119678423,-0.00011853236866316008,synergistic
1.0,0.5,0.10339683814108096,-0.01173258724612844,-0.061180008043671144,0.09854197117935809,-0.011641854672951334,-0.06108155693719264,0.004854866961722867,-9.073257317710609e-05,-9.845110647850597e-05,synergistic
1.0,0.75,0.10600416397058454,-0.011481538454631441,-0.06123711082410188,0.09932114286578853,-0.010538343149667659,-0.06117124103597603,0.006683021104796016,-0.0009431953049637825,-6.586978812585242e-05,synergistic
1.0,1.0,0.10927404085768974,-0.01054439025858125,-0.061287846869200246,0.10078729976909417,-0.009573861731006186,-0.06115544425516023,0.008486741088595567,-0.0009705285275750635,-0.00013240261404001696,synergistic
