family_number,family_code,family_name,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error
1,F1,Instantaneous Constitutive Response,Abell2744,Abell 2744,0.014001283242230276,0.08948461822239671,-0.010579577674971223,0.10079111678948752,0.1558016447600129,0.06082155109478466,-0.0593922726988053,0.001552504461507001,0.23568600800354034,2.220446049250313e-16
2,F2,Relaxation Constitutive Law,Abell2744,Abell 2744,0.010784964201872567,0.08915855333971705,-0.008658476033832505,0.10145810166032929,0.1440136913659287,0.05700096456563936,-0.05803169344565646,-0.005881860694490425,0.24891910899896175,2.220446049250313e-16
3,F3,Local Constitutive Evolution,Abell2744,Abell 2744,-0.009352786380881653,0.12319570535421608,-0.0011314727729403403,0.1344896419043335,0.14066419456178833,0.053657620701162756,-0.0543094817537699,-0.006593059564584707,0.24705592601094395,2.220446049250313e-16
4,F4,Constitutive Energy Functional,Abell2744,Abell 2744,0.0005349404770596592,0.10867183271549084,-0.004449900069447047,0.1204499446240795,0.14616203912727369,0.056221175438909934,-0.056355345093757205,-0.0036366992676616894,0.2478193569695577,2.220446049250313e-16
5,F5,Gradient-Driven Constitutive Evolution,Abell2744,Abell 2744,0.013055262499543824,0.09348119905102938,-0.010115451633851684,0.10430496850040939,0.1556703526970452,0.060859408571986094,-0.05918983709651274,0.001292238876888822,0.24640847591217607,2.220446049250313e-16
6,F6,Relaxation + Neighbour Evolution,Abell2744,Abell 2744,0.003145545006427166,0.09963634518792591,-0.0051899129688106616,0.1115224563818101,0.13976981963971621,0.05526601224592572,-0.05630646792539067,-0.00818206002084749,0.2478265679674223,2.220446049250313e-16
7,F7,Variational Constitutive Law,Abell2744,Abell 2744,0.004842184828357159,0.0989067551324306,-0.005527211914863882,0.11018541489647003,0.13583571665840352,0.054563427267970914,-0.05611960949289917,-0.010850590677613521,0.2501451709540561,2.220446049250313e-16
1,F1,Instantaneous Constitutive Response,MACS0416,MACS J0416,0.018967012754256992,0.117454428622589,0.00036284712828226834,0.1267427439185498,0.18596014429000082,0.06527636650253028,-0.09848896238078059,-0.012579496017368448,0.23276598390657455,2.220446049250313e-16
2,F2,Relaxation Constitutive Law,MACS0416,MACS J0416,0.013689985549862286,0.1172545404027604,0.00025872455120492366,0.12686611557177296,0.17589239283853086,0.06362452815140629,-0.09859217598852334,-0.020042832365287228,0.247939447988756,2.220446049250313e-16
3,F3,Local Constitutive Evolution,MACS0416,MACS J0416,0.011143409542934787,0.1203367364799689,-0.00022437825174625577,0.13044770164794844,0.17129541388445083,0.06141801423381634,-0.09983229003250699,-0.022314443748642672,0.24735650699585676,2.220446049250313e-16
4,F4,Constitutive Energy Functional,MACS0416,MACS J0416,0.014408979298592486,0.11811443015337313,5.801299301236248e-05,0.1286383260569043,0.17664946914188995,0.06275476298740706,-0.09910749255118952,-0.018702039375926634,0.24791649798862636,2.220446049250313e-16
5,F5,Gradient-Driven Constitutive Evolution,MACS0416,MACS J0416,0.020403951923329826,0.1187099125685334,0.00032454354281966275,0.1278418566540165,0.18588203671779674,0.06531422659462154,-0.09860380939015108,-0.012862196192184427,0.24893585895188153,2.220446049250313e-16
6,F6,Relaxation + Neighbour Evolution,MACS0416,MACS J0416,0.011843736766562325,0.11689300462582698,0.00013314249373764733,0.12621772495949393,0.17173169533880925,0.06290460581957841,-0.09888110703032872,-0.022858602093420402,0.2503678119974211,2.220446049250313e-16
7,F7,Variational Constitutive Law,MACS0416,MACS J0416,0.010567804960396974,0.11664906277755548,0.00011843464032718214,0.1250129285867793,0.16859411848182593,0.06287952630962056,-0.09889278595318284,-0.025324306919757247,0.24947584990877658,2.220446049250313e-16
1,F1,Instantaneous Constitutive Response,MACS1149,MACS J1149,0.23902221907516188,0.007503044877968537,0.10812500268698974,0.012020953045169647,0.08559205111477881,0.11556336632138198,-0.03243890908757913,-0.09306476324719898,0.2329593850299716,2.220446049250313e-16
2,F2,Relaxation Constitutive Law,MACS1149,MACS J1149,0.24434092150993839,0.0059572358271821795,0.09431558173446644,0.010597849319119987,0.08339328991592874,0.1173610432666141,-0.03373561421087778,-0.09581678169608768,0.24868282000534236,2.220446049250313e-16
3,F3,Local Constitutive Evolution,MACS1149,MACS J1149,0.20770710597965994,-0.05127515533245942,0.07420163904587712,-0.0012456141718542846,0.08477997096433833,0.11696421686217166,-0.034364110610045864,-0.09500042343101926,0.24632628506515175,2.220446049250313e-16
4,F4,Constitutive Energy Functional,MACS1149,MACS J1149,0.223220107956392,-0.023232941141359556,0.08753816237695061,0.004346187742191742,0.08484892579356097,0.11647532180979732,-0.03366770959031409,-0.09437529222892382,0.2469229759881273,2.220446049250313e-16
5,F5,Gradient-Driven Constitutive Evolution,MACS1149,MACS J1149,0.23835717496445954,0.007644875322408831,0.10759781515390508,0.012022529666844526,0.08559853854859366,0.11563234367606605,-0.032460658382345416,-0.09315547266845287,0.2453091839561239,2.220446049250313e-16
6,F6,Relaxation + Neighbour Evolution,MACS1149,MACS J1149,0.23519604835383473,-0.007825766111033706,0.0843524483461746,0.007509404380695566,0.08325118334377753,0.11776837057999799,-0.034276519199357425,-0.0963772479940123,0.2438561620656401,2.220446049250313e-16
7,F7,Variational Constitutive Law,MACS1149,MACS J1149,0.23666708845348552,-0.005861977836741049,0.08106425131846015,0.0076864334113538775,0.0825869391216524,0.11846454602741809,-0.03453706918002843,-0.0973960333033063,0.24431915301829576,2.220446049250313e-16
1,F1,Instantaneous Constitutive Response,AbellS1063,Abell S1063,0.08951008530735127,0.08360319633681876,-0.03831386987622776,0.09290241574484286,0.1353950414190409,0.06971014058135759,-0.05393297259251046,-0.021998981938958877,0.22771795699372888,2.220446049250313e-16
2,F2,Relaxation Constitutive Law,AbellS1063,Abell S1063,0.08821997833857811,0.08267546060112206,-0.03506520157960835,0.0881401846374276,0.12524427674576716,0.06843368863085152,-0.05245462951769416,-0.02780419463104557,0.24439454299863428,2.220446049250313e-16
3,F3,Local Constitutive Evolution,AbellS1063,Abell S1063,0.09371485836960462,0.07930847563949507,-0.039683926424878835,0.08524817335493322,0.12088897606109016,0.06637543211818867,-0.05310344535431674,-0.027942795180073827,0.2421424089698121,2.220446049250313e-16
4,F4,Constitutive Energy Functional,AbellS1063,Abell S1063,0.09052643448086425,0.0794492317679557,-0.03889808950363385,0.08602710724251698,0.12636088441352739,0.06768235194230574,-0.05347339858815873,-0.025793950795414928,0.2447378629585728,2.220446049250313e-16
5,F5,Gradient-Driven Constitutive Evolution,AbellS1063,Abell S1063,0.0903745349389678,0.084988914478803,-0.03873275435548998,0.09420468122176491,0.135391276139202,0.06968605792486056,-0.05397147144309374,-0.02200836179523999,0.24564313504379243,2.220446049250313e-16
6,F6,Relaxation + Neighbour Evolution,AbellS1063,Abell S1063,0.08868194428014693,0.08271101596125138,-0.03519268357134033,0.08702657661001079,0.12128101249050835,0.0677350489295501,-0.05224835357408611,-0.0294995059280247,0.24314974097069353,2.220446049250313e-16
7,F7,Variational Constitutive Law,AbellS1063,Abell S1063,0.08857244862827136,0.08410841631246803,-0.03366635923458562,0.08691697641848635,0.11795640809478003,0.06767988221010532,-0.05166017955808444,-0.03161723226342777,0.2439181118970737,2.220446049250313e-16
1,F1,Instantaneous Constitutive Response,Abell370,Abell 370,0.1953536511633863,-0.017136704816695908,-0.039809785029579534,0.012167844121246081,0.17914589435421172,0.09173287793351412,-0.06748362255141288,-0.015467826596366073,0.22691096598282456,2.220446049250313e-16
