cluster_id,step_index,propagation_distance,centroid_plus_spread_energy_identity_relative_rms_error,quadrature_total_angle_vs_prior_rms_angle_relative_rms_error,centroid_plus_spread_fraction_max_abs_error,energy_fraction_min,energy_fraction_max,energy_fraction_bounds_pass,energy_fraction_defined_count,zero_total_fraction_undefined_pass,nonzero_total_fraction_defined_pass,second_moment_tensor_decomposition_relative_rms_error,second_moment_tensor_frobenius_identity_relative_rms_error,centroid_energy_vs_observed_pearson,centroid_energy_vs_observed_spearman,centroid_energy_vs_observed_count,centroid_energy_vs_los_mag_pearson,centroid_energy_vs_los_mag_spearman,centroid_energy_vs_los_mag_count,centroid_energy_rms,spread_energy_vs_observed_pearson,spread_energy_vs_observed_spearman,spread_energy_vs_observed_count,spread_energy_vs_los_mag_pearson,spread_energy_vs_los_mag_spearman,spread_energy_vs_los_mag_count,spread_energy_rms,total_angular_second_moment_energy_vs_observed_pearson,total_angular_second_moment_energy_vs_observed_spearman,total_angular_second_moment_energy_vs_observed_count,total_angular_second_moment_energy_vs_los_mag_pearson,total_angular_second_moment_energy_vs_los_mag_spearman,total_angular_second_moment_energy_vs_los_mag_count,total_angular_second_moment_energy_rms,centroid_angle_mag_vs_observed_pearson,centroid_angle_mag_vs_observed_spearman,centroid_angle_mag_vs_observed_count,centroid_angle_mag_vs_los_mag_pearson,centroid_angle_mag_vs_los_mag_spearman,centroid_angle_mag_vs_los_mag_count,centroid_angle_mag_rms,spread_angle_rms_vs_observed_pearson,spread_angle_rms_vs_observed_spearman,spread_angle_rms_vs_observed_count,spread_angle_rms_vs_los_mag_pearson,spread_angle_rms_vs_los_mag_spearman,spread_angle_rms_vs_los_mag_count,spread_angle_rms_rms,quadrature_total_angle_mag_vs_observed_pearson,quadrature_total_angle_mag_vs_observed_spearman,quadrature_total_angle_mag_vs_observed_count,quadrature_total_angle_mag_vs_los_mag_pearson,quadrature_total_angle_mag_vs_los_mag_spearman,quadrature_total_angle_mag_vs_los_mag_count,quadrature_total_angle_mag_rms,centroid_energy_fraction_vs_observed_pearson,centroid_energy_fraction_vs_observed_spearman,centroid_energy_fraction_vs_observed_count,centroid_energy_fraction_vs_los_mag_pearson,centroid_energy_fraction_vs_los_mag_spearman,centroid_energy_fraction_vs_los_mag_count,centroid_energy_fraction_rms,spread_energy_fraction_vs_observed_pearson,spread_energy_fraction_vs_observed_spearman,spread_energy_fraction_vs_observed_count,spread_energy_fraction_vs_los_mag_pearson,spread_energy_fraction_vs_los_mag_spearman,spread_energy_fraction_vs_los_mag_count,spread_energy_fraction_rms,centroid_minus_spread_fraction_balance_vs_observed_pearson,centroid_minus_spread_fraction_balance_vs_observed_spearman,centroid_minus_spread_fraction_balance_vs_observed_count,centroid_minus_spread_fraction_balance_vs_los_mag_pearson,centroid_minus_spread_fraction_balance_vs_los_mag_spearman,centroid_minus_spread_fraction_balance_vs_los_mag_count,centroid_minus_spread_fraction_balance_rms,centroid_tensor_frobenius_mag_vs_observed_pearson,centroid_tensor_frobenius_mag_vs_observed_spearman,centroid_tensor_frobenius_mag_vs_observed_count,centroid_tensor_frobenius_mag_vs_los_mag_pearson,centroid_tensor_frobenius_mag_vs_los_mag_spearman,centroid_tensor_frobenius_mag_vs_los_mag_count,centroid_tensor_frobenius_mag_rms,spread_tensor_frobenius_mag_vs_observed_pearson,spread_tensor_frobenius_mag_vs_observed_spearman,spread_tensor_frobenius_mag_vs_observed_count,spread_tensor_frobenius_mag_vs_los_mag_pearson,spread_tensor_frobenius_mag_vs_los_mag_spearman,spread_tensor_frobenius_mag_vs_los_mag_count,spread_tensor_frobenius_mag_rms,full_second_moment_tensor_frobenius_mag_vs_observed_pearson,full_second_moment_tensor_frobenius_mag_vs_observed_spearman,full_second_moment_tensor_frobenius_mag_vs_observed_count,full_second_moment_tensor_frobenius_mag_vs_los_mag_pearson,full_second_moment_tensor_frobenius_mag_vs_los_mag_spearman,full_second_moment_tensor_frobenius_mag_vs_los_mag_count,full_second_moment_tensor_frobenius_mag_rms,centroid_only_relative_tensor_residual_vs_observed_pearson,centroid_only_relative_tensor_residual_vs_observed_spearman,centroid_only_relative_tensor_residual_vs_observed_count,centroid_only_relative_tensor_residual_vs_los_mag_pearson,centroid_only_relative_tensor_residual_vs_los_mag_spearman,centroid_only_relative_tensor_residual_vs_los_mag_count,centroid_only_relative_tensor_residual_rms,spread_only_relative_tensor_residual_vs_observed_pearson,spread_only_relative_tensor_residual_vs_observed_spearman,spread_only_relative_tensor_residual_vs_observed_count,spread_only_relative_tensor_residual_vs_los_mag_pearson,spread_only_relative_tensor_residual_vs_los_mag_spearman,spread_only_relative_tensor_residual_vs_los_mag_count,spread_only_relative_tensor_residual_rms,centroid_spread_tensor_cosine_vs_observed_pearson,centroid_spread_tensor_cosine_vs_observed_spearman,centroid_spread_tensor_cosine_vs_observed_count,centroid_spread_tensor_cosine_vs_los_mag_pearson,centroid_spread_tensor_cosine_vs_los_mag_spearman,centroid_spread_tensor_cosine_vs_los_mag_count,centroid_spread_tensor_cosine_rms
Abell2744,0,0.0,0.0,0.0,0.0,nan,nan,True,0,True,True,0.0,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan
Abell2744,1,0.03,1.1080731546453714e-16,1.3075176663335853e-16,6.661338147750939e-16,0.00028619989908048124,0.9997138001009197,True,1024,True,True,1.826098091058593e-16,1.1942069013735096e-16,nan,0.5729118982905371,1024,nan,0.7089102174379515,1024,1.3817732228629466e-11,nan,0.6549965131249553,1024,nan,0.6802951997353551,1024,1.481522327042941e-11,nan,0.7207834740004292,1024,nan,0.8069474979436378,1024,2.6807150254321974e-11,0.6687825249353404,0.5729118982905371,1024,0.7779428178013827,0.7089102174379515,1024,2.2397156138718054e-06,0.7180324135090029,0.6549965131249553,1024,0.7563187110860671,0.6802951997353551,1024,2.3504622275980795e-06,0.7839156908344725,0.7207834740004292,1024,0.8605194956191419,0.8069474979436378,1024,3.2466904247843654e-06,0.018092129024239286,0.012599968260496388,1024,0.10340983987176433,0.1282112778055933,1024,0.5154296770374054,-0.01809212902423924,-0.012599968260496388,1024,-0.1034098398717643,-0.1282112778055933,1024,0.6160134504446637,0.01809212902423927,0.012599968260496388,1024,0.10340983987176432,0.1282112778055933,1024,0.5387769911561261,nan,0.5729118982905371,1024,nan,0.7089102174379515,1024,1.3817732228629466e-11,nan,0.6522069125062585,1024,nan,0.6821093917638223,1024,1.2484676247790533e-11,nan,0.7132675148415707,1024,nan,0.8019455198126029,1024,2.2794389613200708e-11,-0.006092859051470277,0.00023183248694657035,1024,-0.08470090483193947,-0.10428247487661826,1024,0.6506234619159261,0.03139619599264377,0.030543147843501896,1024,0.11696662455971368,0.14909489888062372,1024,0.5777532529863754,-0.10499373007617757,-0.11076346917244832,1024,-0.10005956521980991,-0.13238356966597525,1024,0.6734915624404416
Abell2744,5,0.15,1.5582732741974215e-16,1.2464040027135463e-16,8.881784197001252e-16,0.00040461098735647383,0.9995953890126437,True,1024,True,True,2.2521416868219435e-16,2.957263949822482e-16,nan,0.5729624803304485,1024,nan,0.7089653145340105,1024,3.454187692006434e-10,nan,0.6532248006222731,1024,nan,0.6797785052034905,1024,3.703268424926096e-10,nan,0.7199439417781275,1024,nan,0.8067223486338603,1024,6.70098747687425e-10,0.6687465943186771,0.5729624803304485,1024,0.7777703535920987,0.7089653145340105,1024,1.1197203570706505e-05,0.7174458148666846,0.6532248006222731,1024,0.7561271844103836,0.6797785052034905,1024,1.1742388653698882e-05,0.7835102124072284,0.7199439417781275,1024,0.8602715989677665,0.8067223486338603,1024,1.622532154067705e-05,0.01804701385451039,0.012815517488019455,1024,0.10242096593434705,0.12759787837064587,1024,0.5162570984205628,-0.018047013854510394,-0.012815517488019455,1024,-0.10242096593434703,-0.12759787837064587,1024,0.6153452605197064,0.018047013854510394,0.012815517488019455,1024,0.10242096593434705,0.12759787837064587,1024,0.5388342626702279,nan,0.5729624803304485,1024,nan,0.7089653145340105,1024,3.454187692006434e-10,nan,0.650586901419784,1024,nan,0.681468231439096,1024,3.120968602926119e-10,nan,0.7124952278985767,1024,nan,0.8016494483584865,1024,5.69824937978307e-10,-0.005918875722613437,-0.00021020715614047635,1024,-0.08358313726054968,-0.10393364208568771,1024,0.6498680271555869,0.031327280263981606,0.03089177946856448,1024,0.11603123997150178,0.14865485972033474,1024,0.5784894455900054,-0.10382358924686229,-0.10790125885129818,1024,-0.10046736475419987,-0.13067540322580645,1024,0.6740711641315558
Abell2744,10,0.3,1.1865311797136063e-16,1.1168431847894304e-16,7.771561172376096e-16,0.00043642497612751945,0.9995635750238724,True,1024,True,True,2.0505958409673513e-16,3.9577154513824584e-16,nan,0.5729391339138832,1024,nan,0.7090213839317645,1024,1.3816578514711512e-09,nan,0.653229908000143,1024,nan,0.6797523312888921,1024,1.4813255410391193e-09,nan,0.7199532177598169,1024,nan,0.8067570609219655,1024,2.6803980835350764e-09,0.6687201560087161,0.5729391339138832,1024,0.7777649717958696,0.7090213839317645,1024,2.2393425911488912e-05,0.7174332349572562,0.653229908000143,1024,0.7561207931399526,0.6797523312888921,1024,2.3485188177337427e-05,0.783488153822141,0.7199532177598169,1024,0.8602622822420932,0.8067570609219655,1024,3.245026329289629e-05,0.01823345855866536,0.01313962922895358,1024,0.10266384499983666,0.12803329071597166,1024,0.5161616427197583,-0.01823345855866537,-0.01313962922895358,1024,-0.10266384499983666,-0.12803329071597166,1024,0.6154357688628044,0.01823345855866537,0.01313962922895358,1024,0.10266384499983666,0.12803329071597166,1024,0.5388581019357707,nan,0.5729391339138832,1024,nan,0.7090213839317645,1024,1.381657851471151e-09,nan,0.6505856050175238,1024,nan,0.6814682426149775,1024,1.2484017174040694e-09,nan,0.7124893605607611,1024,nan,0.8016963535333667,1024,2.279306831853068e-09,-0.00617047994644389,-0.0006533755632644303,1024,-0.08385512679165184,-0.10429825522137186,1024,0.6499367347518787,0.0314718618665086,0.031131882107860668,1024,0.11623739176280365,0.14900226199842645,1024,0.5783935392405978,-0.10338233048976256,-0.10740830189185323,1024,-0.10037970215436658,-0.1304569147414348,1024,0.6741436693248035
Abell2744,20,0.6,1.641058739846396e-16,1.2077060272693196e-16,6.661338147750939e-16,0.0004537733129345787,0.9995462266870654,True,1024,True,True,1.9554659838600517e-16,2.652655467513525e-16,nan,0.5728704804734998,1024,nan,0.708967404423861,1024,5.5266082898454014e-09,nan,0.6532966391888992,1024,nan,0.6798223146591803,1024,5.925349785461276e-09,nan,0.7199199024569058,1024,nan,0.8067562003790859,1024,1.072162000643725e-08,0.6686980901013333,0.5728704804734998,1024,0.7777484842995123,0.708967404423861,1024,4.478656996322455e-05,0.7174331602832107,0.6532966391888992,1024,0.7561270374485792,0.6798223146591803,1024,4.697086142283957e-05,0.7834792511058711,0.7199199024569058,1024,0.860256062051896,0.8067562003790859,1024,6.490068313873442e-05,0.018250442061941312,0.013143082576353623,1024,0.1027290931824656,0.12818197464415992,1024,0.5161422266258927,-0.018250442061941347,-0.013143082576353623,1024,-0.10272909318246563,-0.12818197464415992,1024,0.6154730647881014,0.018250442061941333,0.013143082576353623,1024,0.10272909318246563,0.12818197464415992,1024,0.5389060986591131,nan,0.5728704804734998,1024,nan,0.708967404423861,1024,5.5266082898454014e-09,nan,0.6506062915742794,1024,nan,0.6815202439918461,1024,4.993644453769222e-09,nan,0.7124929144910951,1024,nan,0.8017130055968815,1024,9.117243358934258e-09,-0.0061985466434262716,-0.0006468376725556112,1024,-0.0839384018047164,-0.10446628460052929,1024,0.6499725410476958,0.03147200606134237,0.031057394857306346,1024,0.11627506761233963,0.1489894991416923,1024,0.5783825498143509,-0.10354023880890043,-0.10761292110721694,1024,-0.10052608556775598,-0.1306811364530434,1024,0.6741725620042948
Abell2744,40,1.2,1.8338925749019712e-16,1.154270663743242e-16,7.771561172376096e-16,0.00046280874959598716,0.9995371912504037,True,1024,True,True,1.7319788184724028e-16,3.39829737639073e-16,nan,0.5728613274265074,1024,nan,0.7090127337994421,1024,2.210639848906301e-08,nan,0.6532847927544525,1024,nan,0.6798076742543452,1024,2.370150260082485e-08,0.6980752380514399,0.7199151080037194,1024,0.7836968108073766,0.8067562562584937,1024,4.2886526862419056e-08,0.6686988789812965,0.5728613274265074,1024,0.7777505070359986,0.7090127337994421,1024,8.957234046905936e-05,0.7174295319918773,0.6532847927544525,1024,0.7561229976548333,0.6798076742543452,1024,9.394199491781912e-05,0.7834732080950181,0.7199151080037194,1024,0.8602540749497187,0.8067562562584937,1024,0.00012980101149931243,0.018235810214432772,0.013126877548100994,1024,0.1027300433146761,0.12820912086045347,1024,0.5161378957078031,-0.01823581021443276,-0.013126877548100994,1024,-0.10273004331467607,-0.12820912086045347,1024,0.6154722642836756,0.018235810214432765,0.013126877548100994,1024,0.10273004331467607,0.12820912086045347,1024,0.5388959741696978,nan,0.5728613274265074,1024,nan,0.7090127337994421,1024,2.210639848906301e-08,nan,0.6506297609255418,1024,nan,0.6815135272870324,1024,1.9974633393934805e-08,0.7008026614393431,0.7125055544131321,1024,0.7854760014735781,0.8017287747657535,1024,3.646900503804478e-08,-0.0061805871534234965,-0.0006518221157284887,1024,-0.08393424029390975,-0.10451225100135898,1024,0.6499694723060356,0.03145380108509146,0.03108973785852228,1024,0.11627212906425739,0.14906918317716902,1024,0.5783793915250256,-0.103462384457413,-0.10752966078964309,1024,-0.10052243447056088,-0.13065377789500035,1024,0.6741893691647778
Abell2744,80,2.4,2.2051211705686249e-16,1.126378845974906e-16,6.661338147750939e-16,0.00046741691698539225,0.999532583083015,True,1024,True,True,2.1696586162322805e-16,1.6404226382988118e-16,0.6432633488701386,0.572912401205207,1024,0.7489188890494614,0.7090461943888134,1024,8.84256223810444e-08,0.6491871140884775,0.65328981072527,1024,0.7037567750531878,0.6798348987018096,1024,9.480630583534671e-08,0.6980741511478837,0.7199167732100709,1024,0.7836958335695543,0.8067695667334239,1024,1.7154645153721367e-07,0.6686989705750153,0.572912401205207,1024,0.7777448319643213,0.7090461943888134,1024,0.00017914530416104424,0.7174265220707858,0.65328981072527,1024,0.7561261560293997,0.6798348987018096,1024,0.00018788425252439718,0.7834714118265218,0.7199167732100709,1024,0.8602523493911883,0.8067695667334239,1024,0.0002596026431868607,0.018266794355548115,0.013189283670695945,1024,0.10274167040127678,0.128240648022316,1024,0.5161334120155584,-0.018266794355548097,-0.013189283670695945,1024,-0.10274167040127677,-0.128240648022316,1024,0.6154709056097726,0.018266794355548115,0.013189283670695945,1024,0.1027416704012768,0.128240648022316,1024,0.5388842819213339,0.6432633488701386,0.572912401205207,1024,0.7489188890494614,0.7090461943888134,1024,8.84256223810444e-08,0.6698080093810086,0.6506250223517631,1024,0.7240821692065746,0.6815056594664187,1024,7.989878963620243e-08,0.7008022244097678,0.712505532061369,1024,0.7854752587790378,0.8017315352084973,1024,1.4587633889028974e-07,-0.006222021790674002,-0.0007376417101780989,1024,-0.0839563391874075,-0.10457836751662972,1024,0.6499639113593056,0.03147750356487389,0.031049068825548958,1024,0.11627516452574121,0.14899698698233316,1024,0.578376056124143,-0.10348000595750403,-0.10754145134468207,1024,-0.10055895894502348,-0.13070494108075245,1024,0.6742120323875256
Abell2744,120,3.5999999999999996,1.1412113095371586e-16,1.2314342497515945e-16,6.661338147750939e-16,0.00046896641001505676,0.9995310335899849,True,1024,True,True,1.899450472210293e-16,1.8526580497830957e-16,0.643118830128297,0.5728589469637365,1024,0.7487845558767549,0.7090302687575996,1024,1.989154781433918e-07,0.6490989838299842,0.6532451407267005,1024,0.7036631808041377,0.6797815562191546,1024,2.1328977703331893e-07,0.6979393834434429,0.7199002887847793,1024,0.7835608804383606,0.8067691085222802,1024,3.8592050008067504e-07,0.6686161290352106,0.5728589469637365,1024,0.7776963262424791,0.7090302687575996,1024,0.0002686609243953976,0.7173460519816172,0.6532451407267005,1024,0.7560500906695133,0.6797815562191546,1024,0.00028179133099519814,0.7834035550375466,0.7199002887847793,1024,0.8602013522901614,0.8067691085222802,1024,0.0003893392434895754,0.018224856053273637,0.013090690043630641,1024,0.10270715184546113,0.1281842433481153,1024,0.5161285071020513,-0.01822485605327361,-0.013090690043630641,1024,-0.10270715184546113,-0.1281842433481153,1024,0.6154735136080838,0.018224856053273626,0.013090690043630641,1024,0.10270715184546113,0.1281842433481153,1024,0.5388808435943371,0.643118830128297,0.5728589469637365,1024,0.7487845558767549,0.7090302687575996,1024,1.989154781433918e-07,0.6697165784367182,0.6505826434089121,1024,0.7239828733717872,0.6814986521886847,1024,1.7974595972027334e-07,0.7006537685616667,0.712489338208998,1024,0.7853239084440712,0.801713419104499,1024,3.2816119582494375e-07,-0.006177498835909999,-0.0006730562906802089,1024,-0.08391879518410539,-0.1045370726342894,1024,0.6499693174966629,0.0314729823227612,0.031055941992704384,1024,0.1162741709059422,0.14903119635576853,1024,0.5783793639603307,-0.10358108332463731,-0.1077602304019741,1024,-0.10066011112598588,-0.13091266719118805,1024,0.6741968248335134
Abell2744,159,4.77,2.1606484835209567e-16,1.1972269842017216e-16,8.881784197001252e-16,0.00046972902546344966,0.9995302709745364,True,1024,True,True,2.4570817043974946e-16,6.199704313085961e-16,0.643078394289206,0.5730666171947644,1024,0.7486417464502659,0.7091475261068593,1024,3.489751928927821e-07,0.6488451209702363,0.652949952167227,1024,0.7033840804510109,0.6801059250053644,1024,3.743356968638837e-07,0.697788332999648,0.7197749624490379,1024,0.7833380446194638,0.8067437057435091,1024,6.771697752050724e-07,0.6687991362766816,0.5730666171947644,1024,0.777826929727697,0.7091475261068593,1024,0.0003557501057481416,0.7171143761451128,0.652949952167227,1024,0.7559724075594934,0.6801059250053644,1024,0.00037318369358923056,0.7833627980622625,0.7197749624490379,1024,0.860183308429924,0.8067437057435091,1024,0.0005155814260625713,0.018404561594929387,0.01339740093698591,1024,0.10274051953912228,0.12826603962520564,1024,0.5161595410452083,-0.01840456159492943,-0.01339740093698591,1024,-0.1027405195391223,-0.12826603962520564,1024,0.6153544527277338,0.018404561594929397,0.01339740093698591,1024,0.1027405195391223,0.12826603962520564,1024,0.53866831038005,0.643078394289206,0.5730666171947644,1024,0.7486417464502659,0.7091475261068593,1024,3.489751928927821e-07,0.6694587387835518,0.6501473204706387,1024,0.7236799100633842,0.6814312839746799,1024,3.154459235418091e-07,0.7005423922189653,0.7122971689256848,1024,0.7851264545455426,0.8016594619483585,1024,5.757781944034772e-07,-0.006383809568975566,-0.0010362500894070524,1024,-0.08399709796953062,-0.10464626099706745,1024,0.6498144678138869,0.03165138343758404,0.03128650042915385,1024,0.11627741651662472,0.14904148934267936,1024,0.5784652224496781,-0.10408482843098071,-0.10812886685501752,1024,-0.1007739323233792,-0.13054765172376798,1024,0.6744979400481044
MACS0416,0,0.0,0.0,0.0,0.0,nan,nan,True,0,True,True,0.0,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan
