cluster_id,step_index,propagation_distance,detector_half_range,source_bin_count,source_group_size_min,source_group_size_max,source_max_centroid_vector_error,source_max_covariance_frobenius_error,empirical_covariance_most_negative_eigenvalue,global_centroid_vector_error,global_covariance_frobenius_error,surrogate_moment_parity_pass,r16_empirical_flux,r16_moment_control_flux,r16_flux_relative_error,r16_flux_parity_pass,r16_total_variation_distance,r16_jensen_shannon_divergence_nats,r16_normalized_l2_distance,r16_image_pearson,r16_image_spearman,r16_image_correlation_count,r16_empirical_occupied_bins,r16_moment_control_occupied_bins,r16_occupied_bin_intersection,r32_empirical_flux,r32_moment_control_flux,r32_flux_relative_error,r32_flux_parity_pass,r32_total_variation_distance,r32_jensen_shannon_divergence_nats,r32_normalized_l2_distance,r32_image_pearson,r32_image_spearman,r32_image_correlation_count,r32_empirical_occupied_bins,r32_moment_control_occupied_bins,r32_occupied_bin_intersection,r64_empirical_flux,r64_moment_control_flux,r64_flux_relative_error,r64_flux_parity_pass,r64_total_variation_distance,r64_jensen_shannon_divergence_nats,r64_normalized_l2_distance,r64_image_pearson,r64_image_spearman,r64_image_correlation_count,r64_empirical_occupied_bins,r64_moment_control_occupied_bins,r64_occupied_bin_intersection
Abell2744,0,0.0,0.004813776125530345,1024,64,81,0.0,0.0,0.0,0.0,0.0,True,71289.0,71289.0,0.0,True,0.0,0.0,0.0,1.0,1.0,256,1,1,1,71289.0,71289.0,0.0,True,0.0,0.0,0.0,1.0,1.0,1024,1,1,1,71289.0,71289.0,0.0,True,0.0,0.0,0.0,1.0,1.0,4096,1,1,1
Abell2744,1,0.03,0.004813776125530345,1024,64,81,2.395770963567772e-21,8.573274142796052e-26,-6.058451752097371e-28,4.0252345886613485e-23,8.10942871548592e-28,True,71289.0,71289.0,0.0,True,0.011488448428228742,8.56434953335327e-05,0.0259242812631765,0.9996587112905339,0.9999845002092472,256,4,4,4,71289.0,71289.0,0.0,True,0.011488448428228742,8.56434953335327e-05,0.0259242812631765,0.9996627142286806,0.9999990425903675,1024,4,4,4,71289.0,71289.0,0.0,True,0.011488448428228742,8.56434953335327e-05,0.0259242812631765,0.9996637003342395,0.9999999403371085,4096,4,4,4
Abell2744,5,0.15,0.004813776125530345,1024,64,81,9.583083854271089e-21,2.4987153424860883e-24,-1.2924697071141057e-26,2.6469779601696886e-23,4.569570471892876e-27,True,71289.0,71289.0,0.0,True,0.011320119513529445,8.301899516439818e-05,0.025522177541477342,0.9996692168047013,0.9999845002092472,256,4,4,4,71289.0,71289.0,0.0,True,0.011320119513529445,8.301899516439818e-05,0.025522177541477342,0.9996730965470012,0.9999990425903675,1024,4,4,4,71289.0,71289.0,0.0,True,0.01132011951352946,9.745696802846609e-05,0.025499380745079073,0.9996746559567635,0.894536367291323,4096,4,5,4
Abell2744,10,0.3,0.004813776125530345,1024,64,81,2.710505431213761e-20,4.0523408517554946e-24,-5.169878828456423e-26,5.527052245300474e-22,0.0,True,71289.0,71289.0,0.0,True,0.011221927646621513,7.960362976282276e-05,0.024986204943263594,0.9996829752696392,0.9999845002092472,256,4,4,4,71289.0,71289.0,0.0,True,0.011221927646621528,9.404160262689153e-05,0.024962918238116166,0.9996872994454538,0.8948638131084913,1024,4,5,4,71289.0,71289.0,0.0,True,0.011516503247345329,0.00035777613408408994,0.02464680723613148,0.999696381759165,0.7389399899429883,4096,6,11,6
Abell2744,20,0.6,0.004813776125530345,1024,64,81,2.7939250479261703e-20,2.0926198176006682e-23,-2.0679515313825692e-25,2.117582368135751e-22,4.200029414969435e-25,True,71289.0,71289.0,0.0,True,0.011292064694412894,9.62836047393909e-05,0.025332923784611105,0.9996741228707048,0.8961721995089226,256,4,5,4,71289.0,71289.0,0.0,True,0.011586640295136693,0.00036000347672348774,0.02501964039424443,0.9996861747521161,0.7401176034192405,1024,6,11,6,71289.0,71289.0,0.0,True,0.013283956851688178,0.000997752323196804,0.02388207695321839,0.9997183854437585,0.6610973406479027,4096,15,30,14
Abell2744,40,1.2,0.004813776125530345,1024,64,81,5.515478954935336e-20,2.649561638637561e-23,-1.0339757656912846e-24,1.3559142986170475e-21,2.9245251020114406e-25,True,71289.0,71289.0,0.0,True,0.011544558066461865,0.00035690608475320287,0.02450659416115098,0.9996953823775743,0.7448956967374942,256,6,11,6,71289.0,71289.0,0.0,True,0.013241874623013364,0.0009950298123221706,0.02339954164636278,0.9997290598333745,0.6645282637694986,1024,15,30,14,71289.0,71289.0,0.0,True,0.026764297437192268,0.003171311340357604,0.032166489273220196,0.9994860815927046,0.5746061501701212,4096,30,80,28
Abell2744,80,2.4,0.004813776125530345,1024,64,81,1.0863176909312428e-19,4.801183160236989e-22,-3.308722450212111e-24,2.8410348738639142e-21,5.849050204022881e-25,True,71289.0,71289.0,0.0,True,0.013241874623013364,0.0009969821419800306,0.023778154777779583,0.9997166014805947,0.6788323307081755,256,15,30,14,71289.0,71289.0,0.0,True,0.026764297437192282,0.0031738579118575617,0.03261194494703449,0.9994694554503856,0.584069950559789,1024,30,80,28,71289.0,71289.0,0.0,True,0.0658025782378768,0.0116631693142038,0.07004557638907107,0.9975948967858115,0.5780339245919224,4096,73,213,71
Abell2744,120,3.5999999999999996,0.004813776125530345,1024,64,81,2.42434975903054e-19,8.984141113379144e-22,-6.617444900424222e-24,1.8940232492426095e-21,4.679240163218305e-24,True,71289.0,71289.0,0.0,True,0.02345382878143893,0.0023658927660184115,0.03541958986950708,0.9993650147794255,0.6442837001502282,256,21,57,21,71289.0,71289.0,0.0,True,0.044354669023271454,0.007490120148075777,0.05351455745978041,0.998607178314421,0.6021086583226326,1024,50,143,49,71289.0,71289.0,0.0,True,0.11019932948982311,0.0280393819567829,0.12622194654160457,0.9919733277902996,0.5515598593976697,4096,112,373,110
Abell2744,159,4.77,0.004813776125530345,1024,64,81,2.1726353818624857e-19,9.470116246213047e-22,-1.6543612251060553e-23,4.791541927135544e-21,2.3396200816091525e-24,True,71289.0,71289.0,0.0,True,0.02683443448498365,0.003165461447679655,0.03284535554452819,0.9994497470415713,0.6319352439888302,256,30,78,28,71289.0,71289.0,0.0,True,0.06449802914895708,0.011126869962268443,0.06642894175892354,0.9978504114054787,0.6086591884739447,1024,73,211,71,71289.0,71289.0,0.0,True,0.1320540335816185,0.03636457098889876,0.14521103741958757,0.9893117675891975,0.5680179728862756,4096,170,553,168
MACS0416,0,0.0,0.00505768153094789,1024,64,81,0.0,0.0,0.0,0.0,0.0,True,71289.0,71289.0,0.0,True,0.0,0.0,0.0,1.0,1.0,256,1,1,1,71289.0,71289.0,0.0,True,0.0,0.0,0.0,1.0,1.0,1024,1,1,1,71289.0,71289.0,0.0,True,0.0,0.0,0.0,1.0,1.0,4096,1,1,1
