experiment_label,group,label,steps,step,nphotons,launch_position,launch_direction,max_travel_distance,mean_travel_distance,theoretical_max_distance,pct_domain_visited,mean_C_visited,mean_grad_visited,max_grad_overall,total_visits,rms_kappa,rms_gamma1,rms_gamma2,rms_gamma,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,max_conservation_error,pipeline_runtime_seconds
A_steps::steps=80,A_steps,steps=80,80,0.06,2000,left,left_to_right,4.739983926965566,4.739747037054445,4.8,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000,0.5567551329841356,0.5270141220258556,0.16043218136812565,0.5430825291500557,nan,-0.019306212786932897,-0.007204360225312317,0.06075954499435419,2.220446049250313e-16,0.007765247020870447
A_steps::steps=120,A_steps,steps=120,120,0.06,2000,left,left_to_right,7.139908505233587,7.139426497885161,7.199999999999999,17.047119140625,0.01043250151946822,0.03191799843828299,0.12261024181031821,240000,0.5567551329841356,0.7927739295459398,0.2311572355333064,0.8131755419313283,nan,0.058910814244888296,-0.007204360225312317,0.06882259136594522,2.220446049250313e-16,0.011433101957663894
A_steps::steps=160,A_steps,steps=160,160,0.06,2000,left,left_to_right,9.539860559119264,9.537584209151989,9.6,22.6806640625,0.015995058246904916,0.04062199405783403,0.5891536662012529,320000,0.5567551329841356,1.074902678647298,0.3028632484913398,1.1087988129141393,nan,0.02289511711200556,-0.007204360225312317,0.058056527815352074,2.220446049250313e-16,0.015681953984312713
A_steps::steps=240,A_steps,steps=240,240,0.06,2000,left,left_to_right,14.339701807382816,14.33672289554335,14.399999999999999,34.04541015625,0.015165276360635074,0.039096773427390465,0.5891536662012529,480000,0.5567551329841356,1.6183640505254373,0.45209550817138466,1.669789488179851,nan,0.0009711609898627061,-0.007204360225312317,0.04857039296430899,2.220446049250313e-16,0.02332145196851343
A_steps::steps=320,A_steps,steps=320,320,0.06,2000,left,left_to_right,19.139594989792084,19.13615681301069,19.2,38.232421875,0.0131250382401757,0.035563232051434475,0.5891536662012529,640000,0.5567551329841356,0.062160042482900475,0.05586397422966777,0.08610113731176358,nan,nan,-0.007204360225312317,0.0003175766479776535,2.220446049250313e-16,0.03199646493885666
A_steps::steps=480,A_steps,steps=480,480,0.06,2000,left,left_to_right,28.73958874411291,28.73518332465432,28.799999999999997,38.250732421875,0.010693794357854877,0.03107288580884852,0.5891536662012529,960000,0.5567551329841356,0.062160042482900475,0.05586397422966777,0.08610113731176358,nan,nan,-0.007204360225312317,0.0003175766479776535,2.220446049250313e-16,0.046888031996786594
A_steps::steps=640,A_steps,steps=640,640,0.06,2000,left,left_to_right,38.339586086807074,38.334318512372555,38.4,38.275146484375,0.009430352570994706,0.028510964419642425,0.5891536662012529,1280000,0.5567551329841356,0.062160042482900475,0.05586397422966777,0.08610113731176358,nan,nan,-0.007204360225312317,0.0003175766479776535,2.220446049250313e-16,0.0659532620338723
B_step::step=0.03,B_step,step=0.03,80,0.03,2000,left,left_to_right,2.3699990236250654,2.369905280722281,2.4,5.682373046875,0.008423739415179609,0.029836949728150045,0.12261024181031821,160000,0.5567551329841356,0.2707008586166605,0.09292501392678953,0.2778209696391328,nan,-0.021988591758968078,-0.007204360225312317,0.041716625531942886,2.220446049250313e-16,0.007842205930501223
B_step::step=0.06,B_step,step=0.06,80,0.06,2000,left,left_to_right,4.739983926965566,4.739747037054445,4.8,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000,0.5567551329841356,0.5270141220258556,0.16043218136812565,0.5430825291500557,nan,-0.019306212786932897,-0.007204360225312317,0.06075954499435419,2.220446049250313e-16,0.007698548026382923
B_step::step=0.09,B_step,step=0.09,80,0.09,2000,left,left_to_right,7.109924031167394,7.1093767540780375,7.199999999999999,17.047119140625,0.010393882109519005,0.031943539842088135,0.12261024181031821,160000,0.5567551329841356,0.7894677120751228,0.23026913574644634,0.809750331613504,nan,0.058941515624427496,-0.007204360225312317,0.06888863057394973,2.220446049250313e-16,0.007694997009821236
B_step::step=0.12,B_step,step=0.12,80,0.12,2000,left,left_to_right,9.47986756929675,9.477207493166723,9.6,22.698974609375,0.016023988226377985,0.04059677765010248,0.5891536662012529,160000,0.5567551329841356,1.0711972325194998,0.30161257960889903,1.1019640449749712,nan,0.01826912770003581,-0.007204360225312317,0.057895901771581285,2.220446049250313e-16,0.007769397925585508
B_step::step=0.18,B_step,step=0.18,80,0.18,2000,left,left_to_right,14.219617672099524,14.215604504948267,14.399999999999999,24.530029296875,0.015330624135845307,0.03922286765281135,0.5891536662012529,160000,0.5567551329841356,1.6023809216805642,0.4476729970940717,1.6558542289760214,nan,-0.002860258662956575,-0.007204360225312317,0.04857609767225042,2.220446049250313e-16,0.007801227038726211
C_launch_position::position=left,C_launch_position,position=left,80,0.06,2000,left,left_to_right,4.739983926965566,4.739747037054445,4.8,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000,0.5567551329841356,0.5270141220258556,0.16043218136812565,0.5430825291500557,nan,-0.019306212786932897,-0.007204360225312317,0.06075954499435419,2.220446049250313e-16,0.007723747054114938
C_launch_position::position=right,C_launch_position,position=right,80,0.06,2000,right,left_to_right,4.739936285667009,4.739647950983587,4.8,11.36474609375,0.009615580584775641,0.03187404989600676,0.1371956493440931,160000,0.5476515094159587,0.5291757348111794,0.16085190651362513,0.5401797254725513,nan,0.05218976398632796,-0.011265010531051306,0.07059787026523914,2.220446049250313e-16,0.007567538064904511
C_launch_position::position=top,C_launch_position,position=top,80,0.06,2000,top,left_to_right,0.23872141562825044,0.03873079222350738,4.8,30.4443359375,0.015749212652605822,0.04019807781451082,0.5891536662012529,160000,0.5793686377747107,0.8393605653919117,0.05656931548888109,0.8286135318071096,nan,0.0035309561292066554,-0.015137899599340258,0.024035307016374508,2.220446049250313e-16,0.007717228028923273
C_launch_position::position=bottom,C_launch_position,position=bottom,80,0.06,2000,bottom,left_to_right,0.2625435831734027,0.04035527805613364,4.8,30.230712890625,0.014637349881694506,0.039297199551406654,0.5891536662012529,160000,0.5395558201443627,0.8398019919852503,0.05671029496158764,0.828821581333296,nan,-0.0018556493616523095,-0.009516702756920683,0.023619320330032757,2.220446049250313e-16,0.007721347967162728
C_launch_position::position=centre,C_launch_position,position=centre,80,0.06,2000,centre,left_to_right,4.737275098974806,4.720407463718204,4.8,0.93994140625,0.03800573380573799,0.07889288658051065,0.3249820107041861,160000,1.1063482952159889,0.30211369357787077,0.3208570851092067,0.43288133149206454,nan,0.040272441937158815,-0.014276344912159462,0.16229022145066582,2.220446049250313e-16,0.00751557806506753
D_launch_direction::direction=left_to_right,D_launch_direction,direction=left_to_right,80,0.06,2000,left,left_to_right,4.739983926965566,4.739747037054445,4.8,11.36474609375,0.00845512574832777,0.029997991244180774,0.12261024181031821,160000,0.5567551329841356,0.5270141220258556,0.16043218136812565,0.5430825291500557,nan,-0.019306212786932897,-0.007204360225312317,0.06075954499435419,2.220446049250313e-16,0.007694847998209298
D_launch_direction::direction=right_to_left,D_launch_direction,direction=right_to_left,80,0.06,2000,left,right_to_left,4.740000000000039,4.740000000000038,4.8,0.299072265625,0.010178685816888003,0.02054733085452078,0.11241466588280885,160000,0.5567551329841356,0.062160042482900475,0.05586397422966777,0.08610113731176358,nan,nan,-0.007204360225312317,0.0003175766479776535,0.0,0.007935376954264939
D_launch_direction::direction=top_to_bottom,D_launch_direction,direction=top_to_bottom,80,0.06,2000,left,top_to_bottom,0.12381485057557029,0.03746315133678553,4.8,0.52490234375,0.008494277020920421,0.020130650105251148,0.11241466588280885,160000,0.5007704919185553,0.24015368203157075,0.6636131577176994,0.7003426264730077,0.04201886731089566,0.02378569843755647,-0.008669409296732343,0.17203115759793197,2.220446049250313e-16,0.008022836991585791
D_launch_direction::direction=bottom_to_top,D_launch_direction,direction=bottom_to_top,80,0.06,2000,left,bottom_to_top,0.13220905526987803,0.03349280784700578,4.8,0.54931640625,0.009773445756728956,0.01912974440834878,0.11241466588280885,160000,0.9397783647572427,0.3127251556660107,0.6664272965265472,0.7262791521776666,0.1170986475483316,0.03058170775489587,-0.01219708337510479,0.16406379310832053,2.220446049250313e-16,0.007936457055620849
D_launch_direction::direction=diagonal_down_right,D_launch_direction,direction=diagonal_down_right,80,0.06,2000,left,diagonal_down_right,3.394320312803873,3.352039542856187,4.8,8.209228515625,0.010615532363813802,0.02947660003384392,0.12261024181031821,160000,0.5567551329841356,0.38932843341481665,0.390324954077351,0.5429633516097332,nan,-0.016514511564180497,-0.007204360225312317,0.06115260835627682,2.220446049250313e-16,0.00785462697967887
D_launch_direction::direction=diagonal_up_right,D_launch_direction,direction=diagonal_up_right,80,0.06,2000,left,diagonal_up_right,3.4438636042078015,3.359376793885838,4.8,8.258056640625,0.007862563575601908,0.02702202165373773,0.12261024181031821,160000,0.5567551329841356,0.39227622822071884,0.3889255219733407,0.5432462143379762,nan,-0.02340293941803152,-0.007204360225312317,0.06020350387991169,2.220446049250313e-16,0.007775378064252436
D_launch_direction::direction=diagonal_down_left,D_launch_direction,direction=diagonal_down_left,80,0.06,2000,left,diagonal_down_left,3.4301257461318304,3.355200753059592,4.8,0.457763671875,0.008971997950965165,0.02047787920043374,0.11241466588280885,160000,0.5567551329841356,0.062160042482900475,0.05586397422966777,0.08610113731176358,nan,nan,-0.007204360225312317,0.0003175766479776535,2.220446049250313e-16,0.007984807016327977
