experiment_label,steps,step,theoretical_max_distance,max_realised_distance,mean_realised_distance,sampling_efficiency
A_steps::steps=80,80,0.06,4.8,4.739983926965566,4.739747037054445,0.9874966514511596
A_steps::steps=120,120,0.06,7.199999999999999,7.139908505233587,7.139426497885161,0.9916539590602205
A_steps::steps=160,160,0.06,9.6,9.539860559119264,9.537584209151989,0.9937354749082566
A_steps::steps=240,240,0.06,14.399999999999999,14.339701807382816,14.33672289554335,0.9958126255126957
A_steps::steps=320,320,0.06,19.2,19.139594989792084,19.13615681301069,0.9968539057183378
A_steps::steps=480,480,0.06,28.799999999999997,28.73958874411291,28.73518332465432,0.9979023869483651
A_steps::steps=640,640,0.06,38.4,38.339586086807074,38.334318512372555,0.9984267210106009
B_step::step=0.03,80,0.03,2.4,2.3699990236250654,2.369905280722281,0.9874995931771107
B_step::step=0.06,80,0.06,4.8,4.739983926965566,4.739747037054445,0.9874966514511596
B_step::step=0.09,80,0.09,7.199999999999999,7.109924031167394,7.1093767540780375,0.9874894487732493
B_step::step=0.12,80,0.12,9.6,9.47986756929675,9.477207493166723,0.9874862051350782
B_step::step=0.18,80,0.18,14.399999999999999,14.219617672099524,14.215604504948267,0.987473449451356
C_launch_position::position=left,80,0.06,4.8,4.739983926965566,4.739747037054445,0.9874966514511596
C_launch_position::position=right,80,0.06,4.8,4.739936285667009,4.739647950983587,0.9874867261806269
C_launch_position::position=top,80,0.06,4.8,0.23872141562825044,0.03873079222350738,0.04973362825588551
C_launch_position::position=bottom,80,0.06,4.8,0.2625435831734027,0.04035527805613364,0.05469657982779223
C_launch_position::position=centre,80,0.06,4.8,4.737275098974806,4.720407463718204,0.9869323122864179
D_launch_direction::direction=left_to_right,80,0.06,4.8,4.739983926965566,4.739747037054445,0.9874966514511596
D_launch_direction::direction=right_to_left,80,0.06,4.8,4.740000000000039,4.740000000000038,0.9875000000000083
D_launch_direction::direction=top_to_bottom,80,0.06,4.8,0.12381485057557029,0.03746315133678553,0.025794760536577144
D_launch_direction::direction=bottom_to_top,80,0.06,4.8,0.13220905526987803,0.03349280784700578,0.02754355318122459
D_launch_direction::direction=diagonal_down_right,80,0.06,4.8,3.394320312803873,3.352039542856187,0.7071500651674736
D_launch_direction::direction=diagonal_up_right,80,0.06,4.8,3.4438636042078015,3.359376793885838,0.7174715842099587
D_launch_direction::direction=diagonal_down_left,80,0.06,4.8,3.4301257461318304,3.355200753059592,0.7146095304441313
D_launch_direction::direction=diagonal_up_left,80,0.06,4.8,3.3986619723323575,3.3539082656304298,0.7080545775692412
E_photon_density::nphotons=100,80,0.06,4.8,4.739983926965566,4.739737994120073,0.9874966514511596
E_photon_density::nphotons=500,80,0.06,4.8,4.739983926965566,4.739748126878736,0.9874966514511596
E_photon_density::nphotons=2000,80,0.06,4.8,4.739983926965566,4.739747037054445,0.9874966514511596
E_photon_density::nphotons=10000,80,0.06,4.8,4.739983926965566,4.739747098151919,0.9874966514511596
E_photon_density::nphotons=50000,80,0.06,4.8,4.739983926965566,4.739747060679741,0.9874966514511596
