laboratory_id,candidate_family,conserved_quantity,wave_families_median,memory_strength_median,fast_slow_exchange_median,emergent_phase,emergent_orientation,multiplicative_behaviour,closest_stable_ratio,relative_distance_to_alpha,relative_distance_to_3alpha,equivalence_class_id,highest_equivalence_level,equivalent_to,mapping_type,trajectory_correlation,derivative_correlation,wave_mode_equivalent,exchange_cycle_equivalent
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T1 (Scalar Density),density (no strict conservation),20,0.9992950630164824,0.9992950630164824,0.0,-0.00025032199405782294,0.0,1/pi,0.7430505602245944,0.7430505602245944,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T2 (Conserved Phase),|z|² (rotation-invariant),20,0.9998679610743323,0.9998679610743323,0.0,4.967574583100291e-05,1.0,1/pi,0.7269656702005786,0.7269656702005786,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T3 (Conserved Orientation),|v̂|² = 1 (orientation unit),20,0.9845859205466352,0.9845859205466352,0.0,0.0008401273391665903,0.0,1/pi,0.6518905426089586,0.6518905426089586,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T4 (Conserved Action),A = ∑K/2·u² + V,20,0.9987564631731513,0.9987564631731513,0.0,-0.0002503219940578229,0.0,1/pi,0.7430505602245933,0.7430505602245933,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T5 (Conserved Internal Energy),E_fast + E_slow,20,0.9999179579325131,0.9999179579325131,0.0,-0.000634789882495007,0.0,1/pi,0.7351098698298686,0.7351098698298686,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T6 (Conserved Information),H = -∑p·log(p),20,0.9998441174420291,0.9998441174420291,0.0,-0.0006874923374234871,0.0,1/pi,0.7390801365045544,0.7390801365045544,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T7 (Conserved Circulation),circulation Γ,20,0.9969716175678675,0.9969716175678675,0.0,-0.00045193640862438466,0.0,1/pi,inf,inf,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T8 (Conserved Flux),div j = 0,20,0.9999223119826045,0.9999223119826045,0.0,-0.0004980824357513334,0.0,1/pi,0.7462369079300483,0.7462369079300483,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T9 (Coupled Energy + Phase),E and arg(z) jointly preserved,20,0.9989153105896176,0.9989153105896176,0.0,-0.00020779656040803,1.0,1/pi,0.7418548471696799,0.7418548471696799,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,T10 (Unified State Transport),|z|² and arg(z),20,0.9990327252780425,0.9990327252780425,0.0,-0.00036968548954421503,1.0,1/pi,0.7376171650946746,0.7376171650946746,,,,,,,,
PBUF MICROSCOPIC-INVARIANTS-LAB-001,WR1 (Wrong: Random Transport),no invariant,10,-0.5105729415000798,-0.5105729415000798,0.5,-0.000993434614019205,0.0,3*alpha_fs,0.206900962111702,0.206900962111702,,,,,,,,
