cluster_id,model,stage_id,native_shape,dtype,n_finite,rms,mean
Abell2744,C10,S00,64x64,float64,4096,0.11039714822786775,0.08002337477794823
Abell2744,C10,S01,64x64,float64,4096,0.019871486681016196,0.014404207460030679
Abell2744,C10,S02,64x64,float64,4096,0.03847697717176673,0.031157559081313565
Abell2744,C10,C10-S03,64x64,float64,4096,0.696321568770538,0.6817985923284535
Abell2744,C10,C10-S04,64x64,float64,4096,0.026699360673988957,0.0001360236302254161
Abell2744,C10,C10-S05,64x64,float64,4096,0.015565564581528253,-9.11229953845767e-05
Abell2744,C10,C10-S06,64x64,float64,4096,0.026699360673988957,0.0001360236302254161
Abell2744,C10,S13_P0,64x64,float64,4096,0.025733556056035257,0.01975999971537994
Abell2744,C10,S13_P3,64x64,float64,4096,0.007618020461812437,0.00015710352926573163
Abell2744,C10,S13_P4,64x64,float64,4096,0.02457434463061806,0.017848051797873583
Abell2744,A8,S00,64x64,float64,4096,0.019951597294080123,0.014419851172595057
Abell2744,A8,S01,64x64,float64,4096,0.019951597294080123,0.014419851172595057
Abell2744,A8,S02,64x64,float64,4096,0.1580268570806235,0.12907266274224008
Abell2744,A8,A8-S03,64x64,float64,4096,0.019362033062969537,0.01443264022575365
Abell2744,A8,A8-S04,64x64,float64,4096,0.019329109790303195,0.014432533392075897
Abell2744,A8,A8-S05,64x64,float64,4096,0.019147871538749344,0.01441553274199208
Abell2744,A8,A8-S06,64x64,float64,4096,0.019119391254589634,0.01441595942008888
Abell2744,A8,A8-S07,64x64,float64,4096,3.397809782419201e-05,4.1434929967546394e-07
Abell2744,A8,A8-S08,64x64,float64,4096,8.154743477806082e-06,-9.94438319221113e-08
Abell2744,A8,A8-S09,64x64,float64,4096,4.2132841301998094e-05,5.13793131597575e-07
Abell2744,A8,A8-S10,64x64,float64,4096,0.019212521936568777,0.014424246406082388
Abell2744,A8,A8-S11,64x64,float64,4096,0.01924215067755712,0.014424086483872865
Abell2744,A8,A8-S12,64x64,float64,4096,0.004271675594425594,-2.0943875914182608e-07
Abell2744,A8,A8-P5,64x64,float64,4096,0.019212521936568777,0.014424246406082388
Abell2744,A8,A8-P6,64x64,float64,4096,0.0013591239129676802,1.657397198701855e-05
Abell2744,A8,S13_P0,64x64,float64,4096,0.1305704336557933,0.10698528679203859
Abell2744,A8,S13_P3,64x64,float64,4096,0.01253374056167561,0.00014517753077386764
Abell2744,A8,S13_P4,64x64,float64,4096,0.12996747090173957,0.1059991242346077
MACS0416,C10,S00,64x64,float64,4096,0.0978351434449202,0.06560328421537254
MACS0416,C10,S01,64x64,float64,4096,0.017610325820085638,0.011808591158767057
MACS0416,C10,S02,64x64,float64,4096,0.035877584796116115,0.026523481002834096
MACS0416,C10,C10-S03,64x64,float64,4096,0.6940593219019746,0.6770156479730352
MACS0416,C10,C10-S04,64x64,float64,4096,0.02405377370370488,0.0004488525604128725
MACS0416,C10,C10-S05,64x64,float64,4096,0.0130335390966356,-0.00020379416195621014
MACS0416,C10,C10-S06,64x64,float64,4096,0.02405377370370488,0.0004488525604128725
MACS0416,C10,S13_P0,64x64,float64,4096,0.026102539228590814,0.017511196691099767
MACS0416,C10,S13_P3,64x64,float64,4096,0.006682676353602827,0.0001660975384031788
MACS0416,C10,S13_P4,64x64,float64,4096,0.025218568094092723,0.015941869830361777
MACS0416,A8,S00,64x64,float64,4096,0.017701635459897856,0.011824234871331434
MACS0416,A8,S01,64x64,float64,4096,0.017701635459897856,0.011824234871331434
MACS0416,A8,S02,64x64,float64,4096,0.1475382551161116,0.11212774614813445
MACS0416,A8,A8-S03,64x64,float64,4096,0.01714712705002443,0.011827965990048032
MACS0416,A8,A8-S04,64x64,float64,4096,0.0171141774492087,0.011827445618771965
MACS0416,A8,A8-S05,64x64,float64,4096,0.016917466023839093,0.011809413875988469
MACS0416,A8,A8-S06,64x64,float64,4096,0.016889564894914912,0.011809396576636235
MACS0416,A8,A8-S07,64x64,float64,4096,3.379961335354321e-05,4.5122605339323354e-07
MACS0416,A8,A8-S08,64x64,float64,4096,8.111907204850372e-06,-1.0829425281437611e-07
MACS0416,A8,A8-S09,64x64,float64,4096,4.1911520558393584e-05,5.5952030620761e-07
MACS0416,A8,A8-S10,64x64,float64,4096,0.016988798383232796,0.0118184210977041
MACS0416,A8,A8-S11,64x64,float64,4096,0.01701801166169179,0.011818689933018253
MACS0416,A8,A8-S12,64x64,float64,4096,0.003913195926578258,-2.045292958557824e-05
MACS0416,A8,A8-P5,64x64,float64,4096,0.016988798383232796,0.0118184210977041
MACS0416,A8,A8-P6,64x64,float64,4096,0.0013519845341417283,1.8049042135729343e-05
MACS0416,A8,S13_P0,64x64,float64,4096,0.12397906204166462,0.0936985374727685
MACS0416,A8,S13_P3,64x64,float64,4096,0.01180921852989907,0.00013822672486577122
MACS0416,A8,S13_P4,64x64,float64,4096,0.12341535634775769,0.09270244449173645
MACS1149,C10,S00,64x64,float64,4096,0.07213085258723566,0.04645475871248057
MACS1149,C10,S01,64x64,float64,4096,0.012983553465702418,0.008361856568246505
MACS1149,C10,S02,64x64,float64,4096,0.022586648766099542,0.015586317784486974
MACS1149,C10,C10-S03,64x64,float64,4096,0.7442954624003199,0.7278473358794646
MACS1149,C10,C10-S04,64x64,float64,4096,0.017306426831066795,0.0003317927521725937
MACS1149,C10,C10-S05,64x64,float64,4096,0.00847802111180566,9.659636377010773e-05
MACS1149,C10,C10-S06,64x64,float64,4096,0.017306426831066795,0.0003317927521725937
MACS1149,C10,S13_P0,64x64,float64,4096,0.016661001069605726,0.011358032767525712
MACS1149,C10,S13_P3,64x64,float64,4096,0.004347678578004113,-5.2079489171003726e-05
MACS1149,C10,S13_P4,64x64,float64,4096,0.016076444549472504,0.010601492586871873
MACS1149,A8,S00,64x64,float64,4096,0.01311363794139175,0.008377500280810881
MACS1149,A8,S01,64x64,float64,4096,0.01311363794139175,0.008377500280810881
MACS1149,A8,S02,64x64,float64,4096,0.09595031140057167,0.07059591096302315
MACS1149,A8,A8-S03,64x64,float64,4096,0.012816232928263279,0.008390221663612583
MACS1149,A8,A8-S04,64x64,float64,4096,0.01279199306215969,0.00839010906895252
MACS1149,A8,A8-S05,64x64,float64,4096,0.012580075584409683,0.0083730928477023
MACS1149,A8,A8-S06,64x64,float64,4096,0.012564263132758758,0.008373512110374067
MACS1149,A8,A8-S07,64x64,float64,4096,3.3664117020966825e-05,4.1492396446133305e-07
MACS1149,A8,A8-S08,64x64,float64,4096,8.079388085032038e-06,-9.958175147071995e-08
MACS1149,A8,A8-S09,64x64,float64,4096,4.1743505105998867e-05,5.145057159320529e-07
MACS1149,A8,A8-S10,64x64,float64,4096,0.012660749905746133,0.008381810589663294
MACS1149,A8,A8-S11,64x64,float64,4096,0.012679142330849855,0.00838165725565744
MACS1149,A8,A8-S12,64x64,float64,4096,0.0031886782161304585,-4.910882300999983e-07
MACS1149,A8,A8-P5,64x64,float64,4096,0.012660749905746133,0.008381810589663294
MACS1149,A8,A8-P6,64x64,float64,4096,0.001346564680838673,1.6596958578453324e-05
MACS1149,A8,S13_P0,64x64,float64,4096,0.0829257753101997,0.062017806766041614
MACS1149,A8,S13_P3,64x64,float64,4096,0.00869420248753591,2.9894916754162752e-05
MACS1149,A8,S13_P4,64x64,float64,4096,0.0824687519846363,0.06131896223867807
AbellS1063,C10,S00,64x64,float64,4096,0.0860828633124883,0.052409369306094925
AbellS1063,C10,S01,64x64,float64,4096,0.015494915396247892,0.009433686475097087
AbellS1063,C10,S02,64x64,float64,4096,0.027426521899122213,0.018655113032572234
AbellS1063,C10,C10-S03,64x64,float64,4096,0.7283392086883417,0.7112630863548747
AbellS1063,C10,C10-S04,64x64,float64,4096,0.020881996437421047,-2.0363334108949513e-05
AbellS1063,C10,C10-S05,64x64,float64,4096,0.010340916522953906,6.457288193678276e-05
AbellS1063,C10,C10-S06,64x64,float64,4096,0.020881996437421047,-2.0363334108949513e-05
AbellS1063,C10,S13_P0,64x64,float64,4096,0.021145262660685143,0.013603838873248043
AbellS1063,C10,S13_P3,64x64,float64,4096,0.005305297421376669,4.478415962754924e-05
AbellS1063,C10,S13_P4,64x64,float64,4096,0.020462686326144404,0.012641609083653109
AbellS1063,A8,S00,64x64,float64,4096,0.01559114777007972,0.009449330187661465
AbellS1063,A8,S01,64x64,float64,4096,0.01559114777007972,0.009449330187661465
AbellS1063,A8,S02,64x64,float64,4096,0.11425048564141961,0.08293618832953065
AbellS1063,A8,A8-S03,64x64,float64,4096,0.015232266282937218,0.009460818756271926
AbellS1063,A8,A8-S04,64x64,float64,4096,0.015206744143313272,0.009460637566157934
AbellS1063,A8,A8-S05,64x64,float64,4096,0.015018241214144887,0.0094434453178199
AbellS1063,A8,A8-S06,64x64,float64,4096,0.014998766937450338,0.009443785956485755
AbellS1063,A8,A8-S07,64x64,float64,4096,3.3543083759008464e-05,4.2129024180448676e-07
AbellS1063,A8,A8-S08,64x64,float64,4096,8.050340102162032e-06,-1.0110965803307688e-07
AbellS1063,A8,A8-S09,64x64,float64,4096,4.15934238611705e-05,5.223998998375639e-07
AbellS1063,A8,A8-S10,64x64,float64,4096,0.01508820675742639,0.009452211761321844
AbellS1063,A8,A8-S11,64x64,float64,4096,0.015109329649744978,0.009452132037045913
