wrong_control,cluster_id,pearson_vs_GR_kappa,ssim_vs_GR_kappa,rms_difference,rms_amplitude_ratio
WR1_stage_label_shuffle,Abell2744,0.14201737282603594,nan,nan,nan
WR2_time_reversal_a8,Abell2744,0.22587924482688376,nan,nan,nan
WR3_cell_shuffle_c10_s13,Abell2744,-0.011954528033757466,nan,nan,nan
WR4_component_swap_c10_RxRy,Abell2744,0.14201737282603594,nan,nan,nan
WR5_jacobian_swap_A12_A21,Abell2744,0.09832971885493551,nan,nan,nan
WR6_final_map_substitution_preJacobian,Abell2744,0.4359759504508722,nan,nan,nan
WR1_stage_label_shuffle,MACS0416,0.2528293435030616,nan,nan,nan
WR2_time_reversal_a8,MACS0416,0.33457811192796927,nan,nan,nan
WR3_cell_shuffle_c10_s13,MACS0416,0.02085882990392884,nan,nan,nan
WR4_component_swap_c10_RxRy,MACS0416,0.2528293435030616,nan,nan,nan
WR5_jacobian_swap_A12_A21,MACS0416,-0.03658242891101482,nan,nan,nan
WR6_final_map_substitution_preJacobian,MACS0416,0.5084444044076564,nan,nan,nan
WR1_stage_label_shuffle,MACS1149,0.21088311696503098,nan,nan,nan
WR2_time_reversal_a8,MACS1149,0.1782583086367432,nan,nan,nan
WR3_cell_shuffle_c10_s13,MACS1149,0.00266608341261372,nan,nan,nan
WR4_component_swap_c10_RxRy,MACS1149,0.21088311696503098,nan,nan,nan
WR5_jacobian_swap_A12_A21,MACS1149,-0.054711738847501246,nan,nan,nan
WR6_final_map_substitution_preJacobian,MACS1149,0.5343781788335386,nan,nan,nan
WR1_stage_label_shuffle,AbellS1063,0.3273476950827446,nan,nan,nan
WR2_time_reversal_a8,AbellS1063,0.34492827046256697,nan,nan,nan
WR3_cell_shuffle_c10_s13,AbellS1063,0.020115861908008043,nan,nan,nan
WR4_component_swap_c10_RxRy,AbellS1063,0.3273476950827446,nan,nan,nan
WR5_jacobian_swap_A12_A21,AbellS1063,-0.04277892112950564,nan,nan,nan
WR6_final_map_substitution_preJacobian,AbellS1063,0.5833079341231184,nan,nan,nan
WR1_stage_label_shuffle,Abell370,0.367739686259683,nan,nan,nan
WR2_time_reversal_a8,Abell370,0.34640064647448304,nan,nan,nan
WR3_cell_shuffle_c10_s13,Abell370,0.007571931228878379,nan,nan,nan
WR4_component_swap_c10_RxRy,Abell370,0.367739686259683,nan,nan,nan
WR5_jacobian_swap_A12_A21,Abell370,-0.051939375901507795,nan,nan,nan
WR6_final_map_substitution_preJacobian,Abell370,0.4755654269747277,nan,nan,nan
