family_number,family_code,family_name,principle,is_wrong,state_kind,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_emergent_coherence_index,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,median_spatial_correlation_length,median_temporal_persistence_length,median_relaxation_time,median_effective_interaction_radius,median_phase_emergence_score,median_orientation_emergence_score,median_multiplicative_coupling_score,clusters_with_emergent_coherence,clusters_with_emergent_memory,clusters_with_phase_emergence,clusters_with_orientation_emergence
1,E1,Linear Relaxation,u evolves toward neighbour-mean by linear diffusion,False,real,0.09386529605539595,0.0778569915455897,-0.0012334463016429376,0.08761090673818939,0.15288306515319575,0.06710638984473674,-0.0614320852100826,-0.027307619206959715,0.23721627902705222,2.220446049250313e-16,0.0005286619952499892,0.0010401197470614417,0.9995928042584475,0.0063804508026511835,3.0,5.0,8.0,4.0,0.0,0.0005286619952499881,0.0,4,5,0,3
2,E2,Phase Oscillator,dz/dt = i·ω·z + K·(⟨z⟩ₙ − z); phase emerges as arg(z),False,complex,0.011704958105183598,-0.04680255283992661,-0.0011427897205525464,0.001765701735149143,0.6916285853471781,0.4193326802831217,-0.05938532269102931,0.32852606403601775,0.2577104000374675,2.220446049250313e-16,-0.0008234843099675569,-0.0033032510735588254,0.9963374879084109,0.8257796711313333,3.0,4.0,7.0,4.0,0.9999500859288845,0.02556466174430995,0.5,2,5,5,5
3,E3,Orientation Alignment,θ evolves by neighbour-mean alignment on S¹ (normalised complex),False,complex,-0.24123385365525746,-0.04343244155933345,-0.0031471461259577308,0.001264363664985807,2.4625171807125885,1.3945574694213736,4.431877701362996e-05,1.1684547230495443,0.28474040993023664,2.220446049250313e-16,0.008878409320737706,0.011294944724091252,0.9884540233706746,3.7646326413833013,8.0,5.0,8.0,4.0,1.0,0.0020764290578972775,0.5,5,5,5,4
4,E4,Coupled Oscillator,single complex z; phase and amplitude evolve together from one state vector,False,complex,0.020472836438026012,-0.03807359238235738,-0.004697918629833703,-0.0001299216405930131,0.580246653391678,0.32581848570086214,-0.06479065697183303,0.26231233734560694,0.2517299639293924,2.220446049250313e-16,-0.000559352917687412,-0.0025886408222649993,0.9993238122368847,2.07786818019832,5.0,4.0,7.0,4.0,0.9999683515237215,0.026399365951304717,0.5,2,5,5,5
5,E5,Energy Minimisation Evolution,each step takes a gradient step minimising the local interaction energy,False,real,0.09144613568040569,0.08031098768959756,-0.007293135588635406,0.0899187279202238,0.15516246760604582,0.06931099531532374,-0.062095734729270435,-0.028003658300152622,0.23778309498447925,2.220446049250313e-16,-0.0006827440117429496,-6.857375459275042e-05,-0.9834175267217624,0.001985013441560338,3.0,1.0,1.0,4.0,0.0,-0.0006827440117429585,0.0,2,0,0,2
6,E6,Local Potential Gradient,u evolves along the gradient of a microscopic interaction potential V(u),False,real,0.08377381167349403,0.07850389648401344,-0.0008598938300021263,0.08996953774493499,0.200779259513625,0.07945287946935951,-0.06153626953962088,-0.0024124314485420495,0.2368038420099765,2.220446049250313e-16,0.00027332391661913504,0.0007847816684305876,0.9999300916860785,0.3965461156779488,3.0,5.0,14.0,4.0,0.0,0.00027332391661913944,0.0,3,5,0,3
7,E7,Hamiltonian Evolution,"canonical (q, p) evolution with conserved local Hamiltonian; symplectic integrator",False,hamiltonian,0.039188868181676446,0.1514145695176468,-0.0005537366328893799,0.11066876175211027,0.15623438706379658,0.06773313169476333,-0.055520465138367926,-0.013686202900770727,0.23742904304526746,2.220446049250313e-16,-0.00022316132277499023,-0.0006540662271487103,0.9997680273197193,0.08800939139220038,3.0,4.0,12.0,4.0,0.0,-0.00022316132277498633,0.0,2,5,0,1
8,E8,Weakly Dissipative Evolution,"canonical (q, p) with small linear dissipation; reversible + weakly dissipative",False,hamiltonian,0.028905678379685974,0.14479488119920786,-0.0003210045379970439,0.10013613684922267,0.15303426515813556,0.06728284074040634,-0.0555995300735878,-0.01576052829263024,0.23828074499033391,2.220446049250313e-16,-0.00016661967574309664,-0.0007323797592722316,0.9996994401521324,0.08499668865458794,3.0,4.0,12.0,4.0,0.0,-0.00016661967574308872,0.0,2,5,0,1
9,E9,Cooperative Field Evolution,internal state responds to weighted 9-point neighbourhood (Laplacian-style),False,real,0.09539047321778406,0.07726304897799594,-0.000452230460393725,0.08657022426253458,0.15027001965207282,0.06564202295950419,-0.06098587067259342,-0.028013327383311103,0.23623505502473563,2.220446049250313e-16,0.0009256973693038431,0.0014371551211152956,0.9998954143422442,0.046353333149047694,3.0,5.0,12.0,4.0,0.0,0.0009256973693038373,0.0,4,5,0,3
10,E10,Unified Evolution,"single coupled nonlinear equation (Ginzburg–Landau); phase, orientation, memory all emerge without explicit updates",False,complex,0.023892622902315603,-0.03770901609504192,0.0010190856006012,-0.0007992937556274865,0.5406569710751418,0.30350821562182245,-0.05998134290770411,0.23844068799257273,0.25065259099937975,2.220446049250313e-16,-0.0006048386203040653,-0.0014854558478222526,0.9952888283126986,0.48524004046688446,4.0,4.0,6.0,4.0,0.9999559028644008,0.025081844719685498,1.0,2,5,5,5
