transport_number,transport_code,transport_name,invariant_name,invariant_kind,is_wrong,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,invariant_drift_relative,fast_slow_exchange,n_families,wave_modes,wave_families,propagating,standing,travelling,transverse,longitudinal,mixed,polarization_like,attenuation,dispersion,coherence_length,mode_stability,fast_to_slow_total,returned_total,stored_total,lost_total,fast_to_slow_net,wave_emerged
1,T1,Scalar Density,density (no strict conservation),scalar,False,Abell2744,Abell 2744,0.013782252868255645,0.11015345549646531,-0.009893751564078315,0.1201446514895228,0.15843655236978882,0.05958663728290372,-0.05923607445747866,0.004175478963756605,0.23484483698848635,2.220446049250313e-16,-0.0010128831485206745,0.9994060260212984,0.00331494068399717,0.0,0.002925243645847032,0.0,18.21614661232758,0.9994060260212984,20,2,20,0.0,0.0,0.0,0.629968716201571,0.49739832006263723,0.3133453811306777,0.010209502942145843,0.0,0.0,3.0,0.9963426112983473,0.35111857209657593,0.0,-0.43088318997179087,0.07976461787521494,0.35111857209657593,True
2,T2,Conserved Phase,|z|² (rotation-invariant),phase,False,Abell2744,Abell 2744,0.012524145543727695,0.11111522098007007,-0.00992760843143537,0.12122918558636903,0.15841299605282286,0.059786722483046194,-0.059557419166011316,0.0038004675872926807,0.2373194620013237,2.220446049250313e-16,0.0001534535705629723,0.9998676980387691,0.005164087035048203,0.0,0.004091580364930679,1.0,36.434757875325914,0.9998676980387691,20,2,20,0.0,0.0,0.0,0.7052793481740589,0.49504126021138417,0.3491423773211497,0.01958907595968129,0.0,0.0,3.0,0.965184471067668,0.41179428920584726,0.0,-0.4828103000485875,0.07101601084274023,0.41179428920584726,True
3,T3,Conserved Orientation,|v̂|² = 1 (orientation unit),orientation,False,Abell2744,Abell 2744,-0.0380428778549607,0.1049235780347865,0.0048501094806177565,0.1130762950305341,0.13372110318984523,0.05122652162293974,-0.052324573335434624,-0.010444447898910792,0.23574958904646337,2.220446049250313e-16,0.0005021666873488342,0.9855087228719732,0.019071563816353037,0.0,0.0044402934817165405,0.0,5.983346607337842,0.9855087228719732,20,2,20,0.0,0.0,0.0,0.7167081718185034,0.49482074695937733,0.3546420729311216,0.02055548811445762,0.0,0.0,3.0,0.7970432392317403,1.4176401211185663,0.0,-1.950800373536783,0.5331602524182166,1.4176401211185663,True
4,T4,Conserved Action,A = ∑K/2·u² + V,action,False,Abell2744,Abell 2744,0.013782252868255986,0.11015345549646519,-0.009893751564078433,0.12014465148952269,0.15843655236978882,0.05958663728290373,-0.059236074457478666,0.0041754789637566195,0.23556068807374686,2.220446049250313e-16,-0.001012883148520675,0.9990180215467497,0.0034367810602594835,0.0,0.0029252436458470314,0.0,5.759567311539265e-16,0.9990180215467497,20,2,20,0.0,0.0,0.0,0.5769144109947638,0.4974139553654215,0.28696527908021785,0.010147779985033134,0.0,0.0,3.0,0.9867896799795336,0.028668650802195828,0.005091665701936421,0.21839935607199124,-0.24197634117225064,0.03376031650413225,True
5,T5,Conserved Internal Energy,E_fast + E_slow,energy,False,Abell2744,Abell 2744,0.01360037935883909,0.10994014046208996,-0.010229952933577756,0.12012796283974689,0.15749052325594662,0.05956241322710845,-0.05954392256868327,0.0032726251148603685,0.23568281799089164,2.220446049250313e-16,-0.0008278881575307134,0.9999301963070313,0.004149840265605667,0.0,0.003110238636836993,0.0,5.840292636804753e-16,0.9999301963070313,20,1,20,0.0,0.0,0.0,0.26285925358749185,0.49663657778507625,0.13054552014083148,0.013151809137137427,0.0,0.0,3.0,0.976760322263797,0.12220981352531979,0.0,-3.552713678800501e-15,-0.12220981352531624,0.12220981352531979,True
6,T6,Conserved Information,H = -∑p·log(p),information,False,Abell2744,Abell 2744,0.011952050869726156,0.11145842375126763,-0.009269473217437216,0.12162851137417117,0.15748329823681276,0.05935968848903174,-0.05903814876616542,0.0034754962691175106,0.23572737793438137,2.220446049250313e-16,-0.0005332249009670003,0.999895641699136,0.004936096560616943,0.0,0.003404901893400706,0.0,305.9022726212433,0.999895641699136,20,1,20,0.0,0.0,0.0,0.18555776783850594,0.4967596659314825,0.0921776147624478,0.012625144733140026,0.0,0.0,3.0,0.9682700853319531,0.31914616333251544,0.0,-0.42542029431226425,0.1062741309797488,0.31914616333251544,True
7,T7,Conserved Circulation,circulation Γ,circulation,False,Abell2744,Abell 2744,-0.14728204446929186,0.18868817863493018,0.04331098500257792,0.19729702248128209,0.15992570513056273,0.05496641083797521,-0.058524155987041956,0.00514739085599954,0.24041255901101977,2.220446049250313e-16,-0.0017819486956434445,0.9973938593964019,0.018069835991313867,0.0,0.0021561780987242618,0.0,1.6435451049886975,0.9973938593964019,20,2,20,0.0,0.0,0.0,0.4443870394969429,0.4940201550706161,0.21953615416365174,0.023809333828159085,0.0,0.0,3.0,0.9867629574146509,0.0,0.061942152871527156,-0.029440649983108358,0.09138280285463551,0.061942152871527156,True
8,T8,Conserved Flux,div j = 0,flux,False,Abell2744,Abell 2744,0.010424234565388827,0.112580884784133,-0.008381701484373007,0.12258599493567895,0.15755924223689405,0.05918762025023882,-0.05860087202581394,0.0037672112542425384,0.24370999599341303,2.220446049250313e-16,-0.0009488698354452947,0.9999364242929369,0.010739472771139373,0.0,0.0029892569589224116,0.0,1738.762689900991,0.9999364242929369,20,2,20,0.0,0.0,0.0,0.4254468493672667,0.4976114230146405,0.21170721213074098,0.009334031272619003,0.0,0.0,3.0,0.9963676317209987,0.0,1.576722355071464,3.822958800346388,-2.246236445274924,1.576722355071464,True
9,T9,Coupled Energy + Phase,E and arg(z) jointly preserved,energy_phase,False,Abell2744,Abell 2744,0.014202083819083248,0.11352129287169092,-0.010078509027201596,0.12325530685122513,0.15874205279285028,0.05949787868263843,-0.05934800572831897,0.004428647119760783,0.23506962601095438,2.220446049250313e-16,-0.001067280648221188,0.99913712033476,0.003240997337542198,0.0,0.0028708461461465183,1.0,5.840292636804753e-16,0.99913712033476,20,2,20,0.0,0.0,0.0,0.6021630193231371,0.4973389247565152,0.2994791085583057,0.010450312882860024,0.0,0.0,3.0,0.9941383952028852,0.12840215053563497,0.0,3.552713678800501e-15,-0.12840215053563853,0.12840215053563497,True
10,T10,Unified State Transport,|z|² and arg(z),unified,False,Abell2744,Abell 2744,0.0077822952967376265,0.11460896080223697,-0.007327651369369547,0.12474365977010209,0.15749930516487362,0.058860716668300464,-0.05823578404310422,0.0039236293483839195,0.23396757408045232,2.220446049250313e-16,-0.00015778496696943183,0.9992607801683014,0.005933765197667132,0.0,0.0037803418273982745,1.0,5.840292636804753e-16,0.9992607801683014,20,2,20,0.0,0.0,0.0,0.5036263925553756,0.4983331532005186,0.2509737282371225,0.006468432493231591,0.0,0.0,3.0,0.9789604818468224,0.18755070640441218,0.0,7.105427357601002e-15,-0.1875507064044193,0.18755070640441218,True
