rank,family_code,family_name,is_wrong,rank_sum,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_rms_kappa,delta_pearson_kappa_vs_s1,clusters_improving_pearson_kappa,naturally_reproduces_both,outperforms_c10_primary_pair,median_spatial_correlation_length,median_temporal_persistence_length,median_relaxation_time
1,S9,Scalar + Phase + Orientation,False,32.0,0.10494564177366811,0.09399620573787398,-0.001832870577292678,0.16620611206861377,0.0033614070213543595,4,True,False,3.0,4.0,6.0
2,S1,Scalar (Control),False,36.0,0.10158423475231375,0.0921034743131699,-0.001053936101569421,0.16664729811063372,0.0,0,False,False,3.0,4.0,6.0
3,S4,Scalar + Phase,False,39.0,0.10278220320582113,0.09632659577204343,-0.0026369495543771735,0.16691219948058658,0.0011979684535073781,4,True,False,3.0,4.0,6.0
4,S8,Scalar + Orientation + Strain,False,43.0,0.09008741245035184,0.07902558769776356,-0.001791279074148378,0.152646783300879,-0.011496822301961904,2,False,False,3.0,1.0,1.0
5,S3,Scalar + Internal Strain,False,47.0,0.0933668420880321,0.0789782484819202,-0.0023465422191993896,0.15341451943342876,-0.008217392664281647,3,False,False,3.0,5.0,7.0
6,S5,Scalar + Relaxation State,False,59.0,0.08951008530735141,0.08360319633681884,-0.01057957767497125,0.15580164476001288,-0.012074149444962337,3,False,False,3.0,4.0,5.0
7,S2,Scalar + Orientation,False,64.0,-0.03698703596461663,0.007395213985504835,0.007287869112245923,0.3228130515126507,-0.13857127071693037,1,False,False,10.0,3.0,19.0
8,S6,Scalar + Local Momentum,False,65.0,0.08951008530735126,0.08360319633681883,-0.010579577674971226,0.15580164476001288,-0.01207414944496249,3,False,False,3.0,0.0,0.0
9,S10,Full Local State,False,70.0,0.02753693854228696,0.004738609951226419,-0.007352655470986638,0.15066412037154736,-0.07404729621002679,1,False,False,4.0,1.0,1.0
10,S7,Scalar + Orientation + Relaxation,False,80.0,-0.05221877031287006,-0.10397136758234782,0.000670504423913917,0.30218814457976656,-0.1538030050651838,0,False,False,4.0,4.0,8.0
11,WR2,Wrong: Frozen Internal State,True,55.0,0.06679508376213854,0.1460442558330313,-0.00991790073187893,0.19292863728548312,-0.03478915099017521,1,False,False,3.0,0.0,0.0
12,WR4,Wrong: Self-Only Evolution,True,67.0,0.11296203947762853,0.07744036093383022,-0.013265827032544414,0.1568745301036342,0.011377804725314786,4,False,False,3.0,5.0,6.0
13,WR3,Wrong: Rapid Randomisation,True,88.0,0.05326544244192573,0.08588214221721638,-0.0036516256333773193,1.4443390977592059,-0.04831879231038802,1,False,False,128.0,1.0,20.0
14,WR1,Wrong: Random Internal State,True,95.0,0.09092629317779921,0.015614100794426539,-0.0047193653373291955,1.542744777592252,-0.010657941574514537,2,False,False,128.0,1.0,20.0
