rank,decomposition_code,decomposition_name,family,rank_sum,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_rms_kappa,median_coherence_gain,median_emergent_memory_index,median_neighbour_coherence_gain,median_elastic_persistence_index,median_phase_field_coherence,median_relaxation_time
1,D1,Full S9 (Control),both,69.0,0.10494564177366811,0.09399620573787398,-0.001832870577292678,0.16620611206861377,0.0021661336656330736,0.9980359705156546,0.29466007293894614,0.9980359705156546,0.0007804070294651873,6.0
2,D9,Bidirectional coupling (current S9),both,82.0,0.10494564177366811,0.09399620573787398,-0.001832870577292678,0.16620611206861377,0.0021661336656330736,0.9980359705156546,0.29466007293894614,0.9980359705156546,0.0007804070294651873,6.0
3,D11,Orientation update delayed (one-step lag),orient,85.0,0.10397388705555127,0.09487516806961872,-0.0021910112621102156,0.16560203070805146,0.002816580435270613,0.997311431989251,0.294335918191976,0.997311431989251,0.0008926624025913196,6.0
4,D3,Orientation frozen / Phase evolves,phase,90.0,0.09399181384635043,0.09639778409024705,-0.0029146240626402855,0.1638854743608997,0.0028534211572628903,0.997749806745504,0.2923877520758035,0.997749806745504,0.0007506987008580717,6.0
5,D10,Phase update delayed (one-step lag),phase,92.0,0.10342169746773451,0.09280095487967484,-0.0023830947019443573,0.16579421879735862,0.002604673915818515,0.9973916955564762,0.29437471045889485,0.9973916955564762,0.0011871357961825268,6.0
6,D2,Phase frozen / Orientation evolves,orient,95.0,0.09433297991610266,0.09404163675628067,-0.0028038536611587482,0.16386339483220125,0.002927253125089942,0.9977909560604449,0.29242332194955256,0.9977909560604449,0.0006636091790454308,6.0
7,D4,Phase evolution disabled / Orientation active,orient,98.0,0.09809070974046341,0.08579003144034694,-0.0021528998205325245,0.164963308689853,0.0025104158661154647,0.9975323396003628,0.2946044633728597,0.9975323396003628,0.0009767271115283247,6.0
8,D8,Orientation drives Phase only,phase-drives,98.0,0.09725106826193627,0.0880716532158478,-0.0025231973668492667,0.16462247428791885,0.004068983633654306,0.9975904801692878,0.29275242782284694,0.9975904801692878,0.0009963721567949316,6.0
9,D13,Neighbour orientation ignored / local only,orient,103.0,0.09399181384635043,0.09639778409024705,-0.0029146240626402855,0.1638854743608997,0.0028534211572628903,0.997749806745504,0.2923877520758035,0.997749806745504,0.0007506987008580717,6.0
10,D5,Orientation evolution disabled / Phase active,phase,104.0,0.09755127817385806,0.08778909841763533,-0.0022004978881298635,0.16501376726335787,0.0027062781906557276,0.9975099370714582,0.2945716961723214,0.9975099370714582,0.0010152305721490465,6.0
11,D6,Phase-Orientation coupling removed,both,105.0,0.09756944752384189,0.08693335263985891,-0.002120422929376504,0.1650368372244015,0.002595250957783666,0.997720526490577,0.29460808396311955,0.997720526490577,0.0006694034484882412,6.0
12,D12,Neighbour phase ignored / local only,phase,111.0,0.09809070974046341,0.08579003144034694,-0.0021528998205325245,0.164963308689853,0.0025104158661154647,0.9975323396003628,0.2946044633728597,0.9975323396003628,0.0009767271115283247,6.0
13,D7,Phase drives Orientation only,orient-drives,116.0,0.09549593434161932,0.09007724857190344,-0.0027397340161191817,0.1646463890366349,0.004215117371668659,0.9975697025361743,0.2926873297069559,0.9975697025361743,0.0005107570796194835,6.0
14,D14,Pure self-evolution (control vs WR4),control-wr4,117.0,0.11296203947762853,0.07744036093383022,-0.013265827032544414,0.1568745301036342,-5.760117695970601e-05,1.0,0.2961274584900797,1.0,0.0004404170180948638,6.0
