d1,d2,metric,pearson
D1,D1,pearson_kappa,1.0
D1,D1,coherence_gain,1.0
D1,D1,emergent_memory_index,0.9999999999999998
D1,D1,spatial_correlation_length,1.0
D1,D1,neighbour_coherence_gain,1.0
D1,D1,elastic_persistence_index,0.9999999999999998
D1,D1,phase_field_coherence,0.9999999999999999
D1,D2,pearson_kappa,0.9982225826739889
D1,D2,coherence_gain,0.9305480880904334
D1,D2,emergent_memory_index,0.979918331777668
D1,D2,spatial_correlation_length,1.0
D1,D2,neighbour_coherence_gain,0.9999563643379668
D1,D2,elastic_persistence_index,0.979918331777668
D1,D2,phase_field_coherence,0.946874287695358
D1,D3,pearson_kappa,0.9981814517401103
D1,D3,coherence_gain,0.9368167753690227
D1,D3,emergent_memory_index,0.956197784361287
D1,D3,spatial_correlation_length,1.0
D1,D3,neighbour_coherence_gain,0.9999589327904239
D1,D3,elastic_persistence_index,0.956197784361287
D1,D3,phase_field_coherence,0.8302739052868129
D1,D4,pearson_kappa,0.9994579601841824
D1,D4,coherence_gain,0.9889927305031645
D1,D4,emergent_memory_index,0.9473756924832836
D1,D4,spatial_correlation_length,1.0
D1,D4,neighbour_coherence_gain,0.9999999605118027
D1,D4,elastic_persistence_index,0.9473756924832836
D1,D4,phase_field_coherence,0.8500324832427776
D1,D5,pearson_kappa,0.9993600802933391
D1,D5,coherence_gain,0.9823131274818719
D1,D5,emergent_memory_index,0.8795643178167266
D1,D5,spatial_correlation_length,1.0
D1,D5,neighbour_coherence_gain,0.9999999374758946
D1,D5,elastic_persistence_index,0.8795643178167266
D1,D5,phase_field_coherence,0.8010541557971086
D1,D6,pearson_kappa,0.9994341366675651
D1,D6,coherence_gain,0.9861684053320264
D1,D6,emergent_memory_index,0.9357204483220247
D1,D6,spatial_correlation_length,1.0
D1,D6,neighbour_coherence_gain,0.9999999657141835
D1,D6,elastic_persistence_index,0.9357204483220247
D1,D6,phase_field_coherence,0.8791224516826189
D1,D7,pearson_kappa,0.9978124582933997
D1,D7,coherence_gain,0.9735353568141937
D1,D7,emergent_memory_index,0.8393340569935528
D1,D7,spatial_correlation_length,1.0
D1,D7,neighbour_coherence_gain,0.9999925615122217
D1,D7,elastic_persistence_index,0.8393340569935528
D1,D7,phase_field_coherence,0.9839408100103397
D1,D8,pearson_kappa,0.9986172321602159
D1,D8,coherence_gain,0.9789327230031931
D1,D8,emergent_memory_index,0.9130202949306986
D1,D8,spatial_correlation_length,1.0
D1,D8,neighbour_coherence_gain,0.9999917394768651
D1,D8,elastic_persistence_index,0.9130202949306986
D1,D8,phase_field_coherence,0.9858791335645638
D1,D9,pearson_kappa,1.0
D1,D9,coherence_gain,1.0
D1,D9,emergent_memory_index,0.9999999999999998
