rank,decomposition_code,decomposition_name,family,rank_sum,median_pearson_kappa,median_pearson_gamma,median_coherence_gain,median_emergent_memory_index,median_wave_mode_count,median_wave_phase_velocity,median_wave_group_velocity,median_wave_mode_stability,median_fast_slow_exchange_mean,median_state_persistence_mean,median_relaxation_time
1,D1,Full A8 (control),control,104.0,0.12115382904918567,0.08441324820137557,-1.3424455500239685e-05,0.9992950630164824,2.0,0.0,0.0,0.9951585495508779,0.0017703031754780951,0.9999891933107398,11.0
2,D3,Slow removed (fast only),single_layer,114.0,0.12111852757660735,0.10360879959023471,-0.00042507546498697256,0.9999596389253291,1.0,0.0,0.0,0.9697077068527519,0.0,1.0,9.0
3,D6,Fast->Slow coupling removed,coupling_direction,122.0,0.12078503807842836,0.08779442276424584,-0.000163060439509088,0.9987494465752629,2.0,0.0,0.0,0.9945006525523772,0.0018727421869394367,0.9999907083877272,11.0
4,D4,Fast frozen (slow evolves),frozen,123.0,0.1224276926313405,0.09694612435777655,-0.00013659448322774132,0.9999169295434551,1.0,0.0,0.0,0.9450981777175065,0.002322066577347873,0.9999947600589234,8.0
5,D2,Fast removed (slow only),single_layer,132.0,0.09054757522339543,0.0793128840978723,-9.583885584082876e-05,0.9999711137927736,1.0,0.0,0.0,0.9834396501854269,0.0,1.0,10.0
6,D10,Coupling multiplicative,coupling_form,141.0,0.10703621988806247,0.08559642412726677,-7.570573380237273e-05,0.9998697339218341,2.0,0.0,0.0,0.9727471087266029,0.0023773127452022366,0.9999768975743637,12.0
7,D12,Neighbour interaction only on slow,neighbour_assignment,143.0,0.12282535817742668,0.09228424110749138,-6.823998893335653e-05,0.9996025736590894,2.0,0.0,0.0,0.9299890656267196,0.0021898215972120483,0.9999948433569393,8.0
8,D14,Layer update order reversed,ordering,148.0,0.12126208426657539,0.08445593122057157,-1.7193979834353394e-05,0.9992794408451459,2.0,0.0,0.0,0.995108447728329,0.0017723913872747233,0.999989221013227,11.0
9,D13,Neighbour interaction equally on both,neighbour_assignment,151.0,0.12064546648569648,0.08893229721248437,7.180825236029415e-05,0.9981385684261699,2.0,0.0,0.0,0.9700035099315861,0.001922420629139472,0.9999924290452371,10.0
10,D11,Neighbour interaction only on fast,neighbour_assignment,155.0,0.1195511588624123,0.08507048461520446,0.00012444936887875827,0.9995421136428808,2.0,0.0,0.0,0.9900508671315199,0.0017110343443770732,0.9999884081148634,10.0
11,D9,Coupling additive (no multiplicative),coupling_form,156.0,0.1194636817749752,0.08137032846682893,-1.6753963669286615e-05,0.9999384723147708,2.0,0.0,0.0,0.9834284044761716,0.0015580225248278542,0.9999848117426782,10.0
12,D15,Timescales forced equal,timescale,158.0,0.12043608133174942,0.08379126894815267,0.0001453397279749186,0.9997551562483802,2.0,0.0,0.0,0.9928034615003106,0.001751117108943863,0.999988440027858,10.0
13,D8,Bidirectional removed (independent),coupling_direction,162.0,0.1190550502343313,0.07917284883980197,-0.00021673612903219653,0.9999498212533943,1.0,0.0,0.0,0.9726537571570897,0.002374587235493173,0.9999945793315428,9.0
14,D7,Slow->Fast coupling removed,coupling_direction,172.0,0.11712158515795935,0.07654868563434056,-0.0005427648908407423,0.9999337978679669,1.0,0.0,0.0,0.9675290686964926,0.0022363223625681957,0.9999923491243733,9.0
15,D5,Slow frozen (fast evolves),frozen,179.0,0.11650960756456066,0.0756967061593362,-0.0002797202700528927,0.9999567254422506,1.0,0.0,0.0,0.9639037492525464,0.0022414536177534027,0.9999926489881912,9.0
