decomposition_number,decomposition_code,decomposition_name,family,principle,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,median_phase_emergence_score,median_orientation_emergence_score,median_multiplicative_coupling_score,median_fast_slow_exchange_mean,median_fast_slow_exchange_var,median_state_persistence_mean,median_state_persistence_var,median_spatial_correlation_length,median_temporal_persistence_length,median_relaxation_time,median_wave_propagating,median_wave_standing,median_wave_transverse,median_wave_longitudinal,median_wave_polarization,median_wave_phase_velocity,median_wave_group_velocity,median_wave_attenuation,median_wave_dispersion,median_wave_coherence_length,median_wave_mode_stability,median_wave_mode_count,clusters_with_wave_emergence,clusters_with_emergent_coherence,clusters_with_emergent_memory,clusters_with_phase_emergence
1,D1,Full A8 (control),control,fast and slow layers with mutual additive coupling + neighbour interaction on both,0.12115382904918567,0.08441324820137557,-0.009893751564078315,0.09290574023055327,0.15843655236978882,0.06745111042144267,-0.06298279942027929,-0.02613016897470189,0.23836072406265885,2.220446049250313e-16,-1.3424455500239685e-05,0.9992950630164824,0.0030138398149757058,0.0,-0.00025032199405782294,0.0,0.0017703031754780951,0.2810142426095623,0.9999891933107398,5.685662420324513e-06,3.0,4.0,11.0,0.0,0.0,0.6924864560809377,0.49709227440621784,0.014816175347728278,0.0,0.0,0.0,0.0,3.0,0.9951585495508779,2.0,5,2,5,0
2,D2,Fast removed (slow only),single_layer,drop fast layer; only slow evolves; u_final = u_slow,0.09054757522339543,0.0793128840978723,-0.00690624632099871,0.08903159555923161,0.15544155175475174,0.06928802087800334,-0.062073247827966305,-0.02787497629761876,0.23674952005967498,2.220446049250313e-16,-9.583885584082876e-05,0.9999711137927736,0.0022152353164873726,0.0,-0.0006752062748860375,0.0,0.0,0.0,1.0,1.137640067256873e-16,3.0,5.0,10.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,3.0,0.9834396501854269,1.0,5,2,5,0
3,D3,Slow removed (fast only),single_layer,drop slow layer; only fast evolves; u_final = u_fast,0.12111852757660735,0.10360879959023471,-0.009681375908714953,0.11250739830345907,0.16219407819023718,0.06554613175872465,-0.06337558517046542,-0.02275829819731453,0.23726550105493516,2.220446049250313e-16,-0.00042507546498697256,0.9999596389253291,0.007233923134068214,0.0,-0.0005391547804407695,0.0,0.0,0.0,1.0,1.3136335981433191e-16,3.0,5.0,9.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,3.0,0.9697077068527519,1.0,5,2,5,0
4,D4,Fast frozen (slow evolves),frozen,fast layer frozen at initial state; slow evolves normally,0.1224276926313405,0.09694612435777655,-0.010397273450061341,0.10514230269584247,0.16057649940713226,0.0665739045021168,-0.0634202020733704,-0.025137806779573103,0.2378023889614269,2.220446049250313e-16,-0.00013659448322774132,0.9999169295434551,0.003367262567948381,0.0,-0.0006480522350391938,0.0,0.002322066577347873,0.1092046218702437,0.9999947600589234,2.838860230730163e-06,3.0,5.0,8.0,0.0,0.0,0.0,0.4956829930244401,0.02229127417458865,0.0,0.0,0.0,0.0,3.0,0.9450981777175065,1.0,5,2,5,0
5,D5,Slow frozen (fast evolves),frozen,slow layer frozen at initial state; fast evolves normally,0.11650960756456066,0.0756967061593362,-0.011998789070768123,0.0844890120950088,0.1568892008957439,0.06893823557386881,-0.06309816887540835,-0.027705986123565063,0.23746880900580436,2.220446049250313e-16,-0.0002797202700528927,0.9999567254422506,0.004272632922324999,0.0,-0.0007911780218643452,0.0,0.0022414536177534027,0.13778646856205368,0.9999926489881912,2.4710890732303324e-06,3.0,5.0,9.0,0.0,0.0,0.0,0.4957220396875297,0.021699559262381096,0.0,0.0,0.0,0.0,3.0,0.9639037492525464,1.0,5,2,5,0
6,D6,Fast->Slow coupling removed,coupling_direction,only slow->fast coupling remains; fast does not feel slow,0.12078503807842836,0.08779442276424584,-0.01019028012994258,0.09614196099222341,0.15909972188534643,0.06707770939400762,-0.06300522577278064,-0.025657343533360605,0.23823782103136182,2.220446049250313e-16,-0.000163060439509088,0.9987494465752629,0.002850711803350124,0.0,-0.0001911056083726242,0.0,0.0018727421869394367,0.2456721609825553,0.9999907083877272,4.515814058685677e-06,3.0,3.0,11.0,0.0,0.0,0.6346099885607832,0.4968517314849658,0.016072184222226005,0.0,0.0,0.0,0.0,3.0,0.9945006525523772,2.0,5,2,5,0
7,D7,Slow->Fast coupling removed,coupling_direction,only fast->slow coupling remains; slow does not feel fast,0.11712158515795935,0.07654868563434056,-0.009692044706063859,0.08533995858794281,0.1571363794436083,0.06849248131523908,-0.06280409860529848,-0.027393270259473614,0.23842597100883722,2.220446049250313e-16,-0.0005427648908407423,0.9999337978679669,0.004654188226174026,0.0,-0.0010542226426521948,0.0,0.0022363223625681957,0.14000818844385785,0.9999923491243733,2.497479955910577e-06,3.0,5.0,9.0,0.0,0.0,0.214418828565852,0.4957329172720687,0.02164356440299453,0.0,0.0,0.0,0.0,3.0,0.9675290686964926,1.0,5,2,5,0
8,D8,Bidirectional removed (independent),coupling_direction,no coupling; fast and slow evolve independently,0.1190550502343313,0.07917284883980197,-0.010130024272896384,0.08776048822256766,0.1574666193019376,0.06825491754083979,-0.06293359699858551,-0.027066214439694702,0.2386234620353207,2.220446049250313e-16,-0.00021673612903219653,0.9999498212533943,0.004043071908789469,0.0,-0.000728193880843649,0.0,0.002374587235493173,0.10478393833064958,0.9999945793315428,1.5049918197213814e-06,3.0,5.0,9.0,0.0,0.0,0.251341897069065,0.4952925037184078,0.023916484244409286,0.0,0.0,0.0,0.0,3.0,0.9726537571570897,1.0,5,2,5,0
9,D9,Coupling additive (no multiplicative),coupling_form,pure additive coupling with full strength 1.0 on both sides,0.1194636817749752,0.08137032846682893,-0.010271953776395983,0.08988545321287747,0.1576753409440032,0.06802315669170401,-0.06295134726152435,-0.026891351098838345,0.2381415410200134,2.220446049250313e-16,-1.6753963669286615e-05,0.9999384723147708,0.0038172953768846256,0.0,-0.0005282117154807391,0.0,0.0015580225248278542,0.36346774606985555,0.9999848117426782,9.748390949357694e-06,3.0,5.0,10.0,0.0,0.0,0.7566376726973187,0.4975509959538044,0.01243363698196942,0.0,0.0,0.0,0.0,3.0,0.9834284044761716,2.0,5,2,5,0
10,D10,Coupling multiplicative,coupling_form,coupling as product u_fast*u_slow instead of additive difference,0.10703621988806247,0.08559642412726677,-0.0057696927415864605,0.08005626889847747,0.12374075455179988,0.06802610624736986,-0.06142495480900465,-0.04769937856115629,0.2383221120107919,2.220446049250313e-16,-7.570573380237273e-05,0.9998697339218341,0.013036318011681484,0.0,-0.0007174629950701449,1.0,0.0023773127452022366,0.10278641929878035,0.9999768975743637,2.101123412831365e-06,3.0,5.0,12.0,0.0,0.0,0.8515436026366547,0.4958919733922728,0.021594036922703452,0.0,0.0,0.0,0.0,3.0,0.9727471087266029,2.0,5,2,5,0
