decomposition_number,decomposition_code,decomposition_name,family,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,fast_slow_exchange_mean,fast_slow_exchange_var,state_persistence_mean,state_persistence_var,relaxation_time,spatial_correlation_length,temporal_persistence_length,propagating,standing,transverse,longitudinal,polarization_like,phase_velocity,group_velocity,attenuation,dispersion,coherence_length,mode_stability,wave_modes,wave_emerged
1,D1,Full A8 (control),control,Abell2744,Abell 2744,0.013782252868255645,0.11015345549646531,-0.009893751564078315,0.1201446514895228,0.15843655236978882,0.05958663728290372,-0.05923607445747866,0.004175478963756605,0.24201570800505579,2.220446049250313e-16,-0.0010128831485206745,0.9994060260212984,0.00331494068399717,0.0,0.002925243645847032,0.0,0.0017703031754780951,0.2810137055953857,0.9999920059476027,4.0266710474566385e-06,10.0,3.0,4.0,0.0,0.0,0.629968716201571,0.49739832006263723,0.010209502942145843,0.0,0.0,0.0,0.0,3.0,0.9963426112983473,2,True
2,D2,Fast removed (slow only),single_layer,Abell2744,Abell 2744,0.006469466625072562,0.10163239862249146,-0.00690624632099871,0.11254219499213852,0.15544155175475174,0.05984943741946538,-0.05761487847293845,0.001949707551880837,0.24245263903867453,2.220446049250313e-16,-9.583885584082876e-05,0.999970310595551,0.0026977969604829624,0.0,0.0038422879385268775,0.0,0.0,0.0,1.0,1.6467268631127714e-16,10.0,3.0,5.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,3.0,0.9834264698071462,1,True
3,D3,Slow removed (fast only),single_layer,Abell2744,Abell 2744,0.01431387522934025,0.12281461348826131,-0.009681375908714953,0.13164394166747836,0.16219407819023718,0.059248382178765074,-0.05933630200470898,0.007874845054206055,0.2400233169319108,2.220446049250313e-16,-0.00218569921437537,0.9999572528915405,0.007336818160916005,0.0,0.0017524275799923365,0.0,0.0,0.0,1.0,1.7199501139797033e-16,9.0,3.0,5.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,3.0,0.9701781860070531,1,True
4,D4,Fast frozen (slow evolves),frozen,Abell2744,Abell 2744,0.013786803599253637,0.11055324843672344,-0.010397273450061341,0.12034532988070136,0.16057649940713226,0.05963141335257761,-0.06018936935394725,0.005905749618154892,0.24077862000558525,2.220446049250313e-16,-0.0018913663501445386,0.9999179062504182,0.003428823476843924,0.0,0.0020467604442231677,0.0,0.0023246948559243275,0.10812889135254024,0.9999962122317708,2.025635391985561e-06,8.0,3.0,5.0,0.0,0.0,0.0,0.49612894017572157,0.01550334863130809,0.0,0.0,0.0,0.0,3.0,0.945410273879551,1,True
5,D5,Slow frozen (fast evolves),frozen,Abell2744,Abell 2744,0.017231345609199117,0.10541922876703805,-0.011998789070768123,0.11589620840769103,0.1568892008957439,0.05989597130915141,-0.06004259913383095,0.002483121969535539,0.24201098503544927,2.220446049250313e-16,-0.0006114372701180337,0.9999554807486112,0.004310534437934178,0.0,0.0033266895242496726,0.0,0.0022454984892871406,0.13615410563840663,0.9999946824303946,1.791707520564771e-06,9.0,3.0,5.0,0.0,0.0,0.0,0.4961659397372029,0.01497409906572178,0.0,0.0,0.0,0.0,3.0,0.9641788058770147,1,True
6,D6,Fast->Slow coupling removed,coupling_direction,Abell2744,Abell 2744,0.014884784770967406,0.11487903493576099,-0.01019028012994258,0.12446787654922971,0.15909972188534643,0.05943113980586289,-0.05930649178338762,0.004761467601279601,0.23886594991199672,2.220446049250313e-16,-0.0011870945977758337,0.9989749296162693,0.0031673280859894513,0.0,0.0027510321965918726,0.0,0.0018727421869394367,0.2456721609825553,0.9999930735934779,3.2010736232372157e-06,10.0,3.0,4.0,0.0,0.0,0.5691320338636878,0.4971811453162097,0.011088333664734829,0.0,0.0,0.0,0.0,3.0,0.9923577732827703,2,True
7,D7,Slow->Fast coupling removed,coupling_direction,Abell2744,Abell 2744,0.012499740821170691,0.10904513347934285,-0.009692044706063859,0.11921530497119802,0.1571363794436083,0.059634173644012044,-0.05927379004111025,0.0028481842177007946,0.23870064900256693,2.220446049250313e-16,-0.000576646934530379,0.9999279119862722,0.004855053040891053,0.0,0.0033614798598373273,0.0,0.0022363223625681957,0.14000818844385785,0.9999941199445714,1.856636957105023e-06,9.0,3.0,5.0,0.0,0.0,0.2537340175177048,0.4961869150235466,0.014886285031779911,0.0,0.0,0.0,0.0,3.0,0.9689972745702786,1,True
8,D8,Bidirectional removed (independent),coupling_direction,Abell2744,Abell 2744,0.013170561242755351,0.10983971132933487,-0.010130024272896384,0.12001188686141136,0.1574666193019376,0.05957608975288725,-0.05959190877308887,0.003203560062639943,0.24106984899844974,2.220446049250313e-16,-0.0007899748708140885,0.9999471357262696,0.004272816359718535,0.0,0.0031481519235536178,0.0,0.002374587235493173,0.10478393833064958,0.9999956809996661,1.1533243135491662e-06,9.0,3.0,5.0,0.0,0.0,0.29779227241651973,0.49579063199780476,0.01646874845860724,0.0,0.0,0.0,0.0,3.0,0.9739234566586455,1,True
9,D9,Coupling additive (no multiplicative),coupling_form,Abell2744,Abell 2744,0.013741303350165565,0.11005964286261515,-0.010271953776395983,0.12024080118939849,0.1576753409440032,0.05955396566254674,-0.05956609244675562,0.0034216967515489907,0.2428560060216114,2.220446049250313e-16,-0.0008795472345368266,0.9999417987581225,0.004059541500706154,0.0,0.0030585795598308796,0.0,0.0015580225248278542,0.3634487941512285,0.9999889327350526,6.892133710678414e-06,10.0,3.0,5.0,0.0,0.0,0.6980774426609425,0.4978117082238715,0.008547911772710748,0.0,0.0,0.0,0.0,3.0,0.9835202933688492,2,True
10,D10,Coupling multiplicative,coupling_form,Abell2744,Abell 2744,0.008214785327651025,0.11012876508775706,-0.0057696927415864605,0.11614619864529291,0.12374075455179988,0.05222149285523585,-0.055314330842852026,-0.01896197116155886,0.23911863891407847,2.220446049250313e-16,-7.570573380237273e-05,0.9998697339218341,0.013036318011681484,0.0,0.0038624210605653336,1.0,0.002377186708408709,0.10278641929878035,0.9999841900044487,1.6187354399688166e-06,12.0,3.0,5.0,0.0,0.0,0.8458622342558271,0.4962648308470094,0.01520874314056575,0.0,0.0,0.0,0.0,3.0,0.9751897891031764,2,True
