family_number,family_code,family_name,principle,is_wrong,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_emergent_coherence_index,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,median_spatial_correlation_length,median_temporal_persistence_length,median_cooperative_interaction_index,median_strain_energy,median_interaction_energy,median_total_energy,median_strain_energy_relaxation,median_effective_interaction_radius,clusters_with_emergent_coherence,clusters_with_emergent_memory,clusters_improving_pearson_kappa,delta_pearson_kappa_vs_n1,delta_rms_kappa_vs_n1,naturally_reproduces_both
1,N1,First Neighbour Only (Control),Ring 1 weight 1.0,False,0.08475000110281368,0.10632891320622308,-0.0026163106391126727,0.11831687168613611,0.1644112208563287,0.06311821487558476,-0.060720049052383804,-0.011241838242615548,0.23998097702860832,2.220446049250313e-16,0.000894494384791822,0.0012513896798928403,0.9999999884827642,0.055833158052912564,3.0,4.0,0.615525735506971,1.043711398643926e-05,1.0644520405962013e-05,2.1081634392401272e-05,1.5953333669271142e-05,40.0,3,5,0,0.0,0.0,False
2,N2,Two-Ring Neighbourhood,"Ring 1: 1.0, Ring 2: 0.5",False,0.08938961766523429,0.07908721989372708,-0.0017611091915037053,0.09149675449930743,0.16143050750429233,0.06470257235916145,-0.0607739380150729,-0.013059266895441596,0.2390173530438915,2.220446049250313e-16,0.00160410592315516,-0.0006968328743247897,0.9999999896883209,0.05267973663802366,3.0,4.0,0.563505860545813,5.12970141738072e-06,3.052636858244303e-06,8.182338275625023e-06,2.1081553566500097e-05,40.0,2,5,4,0.004639616562420609,-0.0029807133520363682,False
3,N3,Three-Ring Neighbourhood,"Ring 1: 1.0, Ring 2: 0.5, Ring 3: 0.25",False,0.08114901033906083,0.08025765965082544,-0.0019895448010127698,0.09340684984639235,0.15658405006978907,0.06386824700501009,-0.060605653695840755,-0.016638081401381954,0.23802789999172091,2.220446049250313e-16,0.003799372106142204,0.001122645705923651,0.9999999899427436,0.051895477972372525,3.0,4.0,0.5308136557871275,3.82532512816025e-06,1.6170451786720416e-06,5.4423703068322914e-06,2.2336435418851847e-05,40.0,4,5,3,-0.003600990763752851,-0.007827170786539633,False
4,N4,Exponential Decay,"w(d) = exp(-d/lambda), lambda=1.0",False,0.08197134346453408,0.08074036016613394,-0.0018704078694755115,0.09380412677945014,0.1578056620085006,0.06395081698504823,-0.060503683863525524,-0.015495748404415338,0.23820562998298556,2.220446049250313e-16,0.0032182456152449884,0.0007284349012742337,0.9999999898573995,0.052173294820468626,3.0,4.0,0.5505422023416922,4.266070315429726e-06,2.2067834420019686e-06,6.472853757431695e-06,2.1909277920528967e-05,40.0,3,5,3,-0.0027786576382795997,-0.006605558847828097,False
5,N5,Gaussian Local Field,"w(d) = exp(-d^2 / (2 sigma^2)), sigma=1.2",False,0.08832457744343711,0.07878993069666758,-0.0017819225824018657,0.09122254084574466,0.15967804500798766,0.06430388511221913,-0.06071734297996079,-0.01429198255796808,0.23924322403036058,2.220446049250313e-16,0.002503922916435638,-0.00019458830061801777,0.999999989751663,0.052499525425440646,3.0,4.0,0.5628002121631361,4.80399871772001e-06,2.8320692725964474e-06,7.636067990316457e-06,2.1390911841707186e-05,40.0,2,5,3,0.003574576340623428,-0.0047331758483410424,False
6,N6,Inverse Distance,w(d) = 1/d,False,0.07978643079459137,0.08328617179874626,-0.0019432508108886014,0.09648958612463361,0.15585649225845388,0.06358346836355112,-0.06048887516782962,-0.017324387912737837,0.2378287889296189,2.220446049250313e-16,0.003944279778500736,0.0012457685614470806,0.9999999899653433,0.05180475292028268,3.0,4.0,0.5230117661977767,3.677403041981046e-06,1.4347610251631694e-06,5.112164067144215e-06,2.2479024683263716e-05,40.0,4,5,3,-0.004963570308222309,-0.008554728597874817,False
7,N7,Inverse Square,w(d) = 1/d^2,False,0.08602454244475473,0.07641191894899564,-0.00176801581812652,0.08974735648907034,0.1581132727902976,0.06388647572614971,-0.06046686512235015,-0.015293134586376716,0.23712680605240166,2.220446049250313e-16,0.003040325050809946,0.0005365230598512998,0.9999999897930233,0.05237225442532961,3.0,4.0,0.5624781987221639,4.575424198866437e-06,2.682627401101764e-06,7.2580515999682005e-06,2.1608133474217607e-05,40.0,3,5,3,0.001274541341941049,-0.006297948066031095,False
8,N8,Finite Radius,Equal weight within radius R=3,False,0.07704500479693598,0.09119660212627759,-0.0021045199388348497,0.10413989267564427,0.15169892858205988,0.06338679729758881,-0.060346552651289145,-0.01923081408349113,0.23817665106616914,2.220446049250313e-16,0.003842524672574522,0.002405312451793821,0.9999999899920669,0.05162264558709745,3.0,4.0,0.492104293076421,3.405938965322795e-06,9.82739924527502e-07,4.388678889850297e-06,2.2744802061745556e-05,40.0,5,5,2,-0.007704996305877704,-0.012712292274268816,True
9,N9,Orientation-Weighted,weight *= (1 + 0.5 cos(theta_diff)),False,0.08192631055398664,0.08599030152214004,-0.0007345237238451926,0.09772912434750682,0.1579738266145073,0.06529184113832262,-0.06029439323391735,-0.016319255144619273,0.23719569703098387,2.220446049250313e-16,0.002038967517245163,0.0008379677510334397,0.9911016046945854,0.05255810486873035,3.0,4.0,0.5344060524527571,4.27688476575811e-06,1.8128951945747976e-06,6.0897799603329075e-06,2.1906053796654346e-05,40.0,3,5,2,-0.002823690548827043,-0.006437394241821409,False
10,N10,Adaptive Local Field,weight *= (1 + 0.5 * |grad u|),False,0.08114901033906072,0.08025765965082535,-0.001989544801012797,0.09340684984639229,0.1565840500697891,0.06386824700501008,-0.060605653695840755,-0.016638081401381948,0.23879599291831255,2.220446049250313e-16,0.0037993721061422066,0.0011226457059236462,0.9999999899427436,0.051895477972372525,3.0,4.0,0.5308136557871275,3.82532512816025e-06,1.6170451786720416e-06,5.4423703068322914e-06,2.2336435418851847e-05,40.0,4,5,3,-0.003600990763752962,-0.007827170786539606,False
11,N11,Cooperative Relaxation,"F = (mean_w * neighbours) - u, with damping",False,0.07455861288829597,0.09347270651719043,-0.0015495615323114784,0.1056522261824499,0.15070202451761971,0.0641883807947021,-0.05852266923741364,-0.018376656482918086,0.23913194390479475,2.220446049250313e-16,0.0005137188811337547,0.00033456626004009504,1.0,0.058349344040289304,3.0,4.0,0.5814409379157339,5.345645374602177e-06,3.6163281303346845e-06,8.961973504936861e-06,3.450000476120341e-05,40.0,3,5,3,-0.010191388214517705,-0.013709196338708984,False
