group,method,x_label,n_points,p_obs_kappa_mean,r2_kappa_mean,p_obs_kappa_field,r2_kappa_field,values_at_refinement,errors_at_refinement,refinement_values
A,jacobian,1/sqrt(nphotons),6,1.5215754128148993,0.6513793167615962,0.9823986123661282,0.9899444509078111,"-2.7076e-02,-6.0672e-03,4.3313e-03,-4.1174e-03,-4.8573e-03,-2.8670e-03","9.5910e-02,7.1201e-02,4.7177e-02,3.1257e-02,2.0980e-02,0.0000e+00","2.2361e-02,1.4142e-02,1.0000e-02,7.0711e-03,4.4721e-03,3.1623e-03"
A,area,1/sqrt(nphotons),6,0.9014125592236534,0.15249795489799634,0.937097427477232,0.9884555427051115,"-2.9878e-02,-1.7995e-02,-1.0318e-02,-1.9114e-02,-2.0617e-02,-1.8563e-02","9.2113e-02,6.9793e-02,4.6005e-02,3.1268e-02,2.1778e-02,0.0000e+00","2.2361e-02,1.4142e-02,1.0000e-02,7.0711e-03,4.4721e-03,3.1623e-03"
A,triangulation,1/sqrt(nphotons),6,0.47016438622015433,0.6485295185960366,0.43859818945269513,0.79801811188586,"-4.7586e-03,-3.7285e-03,-4.8157e-03,-1.1625e-02,-3.3642e-02,-5.6107e-02","1.1608e-01,1.0544e-01,1.0227e-01,8.9944e-02,5.3836e-02,0.0000e+00","2.2361e-02,1.4142e-02,1.0000e-02,7.0711e-03,4.4721e-03,3.1623e-03"
B,jacobian,1/grid_n,5,1.0465757535330769,0.8025862568858181,0.5863015686269883,0.9355865658340912,"5.4232e-03,4.3313e-03,-6.4882e-04,-6.7622e-03,-8.1991e-03","1.8169e-01,8.7933e-02,7.3492e-02,4.9773e-02,0.0000e+00","1.5625e-02,7.8125e-03,3.9062e-03,1.9531e-03,9.7656e-04"
B,area,1/grid_n,5,0.14419529608791257,0.7751747465391472,0.48738382347243664,0.8793728983401299,"-1.0603e-02,-1.0318e-02,-1.4526e-02,-1.4536e-02,-2.8630e-02","1.7544e-01,8.5987e-02,7.8330e-02,5.8692e-02,0.0000e+00","1.5625e-02,7.8125e-03,3.9062e-03,1.9531e-03,9.7656e-04"
B,triangulation,1/grid_n,5,1.6214686536351188,0.9982595013482829,0.48030280632970035,0.8762648744735406,"-1.1255e-02,-4.8157e-03,-3.1014e-03,-1.9232e-03,-2.2293e-03","1.1204e-01,5.7256e-02,4.5574e-02,3.9854e-02,0.0000e+00","1.5625e-02,7.8125e-03,3.9062e-03,1.9531e-03,9.7656e-04"
C,jacobian,step,4,0.1348225870146242,0.039171350803312355,0.8471052497523421,0.886584556360955,"4.3313e-03,5.0039e-03,4.2200e-03,3.6785e-03","1.8229e-02,1.4579e-02,5.6333e-03,0.0000e+00","6.0000e-02,3.0000e-02,1.5000e-02,7.5000e-03"
C,area,step,4,1.6580946806979246,0.9677695957205528,0.9689177977120658,0.9444453724721498,"-1.0318e-02,-3.3982e-03,-4.0784e-03,-4.6477e-03","2.1049e-02,1.4259e-02,5.4941e-03,0.0000e+00","6.0000e-02,3.0000e-02,1.5000e-02,7.5000e-03"
C,triangulation,step,4,-1.2316771777862314,0.9599593364881965,0.8776539520802312,0.8824089566366172,"-4.8157e-03,-4.7311e-03,-4.6402e-03,-4.8546e-03","1.5055e-02,1.2037e-02,4.4595e-03,0.0000e+00","6.0000e-02,3.0000e-02,1.5000e-02,7.5000e-03"
D,jacobian,1/domain_L,4,-0.3589102588450092,0.17379874870903977,2.243348069240174,0.9999304493555593,"4.3313e-03,-5.8797e-03,5.1185e-03,6.8657e-04","1.0167e-01,4.1378e-02,2.1445e-02,0.0000e+00","1.2500e-01,8.3333e-02,6.2500e-02,4.1667e-02"
D,area,1/domain_L,4,1.3438430757082935,0.701074387827305,2.1057202276022045,0.9961248091865434,"-1.0318e-02,-9.8412e-03,3.6466e-03,-1.3346e-04","9.1438e-02,4.1940e-02,2.1055e-02,0.0000e+00","1.2500e-01,8.3333e-02,6.2500e-02,4.1667e-02"
D,triangulation,1/domain_L,4,1.0043298388884558,0.5791022535936201,2.1958397252471142,0.9831883837974453,"-4.8157e-03,-5.2312e-03,2.7503e-03,3.3017e-04","8.0045e-02,3.8662e-02,1.7133e-02,0.0000e+00","1.2500e-01,8.3333e-02,6.2500e-02,4.1667e-02"
E,jacobian,1/n_neighbours,4,nan,nan,nan,nan,"4.3313e-03,4.3313e-03,4.3313e-03,4.3313e-03","0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00","2.5000e-01,1.2500e-01,6.2500e-02,2.0000e-02"
E,area,1/n_neighbours,4,nan,nan,nan,nan,"-1.0318e-02,-1.0318e-02,-1.0318e-02,-1.0318e-02","0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00","2.5000e-01,1.2500e-01,6.2500e-02,2.0000e-02"
E,triangulation,1/n_neighbours,4,nan,nan,nan,nan,"-4.8157e-03,-4.8157e-03,-4.8157e-03,-4.8157e-03","0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00","2.5000e-01,1.2500e-01,6.2500e-02,2.0000e-02"
E,knn_jacobian,1/n_neighbours,4,3.9307869821842383,0.9197391643291302,1.1377503196130108,0.7950582219644322,"2.0760e-01,2.9583e-03,4.6901e-04,-4.2542e-04","2.3019e-01,5.2288e-02,4.7543e-02,0.0000e+00","2.5000e-01,1.2500e-01,6.2500e-02,2.0000e-02"
