group,tag,nphotons,grid_n,step,steps,domain_L,n_neighbours,field_n_cells,trajectory_array_bytes,tracemalloc_peak_bytes,tracemalloc_peak_mb,peak_rss_kb,peak_rss_mb
A,A_2000_128_s1_L8.0_k8,2000,128,0.06,80,8.0,8,16384,2560000,4905718,4.678457260131836,125620,122.67578125
A,A_5000_128_s1_L8.0_k8,5000,128,0.06,80,8.0,8,16384,6400000,10178542,9.707014083862305,138852,135.59765625
A,A_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,16384,12800000,19154753,18.267395973205566,162072,158.2734375
A,A_20000_128_s1_L8.0_k8,20000,128,0.06,80,8.0,8,16384,25447680,37492403,35.75554180145264,207936,203.0625
A,A_50000_128_s1_L8.0_k8,50000,128,0.06,80,8.0,8,16384,64000000,93436954,89.10842323303223,330332,322.58984375
A,A_100000_128_s1_L8.0_k8,100000,128,0.06,80,8.0,8,16384,127815680,186083067,177.46264171600342,555928,542.8984375
B,B_10000_64_s1_L8.0_k8,10000,64,0.06,80,8.0,8,4096,12800000,19153691,18.266383171081543,680828,664.87109375
B,B_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,16384,12800000,19154658,18.267305374145508,680828,664.87109375
B,B_10000_256_s1_L8.0_k8,10000,256,0.06,80,8.0,8,65536,12800000,19155872,18.268463134765625,680828,664.87109375
B,B_10000_512_s1_L8.0_k8,10000,512,0.06,80,8.0,8,262144,12800000,19154031,18.26670742034912,680828,664.87109375
B,B_10000_1024_s1_L8.0_k8,10000,1024,0.06,80,8.0,8,1048576,12800000,19154681,18.267327308654785,680828,664.87109375
C,C_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,16384,12800000,19154070,18.26674461364746,680828,664.87109375
C,C_10000_128_s2_L8.0_k8,10000,128,0.03,160,8.0,8,16384,25600000,31954321,30.47401523590088,680828,664.87109375
C,C_10000_128_s4_L8.0_k8,10000,128,0.015,320,8.0,8,16384,51200000,57554665,54.88840579986572,680828,664.87109375
C,C_10000_128_s8_L8.0_k8,10000,128,0.0075,640,8.0,8,16384,102400000,108754273,103.71615695953369,680828,664.87109375
D,D_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,16384,12800000,19153929,18.266610145568848,762324,744.45703125
D,D_10000_128_s1_L12.0_k8,10000,128,0.06,80,12.0,8,16384,12800000,19110437,18.225132942199707,762324,744.45703125
D,D_10000_128_s1_L16.0_k8,10000,128,0.06,80,16.0,8,16384,12800000,19095980,18.211345672607422,762324,744.45703125
D,D_10000_128_s1_L24.0_k8,10000,128,0.06,80,24.0,8,16384,12800000,19090688,18.206298828125,762324,744.45703125
E,E_10000_128_s1_L8.0_k4,10000,128,0.06,80,8.0,4,16384,12800000,19148375,18.261313438415527,762324,744.45703125
E,E_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,16384,12800000,19146024,18.259071350097656,762324,744.45703125
E,E_10000_128_s1_L8.0_k16,10000,128,0.06,80,8.0,16,16384,12800000,19146212,18.25925064086914,762324,744.45703125
E,E_10000_128_s1_L8.0_kadaptive,10000,128,0.06,80,8.0,adaptive,16384,12800000,19145930,18.258981704711914,762324,744.45703125
