group,tag,nphotons,grid_n,step,steps,domain_L,n_neighbours,propagation_runtime_seconds,jacobian_runtime_seconds,area_runtime_seconds,triangulation_runtime_seconds,knn_jacobian_runtime_seconds,total_runtime_seconds
A,A_2000_128_s1_L8.0_k8,2000,128,0.06,80,8.0,8,0.016540272976271808,0.14460770098958164,0.13848404795862734,0.012665987014770508,0.0,0.31246480997651815
A,A_5000_128_s1_L8.0_k8,5000,128,0.06,80,8.0,8,0.0263618309982121,0.16004600597079843,0.15281649609096348,0.028671456966549158,0.0,0.3680738100083545
A,A_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,0.04260317201260477,0.17539588105864823,0.1657055049436167,0.056905360077507794,0.0,0.4407996990485117
A,A_20000_128_s1_L8.0_k8,20000,128,0.06,80,8.0,8,0.07101836602669209,0.20583759900182486,0.19635536393616349,0.10675431101117283,0.0,0.5801745909266174
A,A_50000_128_s1_L8.0_k8,50000,128,0.06,80,8.0,8,0.17833003995474428,0.3133327349787578,0.30216163699515164,0.30558208108413965,0.0,1.09963979490567
A,A_100000_128_s1_L8.0_k8,100000,128,0.06,80,8.0,8,0.35412560298573226,0.48040472506545484,0.47101882193237543,0.7136549389688298,0.0,2.0195089610060677
B,B_10000_64_s1_L8.0_k8,10000,64,0.06,80,8.0,8,0.037568136933259666,0.1766861779615283,0.16901087504811585,0.05209930601995438,0.0,0.4355535570066422
B,B_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,0.039150736993178725,0.17478820402175188,0.16796586790587753,0.04850414104294032,0.0,0.4305932819843292
B,B_10000_256_s1_L8.0_k8,10000,256,0.06,80,8.0,8,0.041288051987066865,0.17499810608569533,0.16666482901200652,0.04853977099992335,0.0,0.4316798789659515
B,B_10000_512_s1_L8.0_k8,10000,512,0.06,80,8.0,8,0.045668632024899125,0.17534443794284016,0.16777645598631352,0.04878959304187447,0.0,0.4377729200059548
B,B_10000_1024_s1_L8.0_k8,10000,1024,0.06,80,8.0,8,0.047294472926296294,0.17517639708239585,0.16781468607950956,0.04895813390612602,0.0,0.43944323097821325
C,C_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,0.039959641988389194,0.1754139169352129,0.16735899297054857,0.0486120420973748,0.0,0.4315401860512793
C,C_10000_128_s2_L8.0_k8,10000,128,0.03,160,8.0,8,0.07914351008366793,0.17695814894977957,0.16731231193989515,0.04858553200028837,0.0,0.47221871407236904
C,C_10000_128_s4_L8.0_k8,10000,128,0.015,320,8.0,8,0.16014652303420007,0.1750947149703279,0.16657583601772785,0.0485482020303607,0.0,0.5505632379790768
C,C_10000_128_s8_L8.0_k8,10000,128,0.0075,640,8.0,8,0.34249398799147457,0.17614612099714577,0.16744377196300775,0.04836993000935763,0.0,0.7346665429649875
D,D_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,0.04070773790590465,0.1748691030079499,0.1667261179536581,0.0486652220133692,0.0,0.4311714719515294
D,D_10000_128_s1_L12.0_k8,10000,128,0.06,80,12.0,8,0.039009395986795425,0.14555539307184517,0.14342080790083855,0.048445319989696145,0.0,0.3765686780679971
D,D_10000_128_s1_L16.0_k8,10000,128,0.06,80,16.0,8,0.0390776569256559,0.13697103410959244,0.13489919004496187,0.0500370510853827,0.0,0.36110236297827214
D,D_10000_128_s1_L24.0_k8,10000,128,0.06,80,24.0,8,0.0391480770194903,0.12787078297697008,0.12875289702787995,0.04828175902366638,0.0,0.34416481701191515
E,E_10000_128_s1_L8.0_k4,10000,128,0.06,80,8.0,4,0.039118085987865925,0.17623349104542285,0.16814051591791213,0.04887063300702721,1.0348488029558212,1.4674560009734705
E,E_10000_128_s1_L8.0_k8,10000,128,0.06,80,8.0,8,0.03889432502910495,0.17439275910146534,0.16559127799700946,0.04895234399009496,1.0343316940125078,1.4624096519546583
E,E_10000_128_s1_L8.0_k16,10000,128,0.06,80,8.0,16,0.038687293068505824,0.1747400489402935,0.16617744194809347,0.049683777964673936,1.0303344329586253,1.4598532570526004
E,E_10000_128_s1_L8.0_kadaptive,10000,128,0.06,80,8.0,adaptive,0.038714442984201014,0.17458795802667737,0.16660102410241961,0.04921528499107808,1.1804276389302686,1.6097813720116392
