checkpoint,field_name,shape,dtype,hash,minimum,maximum,mean,variance,rms,nonzero_count,finite_count,nan_count,inf_count,source_checkpoint,same_hash_as_source,candidate_id,cluster_id
CP01,u_slow,"[9, 32, 32]",float64,3f3dafd4479e13da,0.000557108694427309,0.045905105595111254,0.013731739575787268,0.0001317737727109393,0.01789788938641039,9216,9216,0,0,,,PL1_PM1_PS2,MACS0416
CP02,u_fast,"[9, 32, 32]",float64,e9e9bbd5c91f2895,0.001364358330094107,0.04211240174033798,0.013918563262079754,0.00010211620486386673,0.01720007581798356,9216,9216,0,0,,,PL1_PM1_PS2,MACS0416
CP03,c_state,"[9, 32, 32]",float64,86a9ce342f973182,0.0009676260584109081,0.044008753667724616,0.01382515141893351,0.00011640860813831713,0.017536915917422777,9216,9216,0,0,,,PL1_PM1_PS2,MACS0416
CP04,longitudinal_scalar,"[9, 32, 32]",float64,86a9ce342f973182,0.0009676260584109081,0.044008753667724616,0.01382515141893351,0.00011640860813831713,0.017536915917422777,9216,9216,0,0,86a9ce342f973182,,,
CP05,longitudinal_unit_vector,"[9, 32, 32]",float64,8fb41d2b41d56a24,0.0002162542955076907,0.013976677706241605,0.006096634864785563,1.0381618892589874e-05,0.006895692537164687,9216,9216,0,0,86a9ce342f973182,,,
CP06,projector_tensor,"[9, 32, 32]",float64,66f33387c96ea6eb,-0.4999688900436291,0.9999999999778242,0.33313786109445065,0.032280431103150396,0.5734984021115789,55296,55296,0,0,8fb41d2b41d56a24,,,
CP07,pair_amplitude,"[9, 32, 32]",float64,088afd4118a54534,-5.867109379580137e-05,5.8772013121185615e-05,-7.4292782563741215e-09,4.016281465249512e-10,2.0040663704556457e-05,8928,9216,0,0,e9e9bbd5c91f2895,,,
CP08,projected_pair_direction,"[26048, 9, 32, 32]",float64,f7b33efcb7801d94,0.0004222513008589639,0.9999999999889121,0.7171082375027095,0.1678363610100996,0.8258817017614217,240058368,240058368,0,0,66f33387c96ea6eb,,,
CP09,pair_response,"[9, 32, 32]",float64,f9d18488726d0158,-5.118677718127223e-05,4.959424067614773e-05,-1.094317961345667e-08,3.0499384514218926e-10,1.7464076411175294e-05,8928,9216,0,0,088afd4118a54534,,,
CP10,endpoint_field,"[9, 32, 32]",float64,89899878c308a4dc,-0.0005592122674569262,0.0004813082323334094,1.6470085085500285e-22,1.6162716557684665e-08,0.00012713267305332907,9216,9216,0,0,f9d18488726d0158,,PL1_PM1_PS2,MACS0416
CP11,interface_field,"[9, 32, 32]",float64,96ab35cc5f3b8e19,-0.000415365028231551,0.0004199363190018205,1.3824961510048446e-07,1.399522501740019e-08,0.00011830149673759949,9215,9216,0,0,f9d18488726d0158,,PL1_PM1_PS2,MACS0416
CP12,central_slice,"[32, 32]",float64,9752bb8f1fae774a,-8.7135134035812e-05,0.00017397107124898965,1.07976024458708e-06,2.2521301259733935e-10,1.5045892953996785e-05,1024,1024,0,0,89899878c308a4dc,,PL1_PM1_PS2,MACS0416
CP13,LOS_vector_field,"[32, 32]",float64,85ebb0e25d5b1cad,-8.264867056230097e-05,0.00013286294837589038,-2.3822801641527197e-22,1.4531866590432263e-09,3.812068544823435e-05,1024,1024,0,0,89899878c308a4dc,,PL1_PM1_PS2,MACS0416
CP14,ray_input,"[32, 32]",,bc96f5db35a1b0a6,1.6812486932194129e-06,0.00015370714716324643,4.198568824714489e-05,1.1864457213230315e-09,5.430694006210875e-05,1024,1024,0,0,85ebb0e25d5b1cad,,PL1_PM1_PS2,MACS0416
CP15,displacement_field,"[32, 32]",float64,85ebb0e25d5b1cad,-8.264867056230097e-05,0.00013286294837589038,-2.3822801641527197e-22,1.4531866590432263e-09,3.812068544823435e-05,1024,1024,0,0,bc96f5db35a1b0a6,,PL1_PM1_PS2,MACS0416
CP16,Jacobian,"[32, 32]",float64,41c7f066610a7b94,-8.042293238819635e-05,8.285963546943504e-05,-2.7576771720905002e-08,5.388233895337155e-10,2.321258602594838e-05,1024,1024,0,0,85ebb0e25d5b1cad,,PL1_PM1_PS2,MACS0416
CP17,kappa,"[32, 32]",float64,581a261111a5b9a1,0.9999452331963072,1.000059919754962,1.000000000338988,2.717017688345374e-10,1.0000000004748386,1024,1024,0,0,41c7f066610a7b94,,PL1_PM1_PS2,MACS0416
CP18,gamma,"[32, 32]",float64,2fe0f256adb88a93,6.292438381782362e-07,8.132339128054182e-05,1.589796720235526e-05,1.3456640479565174e-10,1.9680237954933757e-05,1024,1024,0,0,41c7f066610a7b94,,PL1_PM1_PS2,MACS0416
