transform,checkpoint,field_type,relative_error,classification,passes_1e12,passes_1e8
RC0,rho_3d,scalar,0.0,machine_precision,True,True
RC0,u_slow,scalar,0.0,machine_precision,True,True
RC0,u_fast,scalar,0.0,machine_precision,True,True
RC0,c_state,scalar,0.0,machine_precision,True,True
RC0,eL,vector,0.0,machine_precision,True,True
RC0,PT,tensor,0.0,machine_precision,True,True
RC0,pair_amplitude_oriented,pair_oriented,0.0,machine_precision,True,True
RC0,pair_response_oriented,pair_oriented,0.0,machine_precision,True,True
RC0,endpoint,vector,0.0,machine_precision,True,True
RC0,interface,vector,0.0,machine_precision,True,True
RC1,rho_3d,scalar,0.0,machine_precision,True,True
RC1,u_slow,scalar,5.416830004434254e-17,machine_precision,True,True
RC1,u_fast,scalar,7.015443781908512e-17,machine_precision,True,True
RC1,c_state,scalar,6.345526046039404e-17,machine_precision,True,True
RC1,eL,vector,1.613799802825225e-16,machine_precision,True,True
RC1,PT,tensor,1.7441726981351418e-16,machine_precision,True,True
RC1,pair_amplitude_oriented,pair_oriented,2.523587160990623e-16,machine_precision,True,True
RC1,pair_response_oriented,pair_oriented,5.681142458948091e-16,machine_precision,True,True
RC1,endpoint,vector,8.577647602870153e-16,machine_precision,True,True
RC1,interface,vector,8.99265912922513e-16,machine_precision,True,True
RC2,rho_3d,scalar,0.0,machine_precision,True,True
RC2,u_slow,scalar,6.836670607567952e-17,machine_precision,True,True
RC2,u_fast,scalar,8.067681815050962e-17,machine_precision,True,True
RC2,c_state,scalar,7.800644879420035e-17,machine_precision,True,True
RC2,eL,vector,2.0294306748568387e-16,machine_precision,True,True
RC2,PT,tensor,2.2035411799367452e-16,machine_precision,True,True
RC2,pair_amplitude_oriented,pair_oriented,2.9357193585078185e-16,machine_precision,True,True
RC2,pair_response_oriented,pair_oriented,8.519242847935669e-16,machine_precision,True,True
RC2,endpoint,vector,1.2399814533828713e-15,machine_precision,True,True
RC2,interface,vector,1.3948670028773022e-15,machine_precision,True,True
RC3,rho_3d,scalar,0.0,machine_precision,True,True
RC3,u_slow,scalar,6.163374432360845e-17,machine_precision,True,True
RC3,u_fast,scalar,7.800308822062491e-17,machine_precision,True,True
RC3,c_state,scalar,7.004074511125074e-17,machine_precision,True,True
RC3,eL,vector,1.9951839664647679e-16,machine_precision,True,True
RC3,PT,tensor,2.172522420341664e-16,machine_precision,True,True
RC3,pair_amplitude_oriented,pair_oriented,2.838034110675343e-16,machine_precision,True,True
RC3,pair_response_oriented,pair_oriented,7.33839181832272e-16,machine_precision,True,True
RC3,endpoint,vector,1.0655642628092297e-15,machine_precision,True,True
RC3,interface,vector,1.2054063129473219e-15,machine_precision,True,True
RC4,rho_3d,scalar,0.0,machine_precision,True,True
RC4,u_slow,scalar,6.305825113644928e-17,machine_precision,True,True
RC4,u_fast,scalar,8.174134573597866e-17,machine_precision,True,True
RC4,c_state,scalar,7.497302486652719e-17,machine_precision,True,True
RC4,eL,vector,2.0186842438142917e-16,machine_precision,True,True
RC4,PT,tensor,2.1920991467892805e-16,machine_precision,True,True
RC4,pair_amplitude_oriented,pair_oriented,2.977927065169342e-16,machine_precision,True,True
RC4,pair_response_oriented,pair_oriented,1.3592573811593276,failure,False,False
RC4,endpoint,vector,1.2157923426804176,failure,False,False
RC4,interface,vector,1.330345244221303e-15,machine_precision,True,True
RC5,rho_3d,scalar,0.0,machine_precision,True,True
RC5,u_slow,scalar,6.339841239392361e-17,machine_precision,True,True
RC5,u_fast,scalar,8.33693933826789e-17,machine_precision,True,True
RC5,c_state,scalar,7.790849880102599e-17,machine_precision,True,True
RC5,eL,vector,2.0050090304575e-16,machine_precision,True,True
RC5,PT,tensor,2.1817987268504872e-16,machine_precision,True,True
RC5,pair_amplitude_oriented,pair_oriented,3.0449206898304067e-16,machine_precision,True,True
RC5,pair_response_oriented,pair_oriented,1.0309366691111765,failure,False,False
RC5,endpoint,vector,1.1469657701352303,failure,False,False
RC5,interface,vector,1.3738822090496204e-15,machine_precision,True,True
RC6,rho_3d,scalar,0.0,machine_precision,True,True
RC6,u_slow,scalar,5.416830004434254e-17,machine_precision,True,True
RC6,u_fast,scalar,7.015443781908512e-17,machine_precision,True,True
RC6,c_state,scalar,6.345526046039404e-17,machine_precision,True,True
RC6,eL,vector,1.613799802825225e-16,machine_precision,True,True
RC6,PT,tensor,1.7441726981351418e-16,machine_precision,True,True
RC6,pair_amplitude_oriented,pair_oriented,2.523587160990623e-16,machine_precision,True,True
RC6,pair_response_oriented,pair_oriented,1.0438337779770173,failure,False,False
RC6,endpoint,vector,1.14948675361989,failure,False,False
RC6,interface,vector,8.99265912922513e-16,machine_precision,True,True
