transform,source_direction,mapped_vector_x,mapped_vector_y,mapped_vector_z,canonical_transformed_direction,endpoint_swap,orientation_sign
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC0,xp,1.0,0.0,0.0,xp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC1,xp,0.0,1.0,0.0,yp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC2,xp,0.0,0.0,1.0,zp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC3,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC4,xp,1.0,0.0,0.0,xp,False,1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC5,xp,0.0,0.0,-1.0,zp,True,-1
RC6,xp,0.0,1.0,0.0,yp,False,1
