native_axis,native_source_z,native_source_y,native_source_x,native_dest_z,native_dest_y,native_dest_x,mapped_axis,mapped_source_z,mapped_source_y,mapped_source_x,mapped_dest_z,mapped_dest_y,mapped_dest_x,endpoint_swap,expected_sign,A_native,A_transformed_back,absolute_difference
yp,0,0,0,0,1,0,xp,0,0,0,0,0,1,False,1,-6.428546971840354e-07,-3.4222459428426907e-06,2.7793912456586553e-06
yp,0,1,0,0,2,0,xp,0,0,1,0,0,2,False,1,6.532919026548636e-07,-2.8213287862593086e-06,3.4746206889141724e-06
yp,0,2,0,0,3,0,xp,0,0,2,0,0,3,False,1,1.8485243343437939e-06,1.7516701586138817e-08,1.831007632757655e-06
yp,0,3,0,0,4,0,xp,0,0,3,0,0,4,False,1,-5.48884872556574e-07,6.948389005253271e-06,7.497273877809845e-06
yp,0,4,0,0,5,0,xp,0,0,4,0,0,5,False,1,2.8789322052847084e-06,3.3915614394994355e-06,5.12629234214727e-07
yp,0,5,0,0,6,0,xp,0,0,5,0,0,6,False,1,2.437942752986617e-07,-3.081887855533938e-06,3.3256821308326e-06
yp,0,6,0,0,7,0,xp,0,0,6,0,0,7,False,1,-1.2568172337029815e-05,-5.276980712347487e-06,7.291191624682328e-06
yp,0,7,0,0,8,0,xp,0,0,7,0,0,8,False,1,-1.0954601648333153e-06,-4.964878870866871e-07,5.989722777466282e-07
yp,0,8,0,0,9,0,xp,0,0,8,0,0,9,False,1,-4.991232215078205e-07,7.705012721834145e-06,8.204135943341966e-06
yp,0,9,0,0,10,0,xp,0,0,9,0,0,10,False,1,1.1261880600697544e-07,1.5598061101070606e-07,4.336180500373062e-08
yp,0,10,0,0,11,0,xp,0,0,10,0,0,11,False,1,2.590473790596596e-06,-5.8570799308906366e-06,8.447553721487233e-06
yp,0,11,0,0,12,0,xp,0,0,11,0,0,12,False,1,8.872585094172424e-07,2.34516196909318e-07,6.527423125079244e-07
yp,0,12,0,0,13,0,xp,0,0,12,0,0,13,False,1,7.933749640975021e-06,5.847295094225277e-06,2.086454546749744e-06
yp,0,13,0,0,14,0,xp,0,0,13,0,0,14,False,1,2.8268219973067316e-06,5.847947300055749e-06,3.021125302749017e-06
yp,0,14,0,0,15,0,xp,0,0,14,0,0,15,False,1,-5.963609243272883e-06,-8.365967078954979e-06,2.402357835682096e-06
yp,0,15,0,0,16,0,xp,0,0,15,0,0,16,False,1,-3.834072685005537e-06,-1.1540137611523952e-05,7.706064926518414e-06
yp,0,16,0,0,17,0,xp,0,0,16,0,0,17,False,1,-3.4912331850958843e-06,-1.990343916678416e-06,1.5008892684174682e-06
yp,0,17,0,0,18,0,xp,0,0,17,0,0,18,False,1,1.274681147264258e-06,6.074426139306603e-06,4.7997449920423446e-06
yp,0,18,0,0,19,0,xp,0,0,18,0,0,19,False,1,4.619365170742087e-06,5.9753947942833325e-06,1.3560296235412454e-06
yp,0,19,0,0,20,0,xp,0,0,19,0,0,20,False,1,7.99640125154413e-06,7.966261433018322e-06,3.0139818525807725e-08
yp,0,20,0,0,21,0,xp,0,0,20,0,0,21,False,1,3.7887377865335396e-06,2.704469343682769e-07,3.5182908521652626e-06
yp,0,21,0,0,22,0,xp,0,0,21,0,0,22,False,1,-8.657480876804266e-06,-3.900264206625371e-06,4.7572166701788956e-06
yp,0,22,0,0,23,0,xp,0,0,22,0,0,23,False,1,-4.108727676823671e-06,-6.772972394378744e-06,2.6642447175550727e-06
yp,0,23,0,0,24,0,xp,0,0,23,0,0,24,False,1,3.3098309267369426e-06,6.651941293810627e-07,2.6446367973558796e-06
yp,0,24,0,0,25,0,xp,0,0,24,0,0,25,False,1,8.219605762153543e-06,9.588886319588019e-06,1.3692805574344756e-06
yp,0,25,0,0,26,0,xp,0,0,25,0,0,26,False,1,1.0976420668145667e-05,1.0784172006347942e-05,1.922486617977253e-07
yp,0,26,0,0,27,0,xp,0,0,26,0,0,27,False,1,-3.2013690752067287e-06,-2.7827248614346176e-06,4.1864421377211106e-07
yp,0,27,0,0,28,0,xp,0,0,27,0,0,28,False,1,-1.7038863884641087e-05,-1.2488917174625573e-05,4.549946710015515e-06
yp,0,28,0,0,29,0,xp,0,0,28,0,0,29,False,1,-6.076679008389148e-06,-1.2987324449125993e-06,4.777946563476548e-06
yp,0,29,0,0,30,0,xp,0,0,29,0,0,30,False,1,6.9067695828956514e-06,1.2722787783503544e-06,5.634490804545297e-06
yp,0,30,0,0,31,0,xp,0,0,30,0,0,31,False,1,5.4621429944511e-06,3.5694227815746204e-06,1.8927202128764794e-06
yp,0,31,0,0,32,0,xp,0,0,31,0,0,32,False,1,-4.170267683390029e-06,-4.692646713509819e-06,5.223790301197898e-07
yp,0,32,0,0,33,0,xp,0,0,32,0,0,33,False,1,-4.5154567190941736e-06,-7.095427758927039e-06,2.579971039832866e-06
yp,0,33,0,0,34,0,xp,0,0,33,0,0,34,False,1,2.5303884023286113e-07,-6.45963860801589e-07,8.990027010344501e-07
yp,0,34,0,0,35,0,xp,0,0,34,0,0,35,False,1,4.524826038409149e-06,3.9769359889059615e-06,5.478900495031876e-07
yp,0,35,0,0,36,0,xp,0,0,35,0,0,36,False,1,7.594519893817066e-06,5.637705174670447e-06,1.956814719146619e-06
yp,0,36,0,0,37,0,xp,0,0,36,0,0,37,False,1,3.19956085085097e-06,5.251313255756808e-06,2.0517524049058383e-06
yp,0,37,0,0,38,0,xp,0,0,37,0,0,38,False,1,-1.3980038949817672e-05,-8.15075357555441e-06,5.829285374263262e-06
yp,0,38,0,0,39,0,xp,0,0,38,0,0,39,False,1,-7.852353589929844e-06,-6.8055146870503645e-06,1.04683890287948e-06
yp,0,39,0,0,40,0,xp,0,0,39,0,0,40,False,1,-1.5012622631136537e-07,-7.077180643782718e-06,6.927054417471352e-06
yp,0,40,0,0,41,0,xp,0,0,40,0,0,41,False,1,8.296569369245913e-07,3.9873734424574526e-07,4.309195926788461e-07
yp,0,41,0,0,42,0,xp,0,0,41,0,0,42,False,1,-2.927924744002755e-06,-4.275167091116157e-07,2.500408034891139e-06
yp,0,42,0,0,43,0,xp,0,0,42,0,0,43,False,1,2.587617132807997e-06,-2.560842995536169e-07,2.8437014323616137e-06
yp,0,43,0,0,44,0,xp,0,0,43,0,0,44,False,1,1.4787624838465584e-07,-2.9836975196118177e-06,3.1315737679964737e-06
yp,0,44,0,0,45,0,xp,0,0,44,0,0,45,False,1,-6.125076344816085e-06,2.0636506656058288e-06,8.188727010421913e-06
yp,0,45,0,0,46,0,xp,0,0,45,0,0,46,False,1,4.304189503158803e-06,-8.757569636316024e-07,5.179946466790406e-06
yp,0,46,0,0,47,0,xp,0,0,46,0,0,47,False,1,-1.2342481100121892e-06,7.769275006434602e-07,2.0111756106556494e-06
yp,0,47,0,0,48,0,xp,0,0,47,0,0,48,False,1,-2.371593475740778e-06,-2.057997643161473e-07,2.165793711424631e-06
yp,0,48,0,0,49,0,xp,0,0,48,0,0,49,False,1,4.578724017966138e-06,9.741637032905943e-08,4.481307647637078e-06
yp,0,49,0,0,50,0,xp,0,0,49,0,0,50,False,1,-4.867815668800337e-07,-8.50426667904677e-08,4.01738900089566e-07
yp,0,50,0,0,51,0,xp,0,0,50,0,0,51,False,1,2.2046870802506777e-06,2.8431431435524584e-06,6.384560633017808e-07
yp,0,51,0,0,52,0,xp,0,0,51,0,0,52,False,1,5.460749887239218e-06,1.0546280559558703e-05,5.085530672319485e-06
yp,0,52,0,0,53,0,xp,0,0,52,0,0,53,False,1,3.6702891494773557e-06,6.714331125611792e-06,3.044041976134436e-06
