cluster_id,model,channel_id,channel_name,directory,response_rx_sha256,response_ry_sha256,kappa_sha256,gamma1_sha256,gamma2_sha256,frozen_source_hash,grid_shape,dtype,padded_unpadded
Abell2744,C10,CH0,Native full response,channels/abell_2744/c10/CH0,f031cdbb6a887da5f7a26f34ad0632030801810098201bd9ac06ad7a2997ab14,c9b23a6c890695b22d8a073fa4840a62564f44917a24d8075f98c2089540f8a8,1e70a2e688883527eb08b3b353c8155693b5063fb9a9841324e984a702d717d9,4ff1f26327c5d18d0ca0110a2f7a4dbc75024b6bbe9a1d39a0776c533280517a,6c097ce609640bf2c92b8cddb9935ebdbc844aba69e1cab1131a6afde2586230,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,C10,CH1,Longitudinal (local-gradient),channels/abell_2744/c10/CH1,49f76574226822a9f2bdac42c38d19e5d64da6c63378fe5ed2f6d463e283b4cb,0311aa44f440b75846e00cdda276afcc0663a302814262a132f5c2a1d2b39008,151e29df5fb344de7bfdaea42a27d9573fd39cb19202b8f4f6e6fa3e065b9ea5,e0a1d23a9e08f70f52075789b2eb63f2dd758971b26c9b84515afdaeacec925d,5e377194bb06e4d277522c3bdbcff9fbb774ad12b8f4403c48f6516417cdc3dc,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,C10,CH2,Transverse (local-gradient),channels/abell_2744/c10/CH2,1b416864ad8f2f454c922ab8fb026ee57fd0638f0bbacca03e9dfa41f48b1715,62c4cdf063e486cc830407c4564fd66f384901f5f24a8cbb01ba99c8a1c15a28,6d26b0e8170d7ae16117d1eca9f0f5fe312109617f4f7057d62123774b5e3c14,fec068346ec9c09f0235816798148f77e67583b7648cf80b6459e83edabe7b2a,5c8acbfb4d299a65c52e0f1e78041147a12c85cf0e03b3fb257c640a6524a23e,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,C10,CH3,Irrotational (Helmholtz),channels/abell_2744/c10/CH3,53336d50d8b6eae7eae4939354ed0f6c0427f13ff74789b568db77b32e2e4f60,e8f28211ef680b7bc79086b58f74f11e832b0c55be9c15203007edf87d3914d8,5cdff02779b44715d8fe640e063721615d921af65193bfff0d440a00e72acef3,40333eafe2938132ca0ba4fc316116dce7b592ba87139300de64cce33907882a,bba894614d0b1983e793e0079b6633258216887c938358aad84c4d895413fd21,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,C10,CH4,Solenoidal (Helmholtz),channels/abell_2744/c10/CH4,a55fea7d72135018dc8a6259ce3a2f27806acec870212538fd07e3e915765b48,670853efa512377c3392ccf6e125439b46cd2e504df4d29b6755548d998a52c2,141a287ab895cc01800ba02859c14407ec5477e3eef271d82c3ad115b37c07cc,69f34f385e4e3f51edc23e0110f910e257f3cac16aefe1d7aea384a332a04a90,d8197c6e3c8ccb06dc251b8fe9463c3cf9eb5a6ed98ca83d3426744e4f97ca99,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,A8,CH0,Native full response,channels/abell_2744/a8/CH0,fc140ca9d32a5882a29222eef56a1c10c315a701ae594825e5bc8c365e1d1aae,8ef8bad3cac148fe93c1fd04c4aeb9e8cd376a4d216ff03519e808e048cebefb,2c0f902e5e5f1250412f4f3287904834ecdf1ab1caefb52bee13aad5edda5eeb,fd87913e70a27722d6a9f692de10ba0a1408ceb06cbce742e6020a7422170ce6,107117094f86ae1e27134801fcb65e50db20e5fd57a029612fc124af877be482,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,A8,CH1,Longitudinal (local-gradient),channels/abell_2744/a8/CH1,2506cc1e28e1c777fab2a9f035f641613871e5ab04619fc0ff42ed8cf250d5c6,7fa3e3f54d41d4d592792b78975034ebb47394a7820a02999c250043baa4f1a6,1c74f4c653b61d8fc7083edf204a75d86fb99be03d6c63aa25072b2cb692f7e4,bd5dee731e11eb116f1f90ccb5e2f6204521b227a246de104c781f86250fd6bb,fdea854c2ecd310caa17807fba14ce33d0e9f5c800c0f062308359883d17b6aa,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,A8,CH2,Transverse (local-gradient),channels/abell_2744/a8/CH2,cc64f4f9dbeeef2d6a0f3ed18c09dab3a232738823e7e557289e2f2036ef9d72,d5a4261121bc1fd786c6346e0542abbc0ec65b4755ffaf0a9ec838d8b0a6bef4,247f576f3468b3f79d09c8f59bc9f960e8bd76096a5018bd208ee8586057f936,a63643d983801244b5b7833ba1eae37494af743094c688c1de3149fefee8a38c,54849a4b4c5181aa0a2c547ad450b0eebb693230bdf3bf03482bd552320c37f5,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,A8,CH3,Irrotational (Helmholtz),channels/abell_2744/a8/CH3,7b586a7a2ae7890e88646dbfa40f247942eb73010391c8a1fd1092ce643badbd,7e6f2074f755e660fc9d8f8e9d5fb373825494c0955b5a0d7ee9f6dba00560a3,fa91c64597a6281eaaf2092a7a55c723da50c40467438667e0d435bf58c9f76c,18a7e3d2299038c1b4fd69c5a6f158a1727c0526289d8b093a5ef7b81cd34a12,fcc979a1c9ffa909e870e74fb9c99f3f431d8cd871cf35c23fc991e9cba334e9,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
Abell2744,A8,CH4,Solenoidal (Helmholtz),channels/abell_2744/a8/CH4,fa78d3dca85fab8a6019cfd0c27a56702a6394e138d179954b67c327c66f12b5,86805498523daaf681e02d5e4071e06c64c236bca422dc4435b30d28f02b0921,838a7e05ba3d4abdfd6f7872077198b6ef0ea79462d7edd080cdb320011f14c0,689a54637b37baaa2aefaf2817c237277451dad222d689b4a053690124870603,ed05e3ed769840fdb6edd2f066006d40560cb7cb1d69d398a87172f188f880e9,50c303c7b216bbc285bf6d76907107307fa80fa7a3de8219b926da54fc6a3c8e,"[64, 64]",float64,padded
