launch,launch_label,nphotons,phase,n_cells,area_mean,area_std,area_cv,area_min,area_max,perimeter_mean,vertices_mean,A_mean,A_std,A_init_mean,A_fin_mean,A_ratio,n_triangles,quality_mean,quality_min,quality_max,quality_std,tri_area_mean,tri_area_std,cond_mean,cond_min,cond_max,cond_std,d_mean,d_std,degenerate
A,1D edge launch (control),2000,initial,2000,3.0015007503751877e-06,0.0,0.0,3.0015007503751877e-06,3.0015007503751877e-06,0.0,0.0,3.0015007503751877e-06,0.0,7.501873590111702e-06,nan,nan,0,nan,nan,nan,nan,nan,nan,23347627243336.24,23249524839663.715,42870005574044.26,1383904707570.0928,0.01203601800900454,0.0005190079979727106,True
A,1D edge launch (control),2000,final,2000,0.046255248320371,0.07290102787968789,1.5760595938165567,3.686620975232762e-07,1.0024644694127944,21.88270311187387,4.80298353909465,0.046255248320371,0.07290102787968789,7.501873590111702e-06,0.11660022143604086,15542.813409937064,3942,0.006865140422708111,3.919657076608564e-09,0.32076782988471225,0.02692026662142716,1.5569319728192545e-06,1.9964442863276383e-05,11533814977361.785,5.115640075908234,42870005574044.26,12056094756683.11,0.011795126547953037,0.002527456846958319,False
A,1D edge launch (control),5000,initial,5000,1.200240048009602e-06,0.0,0.0,1.200240048009602e-06,1.200240048009602e-06,0.0,0.0,1.200240048009602e-06,0.0,7.506382377852291e-06,nan,nan,0,nan,nan,nan,nan,nan,nan,9336248621610.14,9297019434784.316,17142856799862.895,553395781242.7742,0.004805761152230594,0.00013139202736613958,True
A,1D edge launch (control),5000,final,5000,0.018697000544480154,0.047828620877855686,2.55809057522737,2.4193884357993248e-08,1.1643175779157635,20.13839314335246,4.9650092081031305,0.018697000544480154,0.047828620877855686,7.506382377852291e-06,0.11656690277187491,15529.038743857167,9885,0.012536423727648141,1.921645357323081e-08,0.3320042722897356,0.04393741367766118,6.509288972202227e-07,1.149046830371977e-05,5391445297510.258,1.456047620702659,17142856799862.895,4740140313062.845,0.004618822962414872,0.0014142704407201184,False
A,1D edge launch (control),10000,initial,10000,6.000600060006001e-07,0.0,0.0,6.000600060006001e-07,6.000600060006001e-07,0.0,0.0,6.000600060006001e-07,0.0,7.507133692092613e-06,nan,nan,0,nan,nan,nan,nan,nan,nan,4667657451688.29,4648044819930.4795,8570571171368.602,276670218065.05457,0.0024014401440145754,4.64649521334592e-05,True
A,1D edge launch (control),10000,final,10000,0.009359671693140377,0.034133580118862666,3.646877928835781,3.013494679141253e-09,1.1550508758795175,19.207568010130906,5.031582174979558,0.009359671693140377,0.034133580118862666,7.507133692092613e-06,0.11619108054835302,15477.422584166708,19782,0.017750154911636732,2.048795248800241e-08,0.33286460182450506,0.05685208744785868,3.275728814663822e-07,8.060708685534672e-06,2831679751995.6973,1.2043424012253157,8570571171368.602,2304659545791.5044,0.002306761412364095,0.0008884557141078278,False
A,1D edge launch (control),20000,initial,20000,3.000150007500375e-07,0.0,0.0,3.000150007500375e-07,3.000150007500375e-07,0.0,0.0,3.000150007500375e-07,0.0,7.501501483084166e-06,nan,nan,0,nan,nan,nan,nan,nan,nan,2333712028572.898,2323906203034.439,4285071310691.3164,138328191931.2306,0.0012003600180010739,1.6429759372078342e-05,True
A,1D edge launch (control),20000,final,20000,0.004683294568398164,0.022255402588023446,4.752082591216444,3.1290387932490157e-09,1.1413568809751053,18.594808946240317,5.055341506129597,0.004683294568398164,0.022255402588023446,7.501501483084166e-06,0.11503226570322295,15334.565481673224,39983,0.02151299771535459,1.355014921593463e-08,0.3331678259253768,0.06521500975716246,1.6243577032707534e-07,5.671945275810141e-06,1497105796189.4182,1.0537341661359996,4285071310691.3164,1131294100322.215,0.0011654298622918323,0.0005792562339887127,False
B,Uniform Cartesian 2D grid,2000,initial,2000,0.0090052244699593,0.0007046945078111417,0.07825396359212872,0.008888888888888826,0.01777777777777777,0.40142931397598836,4.067249863313286,0.0090052244699593,0.0007046945078111417,0.023214523593270198,nan,nan,3827,0.25347705535798054,0.1930477665804557,0.330792269124804,0.00827343790241474,0.0044967047005197,0.0004790998543246056,1.2273495165448893,1.1547005383792432,2.046925104566751,0.12530547039932896,0.15267248450609247,0.012292781407677773,False
B,Uniform Cartesian 2D grid,2000,final,2000,0.05309297734104365,0.20978240161969847,3.9512269254021604,0.00482783965758632,2.18019702615265,1.0422359794553773,5.948084677419355,0.05309297734104365,0.20978240161969847,0.023214523593270198,0.1159171098967649,4.993301259491228,3982,0.2519609913856947,6.36025215377932e-07,0.33318172859663175,0.05279353493477768,0.004384104303546721,0.0015736272088707186,1.242585905197723,1.027332573054877,2.162618510896872,0.15221349290847094,0.1537648429467684,0.01842242134188811,False
