cluster_id,axis,fast_rms,slow_rms,combined_rms,fast_to_slow_within_rms,slow_to_fast_within_rms
Abell2744,xm,1.0443269104081144e-05,6.631434168705359e-06,1.677984678525517e-05,3.358047378003654e-05,8.059313707208772e-06
Abell2744,xp,1.0443269104081144e-05,6.631434168705358e-06,1.677984678525517e-05,3.358047378003654e-05,8.059313707208772e-06
Abell2744,ym,1.0420102010505873e-05,6.565933973048877e-06,1.670845676994432e-05,3.358047378003654e-05,8.059313707208772e-06
Abell2744,yp,1.0420102010505873e-05,6.565933973048877e-06,1.670845676994432e-05,3.358047378003654e-05,8.059313707208772e-06
Abell2744,zm,1.0126021624676722e-05,6.895537635554185e-06,1.667889417067929e-05,3.358047378003654e-05,8.059313707208772e-06
Abell2744,zp,1.0126021624676722e-05,6.8955376355541846e-06,1.667889417067929e-05,3.358047378003654e-05,8.059313707208772e-06
MACS0416,xm,1.0358551153479441e-05,6.372866280234431e-06,1.647798687635446e-05,3.357999065928556e-05,8.059197758228535e-06
MACS0416,xp,1.0358551153479441e-05,6.372866280234431e-06,1.647798687635446e-05,3.357999065928556e-05,8.059197758228535e-06
MACS0416,ym,1.031556774367167e-05,6.351673841796699e-06,1.6411254837329444e-05,3.357999065928556e-05,8.059197758228535e-06
MACS0416,yp,1.0315567743671668e-05,6.351673841796699e-06,1.6411254837329444e-05,3.357999065928556e-05,8.059197758228535e-06
MACS0416,zm,9.932764032399656e-06,6.465380060208482e-06,1.6097342269056015e-05,3.357999065928556e-05,8.059197758228535e-06
MACS0416,zp,9.932764032399656e-06,6.465380060208482e-06,1.6097342269056015e-05,3.357999065928556e-05,8.059197758228535e-06
MACS1149,xm,1.0097678009131001e-05,5.701430302436382e-06,1.5650445823501533e-05,3.358191912769194e-05,8.059660590646066e-06
MACS1149,xp,1.0097678009131001e-05,5.701430302436382e-06,1.5650445823501533e-05,3.358191912769194e-05,8.059660590646066e-06
MACS1149,ym,1.0037686820778335e-05,5.612910415706807e-06,1.5514115829427617e-05,3.358191912769194e-05,8.059660590646066e-06
MACS1149,yp,1.0037686820778335e-05,5.612910415706806e-06,1.5514115829427617e-05,3.358191912769194e-05,8.059660590646066e-06
MACS1149,zm,9.642186704364705e-06,5.736159884597648e-06,1.5175963644180656e-05,3.358191912769194e-05,8.059660590646066e-06
MACS1149,zp,9.642186704364705e-06,5.736159884597648e-06,1.5175963644180656e-05,3.358191912769194e-05,8.059660590646066e-06
AbellS1063,xm,1.0168122630295887e-05,5.924409420413811e-06,1.5900402367455147e-05,3.357840665030552e-05,8.058817596073324e-06
AbellS1063,xp,1.0168122630295887e-05,5.924409420413811e-06,1.5900402367455147e-05,3.357840665030552e-05,8.058817596073324e-06
AbellS1063,ym,1.0142468131896839e-05,5.89171453040318e-06,1.584989220193971e-05,3.357840665030552e-05,8.058817596073324e-06
AbellS1063,yp,1.0142468131896839e-05,5.89171453040318e-06,1.584989220193971e-05,3.357840665030552e-05,8.058817596073324e-06
AbellS1063,zm,9.787808325515131e-06,6.120674287653683e-06,1.564875055060317e-05,3.357840665030552e-05,8.058817596073324e-06
AbellS1063,zp,9.787808325515131e-06,6.120674287653683e-06,1.5648750550603174e-05,3.357840665030552e-05,8.058817596073324e-06
Abell370,xm,1.0485917185690585e-05,6.688614993171779e-06,1.6879945090215376e-05,3.359117008747467e-05,8.061880820993921e-06
Abell370,xp,1.0485917185690585e-05,6.688614993171779e-06,1.6879945090215376e-05,3.359117008747467e-05,8.061880820993921e-06
Abell370,ym,1.0500869948675175e-05,6.696923015825081e-06,1.6914205813175656e-05,3.359117008747467e-05,8.061880820993921e-06
Abell370,yp,1.0500869948675175e-05,6.696923015825081e-06,1.6914205813175656e-05,3.359117008747467e-05,8.061880820993921e-06
Abell370,zm,1.0316900349244377e-05,7.310876120978971e-06,1.7250683808179164e-05,3.359117008747467e-05,8.061880820993921e-06
Abell370,zp,1.0316900349244377e-05,7.310876120978971e-06,1.7250683808179164e-05,3.359117008747467e-05,8.061880820993921e-06
