cluster_id,candidate_id,mu_bin,n_pairs,A_rms,mT_mean
Abell2744,PL1_PM1_PS1,0.00-0.20,81056,1.5173576104966221e-05,0.9960758263246844
Abell2744,PL1_PM1_PS1,0.20-0.40,32740,1.5990469063491893e-05,0.9537611373911142
Abell2744,PL1_PM1_PS1,0.40-0.60,25652,1.7185288034585077e-05,0.8654590543909424
Abell2744,PL1_PM1_PS1,0.60-0.80,24808,1.8621394117674175e-05,0.7096747619265228
Abell2744,PL1_PM1_PS1,0.80-1.00,53602,1.823669013607951e-05,0.30400441691390145
Abell2744,PL1_PM1_PS2,0.00-0.20,81056,1.5173576104966221e-05,0.943065358883503
Abell2744,PL1_PM1_PS2,0.20-0.40,32740,1.5990469063491893e-05,0.8929475640626816
Abell2744,PL1_PM1_PS2,0.40-0.60,25652,1.7185288034585077e-05,0.8052074408162294
Abell2744,PL1_PM1_PS2,0.60-0.80,24808,1.8621394117674175e-05,0.6806124310731019
Abell2744,PL1_PM1_PS2,0.80-1.00,53602,1.823669013607951e-05,0.3635831013804737
Abell2744,PL1_PM2_PS1,0.00-0.20,81056,1.5173576104966221e-05,0.9960758263246844
Abell2744,PL1_PM2_PS1,0.20-0.40,32740,1.5990469063491893e-05,0.9537611373911142
Abell2744,PL1_PM2_PS1,0.40-0.60,25652,1.7185288034585077e-05,0.8654590543909424
Abell2744,PL1_PM2_PS1,0.60-0.80,24808,1.8621394117674175e-05,0.7096747619265228
Abell2744,PL1_PM2_PS1,0.80-1.00,53602,1.823669013607951e-05,0.30400441691390145
Abell2744,PL1_PM2_PS2,0.00-0.20,81056,1.5173576104966221e-05,0.943065358883503
Abell2744,PL1_PM2_PS2,0.20-0.40,32740,1.5990469063491893e-05,0.8929475640626816
Abell2744,PL1_PM2_PS2,0.40-0.60,25652,1.7185288034585077e-05,0.8052074408162294
Abell2744,PL1_PM2_PS2,0.60-0.80,24808,1.8621394117674175e-05,0.6806124310731019
Abell2744,PL1_PM2_PS2,0.80-1.00,53602,1.823669013607951e-05,0.3635831013804737
Abell2744,PL2_PM1_PS1,0.00-0.20,46246,1.3332315039821022e-05,0.9933477184560654
Abell2744,PL2_PM1_PS1,0.20-0.40,44162,1.4205990945878623e-05,0.9523545236779744
Abell2744,PL2_PM1_PS1,0.40-0.60,42982,1.574689240292115e-05,0.8638164169225861
Abell2744,PL2_PM1_PS1,0.60-0.80,42054,1.8086164495743855e-05,0.7097184975177695
Abell2744,PL2_PM1_PS1,0.80-1.00,45740,2.106952340546578e-05,0.402056790462735
Abell2744,PL2_PM1_PS2,0.00-0.20,46246,1.3332315039821022e-05,0.865939373257819
Abell2744,PL2_PM1_PS2,0.20-0.40,44162,1.4205990945878623e-05,0.8365139002019532
Abell2744,PL2_PM1_PS2,0.40-0.60,42982,1.574689240292115e-05,0.7748811159524811
Abell2744,PL2_PM1_PS2,0.60-0.80,42054,1.8086164495743855e-05,0.6694520076697484
Abell2744,PL2_PM1_PS2,0.80-1.00,45740,2.106952340546578e-05,0.48832830747882183
Abell2744,PL2_PM2_PS1,0.00-0.20,46246,1.3332315039821022e-05,0.9933477184560654
Abell2744,PL2_PM2_PS1,0.20-0.40,44162,1.4205990945878623e-05,0.9523545236779744
Abell2744,PL2_PM2_PS1,0.40-0.60,42982,1.574689240292115e-05,0.8638164169225861
Abell2744,PL2_PM2_PS1,0.60-0.80,42054,1.8086164495743855e-05,0.7097184975177695
Abell2744,PL2_PM2_PS1,0.80-1.00,45740,2.106952340546578e-05,0.402056790462735
Abell2744,PL2_PM2_PS2,0.00-0.20,46246,1.3332315039821022e-05,0.865939373257819
Abell2744,PL2_PM2_PS2,0.20-0.40,44162,1.4205990945878623e-05,0.8365139002019532
Abell2744,PL2_PM2_PS2,0.40-0.60,42982,1.574689240292115e-05,0.7748811159524811
Abell2744,PL2_PM2_PS2,0.60-0.80,42054,1.8086164495743855e-05,0.6694520076697484
Abell2744,PL2_PM2_PS2,0.80-1.00,45740,2.106952340546578e-05,0.48832830747882183
Abell2744,PL3_PM1_PS1,0.00-0.20,45714,1.3373390956966501e-05,0.9933641172031015
Abell2744,PL3_PM1_PS1,0.20-0.40,44206,1.4343871997212979e-05,0.9522257200377457
Abell2744,PL3_PM1_PS1,0.40-0.60,43290,1.5775203018213925e-05,0.86381099718825
Abell2744,PL3_PM1_PS1,0.60-0.80,42580,1.8105903622434294e-05,0.7095714207384011
Abell2744,PL3_PM1_PS1,0.80-1.00,45394,2.091085622930999e-05,0.40390127651304
Abell2744,PL3_PM1_PS2,0.00-0.20,45714,1.3373390956966501e-05,0.8609873406018497
