cluster_id,candidate_id,pair_symmetrization,magnitude_formulation,longitudinal_reference,response_energy,f_irr_3d,antisymmetry_error
Abell2744,PL1_PM1_PS1,PS1,PM1,PL1,7.205809220831177e-05,0.4920425448118293,0.00030617271635874886
Abell2744,PL1_PM1_PS2,PS2,PM1,PL1,7.242271774384888e-05,0.515322595534658,0.0
Abell2744,PL1_PM2_PS1,PS1,PM2,PL1,5.051301530722883e-05,0.5329321639029717,0.00014974868627203592
Abell2744,PL1_PM2_PS2,PS2,PM2,PL1,4.490088551963942e-05,0.5523744155299852,0.0
Abell2744,PL2_PM1_PS1,PS1,PM1,PL2,7.382479529507933e-05,0.49916433390609877,0.00030099392340034647
Abell2744,PL2_PM1_PS2,PS2,PM1,PL2,7.30963414616074e-05,0.48866323602668726,0.0
Abell2744,PL2_PM2_PS1,PS1,PM2,PL2,4.9217321042780996e-05,0.5121600156244145,0.00014330116470524754
Abell2744,PL2_PM2_PS2,PS2,PM2,PL2,3.6291894172835454e-05,0.5144026760848217,0.0
Abell2744,PL3_PM1_PS1,PS1,PM1,PL3,7.380538269048827e-05,0.49869928877085967,0.000297479976042459
Abell2744,PL3_PM1_PS2,PS2,PM1,PL3,7.301590961906614e-05,0.487369715864398,0.0
Abell2744,PL3_PM2_PS1,PS1,PM2,PL3,4.927356620043826e-05,0.5104778208692667,0.0001352771073268752
Abell2744,PL3_PM2_PS2,PS2,PM2,PL3,3.587672233523872e-05,0.512794871258965,0.0
Abell2744,PL4_PM1_PS1,PS1,PM1,PL4,7.389156421869896e-05,0.4977686286449882,0.00030462532985063085
Abell2744,PL4_PM1_PS2,PS2,PM1,PL4,7.311392969327034e-05,0.49149081768088343,0.0
Abell2744,PL4_PM2_PS1,PS1,PM2,PL4,4.9284570482986566e-05,0.5146655493584936,0.00015049159770278732
Abell2744,PL4_PM2_PS2,PS2,PM2,PL4,3.762877464817333e-05,0.5193115949975184,0.0
Abell2744,PL5_PM1_PS1,PS1,PM1,PL5,7.365639983538254e-05,0.49980462012116905,0.00019724369975995402
Abell2744,PL5_PM1_PS2,PS2,PM1,PL5,7.258437300324902e-05,0.5028211959627489,0.0
Abell2744,PL5_PM2_PS1,PS1,PM2,PL5,4.951504485380719e-05,0.5104351818109005,0.00010290278628573579
Abell2744,PL5_PM2_PS2,PS2,PM2,PL5,3.682304548167863e-05,0.5259736377043586,0.0
