cluster_id,candidate_id,D_rms,C_rms,Cx_rms,Cy_rms,Cz_rms
Abell2744,PL1_PM1_PS1,3.352614120634355e-05,4.8833496343216444e-05,2.821473145537737e-05,2.8569069917475415e-05,2.7792940435554383e-05
Abell2744,PL1_PM1_PS2,3.380221403235783e-05,4.8819102750699e-05,2.801110658176945e-05,2.8331360440433038e-05,2.8213768217704008e-05
Abell2744,PL1_PM2_PS1,2.7848628471594138e-05,4.014299145958094e-05,2.3098124007022944e-05,2.3319139515227602e-05,2.3111775417512368e-05
Abell2744,PL1_PM2_PS2,2.6321516766241778e-05,3.8279757818966485e-05,2.2010012548402487e-05,2.222061725697748e-05,2.2071324722743892e-05
Abell2744,PL2_PM1_PS1,3.514402893753857e-05,4.8067068644712065e-05,2.8029101729094138e-05,2.8266196673907605e-05,2.69413190090524e-05
Abell2744,PL2_PM1_PS2,3.243063935155507e-05,4.977935790192179e-05,2.8856622701897525e-05,2.9237042390066048e-05,2.81153899430443e-05
Abell2744,PL2_PM2_PS1,2.8026364194281272e-05,3.930765856261632e-05,2.2834049905035605e-05,2.3012702868827243e-05,2.222866827501454e-05
Abell2744,PL2_PM2_PS2,2.1620494440231345e-05,3.5114781678194886e-05,2.0222952535656793e-05,2.045801778940047e-05,2.0138261870788098e-05
Abell2744,PL3_PM1_PS1,3.5154294488308375e-05,4.804484355836678e-05,2.802418812927056e-05,2.8288449145342596e-05,2.6883368784334952e-05
Abell2744,PL3_PM1_PS2,3.2208564554897765e-05,4.9827302824564214e-05,2.8921506187692646e-05,2.9262186287812055e-05,2.8107490821193286e-05
Abell2744,PL3_PM2_PS1,2.8074157213359995e-05,3.9324812761862876e-05,2.287320739842455e-05,2.303440191870748e-05,2.2196252168140334e-05
Abell2744,PL3_PM2_PS2,2.1378791827671246e-05,3.497189338318186e-05,2.0170590283509106e-05,2.0398406405152587e-05,2.0002140649182448e-05
Abell2744,PL4_PM1_PS1,3.5092572752381806e-05,4.81565579539495e-05,2.7998740036279664e-05,2.829741887716016e-05,2.7099459685452527e-05
Abell2744,PL4_PM1_PS2,3.292356956150488e-05,4.95634122136752e-05,2.8640841545581054e-05,2.9107737358082918e-05,2.8088674794594174e-05
Abell2744,PL4_PM2_PS1,2.7931551374910248e-05,3.935719161252379e-05,2.2766861262147994e-05,2.2997623719139362e-05,2.2400175516452916e-05
Abell2744,PL4_PM2_PS2,2.238304294650596e-05,3.5540757230934e-05,2.0377132628802202e-05,2.0653409119179547e-05,2.0526923347939476e-05
Abell2744,PL5_PM1_PS1,3.513272509040212e-05,4.790916450053933e-05,2.7950215035433953e-05,2.824351893247083e-05,2.6765222975419086e-05
Abell2744,PL5_PM1_PS2,3.248133618644316e-05,4.9282179842510086e-05,2.8649044568000545e-05,2.8968042751785308e-05,2.7727567410448475e-05
Abell2744,PL5_PM2_PS1,2.8229599403837187e-05,3.932162650994628e-05,2.2884625277194096e-05,2.3098509516700625e-05,2.211205769296494e-05
Abell2744,PL5_PM2_PS2,2.2143505030938952e-05,3.497544355257373e-05,2.02119132476637e-05,2.0462156124060882e-05,1.9901265822121603e-05
Abell2744,PL6_PM1_PS1,3.514402893753857e-05,4.8067068644712065e-05,2.8029101729094138e-05,2.8266196673907605e-05,2.69413190090524e-05
Abell2744,PL6_PM1_PS2,3.243063935155507e-05,4.977935790192179e-05,2.8856622701897525e-05,2.9237042390066048e-05,2.81153899430443e-05
Abell2744,PL6_PM2_PS1,2.8026364194281272e-05,3.930765856261632e-05,2.2834049905035605e-05,2.3012702868827243e-05,2.222866827501454e-05
Abell2744,PL6_PM2_PS2,2.1620494440231345e-05,3.5114781678194886e-05,2.0222952535656793e-05,2.045801778940047e-05,2.0138261870788098e-05
MACS0416,PL1_PM1_PS1,3.2845398801977784e-05,4.78164725311543e-05,2.773054709730325e-05,2.7896676324129152e-05,2.7188366134684374e-05
MACS0416,PL1_PM1_PS2,3.330083378317206e-05,4.8148744535100477e-05,2.770816407535699e-05,2.8013545787702835e-05,2.7673100590279742e-05
MACS0416,PL1_PM2_PS1,2.7859829196655812e-05,4.011843164747834e-05,2.3218407538908975e-05,2.3283083729822995e-05,2.2984606179801693e-05
MACS0416,PL1_PM2_PS2,2.6449218254381985e-05,3.835393897744244e-05,2.2227942488250268e-05,2.2292999848489196e-05,2.190811186706143e-05
MACS0416,PL2_PM1_PS1,3.4417792293724964e-05,4.77860531670319e-05,2.777665883026394e-05,2.8345652360011992e-05,2.6617439655137132e-05
MACS0416,PL2_PM1_PS2,3.171667711680562e-05,4.9358175748252645e-05,2.8625605064225795e-05,2.917929809928888e-05,2.7665372044040947e-05
MACS0416,PL2_PM2_PS1,2.752073737963253e-05,3.910699994154288e-05,2.2687637567371102e-05,2.306844626280929e-05,2.196532114628253e-05
