cluster_id,candidate_id,response_energy,f_irr_3d,f_sol_3d,f_irr_3d_cropped,f_sol_3d_cropped,f_z,F_Dz,D_rms,C_rms,helicity_total
Abell2744,PL1_PM1_PS1,7.205809220831177e-05,0.4920425448118293,0.5079574551881708,0.4892925847657174,0.5107074152342824,0.2277100070194333,0.23840725974290503,3.352614120634355e-05,4.8833496343216444e-05,-2.546830525605496e-07
Abell2744,PL1_PM1_PS2,7.242271774384888e-05,0.515322595534658,0.4846774044653421,0.5107960085195083,0.4892039914804916,0.2143362928305872,0.24890018192753727,3.380221403235783e-05,4.8819102750699e-05,-2.968389222890416e-08
Abell2744,PL1_PM2_PS1,5.051301530722883e-05,0.5329321639029717,0.4670678360970283,0.5279406708495851,0.4720593291504149,0.23919303168213366,0.2367166325797081,2.7848628471594138e-05,4.014299145958094e-05,-2.1658948706530677e-07
Abell2744,PL1_PM2_PS2,4.490088551963942e-05,0.5523744155299852,0.4476255844700148,0.5448987177089475,0.45510128229105246,0.22731957787599813,0.2588341253885638,2.6321516766241778e-05,3.8279757818966485e-05,-5.095356915566726e-08
Abell2744,PL2_PM1_PS1,7.382479529507933e-05,0.49916433390609877,0.5008356660939013,0.4969858139908736,0.5030141860091265,0.2862604199704482,0.35253906707362564,3.514402893753857e-05,4.8067068644712065e-05,2.646762899131925e-07
Abell2744,PL2_PM1_PS2,7.30963414616074e-05,0.48866323602668726,0.5113367639733127,0.47958067110378105,0.5204193288962189,0.27367841456684633,0.3803263657599921,3.243063935155507e-05,4.977935790192179e-05,3.652614729981924e-07
Abell2744,PL2_PM2_PS1,4.9217321042780996e-05,0.5121600156244145,0.4878399843755854,0.5102370006078705,0.4897629993921296,0.27345544245934966,0.31093099583856765,2.8026364194281272e-05,3.930765856261632e-05,1.3111894569180483e-07
Abell2744,PL2_PM2_PS2,3.6291894172835454e-05,0.5144026760848217,0.4855973239151783,0.5064440218821172,0.4935559781178828,0.251960608239686,0.3344056030679708,2.1620494440231345e-05,3.5114781678194886e-05,1.5926359254089151e-07
Abell2744,PL3_PM1_PS1,7.380538269048827e-05,0.49869928877085967,0.5013007112291403,0.4968186242732018,0.5031813757267983,0.2908798948068815,0.354144134666253,3.5154294488308375e-05,4.804484355836678e-05,3.4250914784032047e-07
Abell2744,PL3_PM1_PS2,7.301590961906614e-05,0.487369715864398,0.5126302841356021,0.4781591364128952,0.5218408635871048,0.2776567102042041,0.3803362562947284,3.2208564554897765e-05,4.9827302824564214e-05,4.186734626867205e-07
Abell2744,PL3_PM2_PS1,4.927356620043826e-05,0.5104778208692667,0.48952217913073326,0.5085826631154122,0.4914173368845877,0.27829848120710526,0.3139647355114794,2.8074157213359995e-05,3.9324812761862876e-05,1.599231573419211e-07
Abell2744,PL3_PM2_PS2,3.587672233523872e-05,0.512794871258965,0.487205128741035,0.5045910418225921,0.49540895817740793,0.25667139935327904,0.3373140623842289,2.1378791827671246e-05,3.497189338318186e-05,1.6203128515722258e-07
Abell2744,PL4_PM1_PS1,7.389156421869896e-05,0.4977686286449882,0.502231371355012,0.4954278647762617,0.5045721352237382,0.2764096553127217,0.3459195917646503,3.5092572752381806e-05,4.81565579539495e-05,3.0136999482306624e-07
Abell2744,PL4_PM1_PS2,7.311392969327034e-05,0.49149081768088343,0.5085091823191165,0.483282781939444,0.516717218060556,0.2646385611691103,0.3733774537257275,3.292356956150488e-05,4.95634122136752e-05,3.144637218039693e-07
Abell2744,PL4_PM2_PS1,4.9284570482986566e-05,0.5146655493584936,0.4853344506415064,0.5124891650785673,0.4875108349214327,0.26219023582246387,0.30131806237228664,2.7931551374910248e-05,3.935719161252379e-05,1.0630004628566803e-07
Abell2744,PL4_PM2_PS2,3.762877464817333e-05,0.5193115949975184,0.48068840500248156,0.5118953336773826,0.48810466632261745,0.24208584464757135,0.3186807426611754,2.238304294650596e-05,3.5540757230934e-05,1.3743831428853237e-07
Abell2744,PL5_PM1_PS1,7.365639983538254e-05,0.49980462012116905,0.5001953798788309,0.49820038652180876,0.5017996134781914,0.2986933561216381,0.352133711881986,3.513272509040212e-05,4.790916450053933e-05,2.3181583216680362e-07
Abell2744,PL5_PM1_PS2,7.258437300324902e-05,0.5028211959627489,0.49717880403725107,0.49371162558881954,0.5062883744111805,0.2869582118460888,0.35878478510367706,3.248133618644316e-05,4.9282179842510086e-05,7.677495496587143e-08
Abell2744,PL5_PM2_PS1,4.951504485380719e-05,0.5104351818109005,0.4895648181890996,0.5087133260516147,0.4912866739483853,0.2869717068892966,0.31484490994321196,2.8229599403837187e-05,3.932162650994628e-05,4.122874558892366e-08
Abell2744,PL5_PM2_PS2,3.682304548167863e-05,0.5259736377043586,0.47402636229564155,0.5177361568304094,0.4822638431695906,0.2707951891485638,0.31456842268722557,2.2143505030938952e-05,3.497544355257373e-05,-2.2989765567462448e-09
Abell2744,PL6_PM1_PS1,7.382479529507933e-05,0.49916433390609877,0.5008356660939013,0.4969858139908736,0.5030141860091265,0.2862604199704482,0.35253906707362564,3.514402893753857e-05,4.8067068644712065e-05,2.646762899131925e-07
Abell2744,PL6_PM1_PS2,7.30963414616074e-05,0.48866323602668726,0.5113367639733127,0.47958067110378105,0.5204193288962189,0.27367841456684633,0.3803263657599921,3.243063935155507e-05,4.977935790192179e-05,3.652614729981924e-07
Abell2744,PL6_PM2_PS1,4.9217321042780996e-05,0.5121600156244145,0.4878399843755854,0.5102370006078705,0.4897629993921296,0.27345544245934966,0.31093099583856765,2.8026364194281272e-05,3.930765856261632e-05,1.3111894569180483e-07
Abell2744,PL6_PM2_PS2,3.6291894172835454e-05,0.5144026760848217,0.4855973239151783,0.5064440218821172,0.4935559781178828,0.251960608239686,0.3344056030679708,2.1620494440231345e-05,3.5114781678194886e-05,1.5926359254089151e-07
MACS0416,PL1_PM1_PS1,6.892398495429964e-05,0.4946553299206383,0.5053446700793617,0.49062472624064846,0.5093752737593515,0.23090359045088613,0.26852534508015624,3.2845398801977784e-05,4.78164725311543e-05,-3.227178051517553e-07
MACS0416,PL1_PM1_PS2,7.003664736119585e-05,0.5172394453686536,0.48276055463134643,0.5116456808604238,0.48835431913957617,0.2216330115211679,0.27407318271426445,3.330083378317206e-05,4.8148744535100477e-05,-2.7315900440673017e-07
MACS0416,PL1_PM2_PS1,4.999761717334091e-05,0.532448650949357,0.46755134905064305,0.5256861313418509,0.47431386865814906,0.2440592124230949,0.2716697587795711,2.7859829196655812e-05,4.011843164747834e-05,-1.1316245840913474e-07
MACS0416,PL1_PM2_PS2,4.482889115577211e-05,0.5517385572693274,0.44826144273067253,0.5428306679854786,0.4571693320145213,0.23793086212283865,0.2924847601744309,2.6449218254381985e-05,3.835393897744244e-05,-1.1125176372055e-07
MACS0416,PL2_PM1_PS1,7.160292315616319e-05,0.49196514174148,0.50803485825852,0.4897188199970725,0.5102811800029274,0.291828173667245,0.36783461470483925,3.4417792293724964e-05,4.77860531670319e-05,-5.5330695554483464e-08
MACS0416,PL2_PM1_PS2,7.07140976630717e-05,0.4837303838783684,0.5162696161216316,0.4742344034594054,0.5257655965405946,0.28049825500866926,0.39513234829524974,3.171667711680562e-05,4.9358175748252645e-05,-1.681363790045946e-07
MACS0416,PL2_PM2_PS1,4.787550520674397e-05,0.5062900093903374,0.4937099906096626,0.5043299319387605,0.4956700680612394,0.2795685569332274,0.325896474779465,2.752073737963253e-05,3.910699994154288e-05,-7.075804359039249e-08
