cluster_id,perturbation,direction_x,direction_y,direction_z,response_energy,f_irr_3d,f_sol_3d,f_z,helicity_total
Abell2744,L,1.0,0.0,0.0,4.021806160763565e-05,0.5506963485200345,0.4493036514799656,0.21827087558007943,-1.8836399198241122e-08
Abell2744,T1,0.0,-1.0,0.0,4.021806160763565e-05,0.5506963485200345,0.4493036514799656,0.21827087558007943,-1.8836399198241122e-08
Abell2744,T2,0.0,0.0,-1.0,4.021806160749848e-05,0.5506963485178431,0.4493036514821569,0.218270875579487,-1.8836399123842572e-08
MACS0416,L,1.0,0.0,0.0,3.8646661846807146e-05,0.55269074966161,0.44730925033839003,0.224137187432912,-1.9112052547493924e-07
MACS0416,T1,0.0,-1.0,0.0,3.8646661846807146e-05,0.55269074966161,0.44730925033839003,0.224137187432912,-1.9112052547493924e-07
MACS0416,T2,0.0,0.0,-1.0,3.864666184673142e-05,0.5526907496596662,0.44730925034033386,0.22413718743183006,-1.911205254860108e-07
MACS1149,L,0.0,1.0,0.0,3.6168941828434724e-05,0.5480399793974327,0.45196002060256735,0.21819123824808526,8.215952091448571e-08
MACS1149,T1,1.0,0.0,0.0,3.6168941828434724e-05,0.5480399793974327,0.45196002060256735,0.21819123824808526,8.215952091448571e-08
MACS1149,T2,0.0,0.0,-1.0,3.6168941828501836e-05,0.5480399793975037,0.4519600206024964,0.21819123824694345,8.215952094670651e-08
AbellS1063,L,-1.0,0.0,0.0,3.733591511934047e-05,0.5528424410115091,0.4471575589884908,0.23103220298264482,-6.200129259907362e-09
AbellS1063,T1,0.0,1.0,-0.0,3.733591511934047e-05,0.5528424410115091,0.4471575589884908,0.23103220298264482,-6.200129259907362e-09
AbellS1063,T2,-0.0,0.0,-1.0,3.733591511937719e-05,0.5528424410103334,0.4471575589896665,0.2310322029808725,-6.200129287387358e-09
Abell370,L,1.0,0.0,0.0,4.098468035564488e-05,0.552581643023555,0.447418356976445,0.21620247519997066,8.031775683184144e-09
Abell370,T1,0.0,-1.0,0.0,4.098468035564488e-05,0.552581643023555,0.447418356976445,0.21620247519997066,8.031775683184144e-09
Abell370,T2,0.0,0.0,-1.0,4.09846803555418e-05,0.5525816430210145,0.44741835697898535,0.2162024751985831,8.031775618660649e-09
