cluster_id,transform,cos_mean,cos_median
Abell2744,RC0,1.0,1.0
Abell2744,RC1,1.0,1.0
Abell2744,RC2,1.0,1.0
Abell2744,RC3,1.0,1.0
Abell2744,RC4,1.0,1.0
Abell2744,RC5,1.0,1.0
Abell2744,RC6,1.0,1.0
MACS0416,RC0,1.0,1.0
MACS0416,RC1,1.0,1.0
MACS0416,RC2,1.0,1.0
MACS0416,RC3,1.0,1.0
MACS0416,RC4,1.0,1.0
MACS0416,RC5,1.0,1.0
MACS0416,RC6,1.0,1.0
MACS1149,RC0,1.0,1.0
MACS1149,RC1,1.0,1.0
MACS1149,RC2,1.0,1.0
MACS1149,RC3,1.0,1.0
MACS1149,RC4,1.0,1.0
MACS1149,RC5,1.0,1.0
MACS1149,RC6,1.0,1.0
AbellS1063,RC0,1.0,1.0
AbellS1063,RC1,1.0,1.0
AbellS1063,RC2,1.0,1.0
AbellS1063,RC3,1.0,1.0
AbellS1063,RC4,1.0,1.0
AbellS1063,RC5,1.0,1.0
AbellS1063,RC6,1.0,1.0
Abell370,RC0,1.0,1.0
Abell370,RC1,1.0,1.0
Abell370,RC2,1.0,1.0
Abell370,RC3,1.0,1.0
Abell370,RC4,1.0,1.0
Abell370,RC5,1.0,1.0
Abell370,RC6,1.0,1.0
