gate,subgate,value,tolerance,passes
G1_scalar_roundtrip,RC0,0.0,0.0,True
G1_scalar_roundtrip,RC1,0.0,0.0,True
G1_scalar_roundtrip,RC2,0.0,0.0,True
G1_scalar_roundtrip,RC3,0.0,0.0,True
G1_scalar_roundtrip,RC4,0.0,0.0,True
G1_scalar_roundtrip,RC5,0.0,0.0,True
G1_scalar_roundtrip,RC6,0.0,0.0,True
G2_vector_roundtrip,RC0/V1_ex_unit,0.0,1e-14,True
G2_vector_roundtrip,RC1/V1_ex_unit,0.0,1e-14,True
G2_vector_roundtrip,RC2/V1_ex_unit,0.0,1e-14,True
G2_vector_roundtrip,RC3/V1_ex_unit,0.0,1e-14,True
G2_vector_roundtrip,RC4/V1_ex_unit,0.0,1e-14,True
G2_vector_roundtrip,RC5/V1_ex_unit,0.0,1e-14,True
G2_vector_roundtrip,RC6/V1_ex_unit,0.0,1e-14,True
G2_vector_roundtrip,RC0/V2_ey_unit,0.0,1e-14,True
G2_vector_roundtrip,RC1/V2_ey_unit,0.0,1e-14,True
G2_vector_roundtrip,RC2/V2_ey_unit,0.0,1e-14,True
G2_vector_roundtrip,RC3/V2_ey_unit,0.0,1e-14,True
G2_vector_roundtrip,RC4/V2_ey_unit,0.0,1e-14,True
G2_vector_roundtrip,RC5/V2_ey_unit,0.0,1e-14,True
G2_vector_roundtrip,RC6/V2_ey_unit,0.0,1e-14,True
G2_vector_roundtrip,RC0/V3_ez_unit,0.0,1e-14,True
G2_vector_roundtrip,RC1/V3_ez_unit,0.0,1e-14,True
G2_vector_roundtrip,RC2/V3_ez_unit,0.0,1e-14,True
G2_vector_roundtrip,RC3/V3_ez_unit,0.0,1e-14,True
G2_vector_roundtrip,RC4/V3_ez_unit,0.0,1e-14,True
G2_vector_roundtrip,RC5/V3_ez_unit,0.0,1e-14,True
G2_vector_roundtrip,RC6/V3_ez_unit,0.0,1e-14,True
G2_vector_roundtrip,RC0/V4_varying,0.0,1e-14,True
G2_vector_roundtrip,RC1/V4_varying,0.0,1e-14,True
G2_vector_roundtrip,RC2/V4_varying,0.0,1e-14,True
G2_vector_roundtrip,RC3/V4_varying,0.0,1e-14,True
G2_vector_roundtrip,RC4/V4_varying,0.0,1e-14,True
G2_vector_roundtrip,RC5/V4_varying,0.0,1e-14,True
G2_vector_roundtrip,RC6/V4_varying,0.0,1e-14,True
G3_tensor_roundtrip,RC0,0.0,1e-14,True
G3_tensor_roundtrip,RC1,0.0,1e-14,True
G3_tensor_roundtrip,RC2,0.0,1e-14,True
G3_tensor_roundtrip,RC3,0.0,1e-14,True
G3_tensor_roundtrip,RC4,2.0,1e-14,True
G3_tensor_roundtrip,RC5,2.0,1e-14,True
G3_tensor_roundtrip,RC6,1.28,1e-14,True
G4_pair_direction,RC0/xp,1,1.0,True
G4_pair_direction,RC0/xm,1,1.0,True
G4_pair_direction,RC0/yp,1,1.0,True
G4_pair_direction,RC0/ym,1,1.0,True
G4_pair_direction,RC0/zp,1,1.0,True
G4_pair_direction,RC0/zm,1,1.0,True
G4_pair_direction,RC1/xp,1,1.0,True
G4_pair_direction,RC1/xm,1,1.0,True
G4_pair_direction,RC1/yp,1,1.0,True
G4_pair_direction,RC1/ym,1,1.0,True
G4_pair_direction,RC1/zp,1,1.0,True
G4_pair_direction,RC1/zm,1,1.0,True
G4_pair_direction,RC2/xp,1,1.0,True
