transform,input_direction,expected_output_direction,actual_output_direction,pass
RC0,xp,xp,xp,True
RC0,xm,xm,xm,True
RC0,yp,yp,yp,True
RC0,ym,ym,ym,True
RC0,zp,zp,zp,True
RC0,zm,zm,zm,True
RC1,xp,yp,yp,True
RC1,xm,ym,ym,True
RC1,yp,xp,xp,True
RC1,ym,xm,xm,True
RC1,zp,zp,zp,True
RC1,zm,zm,zm,True
RC2,xp,zp,zp,True
RC2,xm,zm,zm,True
RC2,yp,yp,yp,True
RC2,ym,ym,ym,True
RC2,zp,xp,xp,True
RC2,zm,xm,xm,True
RC3,xp,xp,xp,True
RC3,xm,xm,xm,True
RC3,yp,zp,zp,True
RC3,ym,zm,zm,True
RC3,zp,yp,yp,True
RC3,zm,ym,ym,True
RC4,xp,xp,xp,True
RC4,xm,xm,xm,True
RC4,yp,zp,zp,True
RC4,ym,zm,zm,True
RC4,zp,ym,ym,True
RC4,zm,yp,yp,True
RC5,xp,zm,zm,True
RC5,xm,zp,zp,True
RC5,yp,yp,yp,True
RC5,ym,ym,ym,True
RC5,zp,xp,xp,True
RC5,zm,xm,xm,True
RC6,xp,yp,yp,True
RC6,xm,ym,ym,True
RC6,yp,xm,xm,True
RC6,ym,xp,xp,True
RC6,zp,zp,zp,True
RC6,zm,zm,zm,True
