label,category,stable,finite,bend_max,bend_mean,conservation_residual,mean_velocity_drift,runtime,perp_metric,notes
Ref Exp 6 (control),reference,True,True,6.61807310983852e-05,1.835288318744329e-05,1.399395725876218e-05,1.966209305654449e-07,0.008229970932006836,0.0,exact copy of TRANSPORT-LAB-001 Exp 6
A: parallel (no transverse),A_no_transverse,True,True,9.264478774695384e-06,3.2377456307604603e-06,8.767313320867665e-05,1.0495882277614418e-06,0.008058547973632812,0.0,"response = (gx, gy); gradient direction only"
B: transverse projector only,B_transverse_only,True,True,6.61807310983852e-05,1.835288318744329e-05,1.399395725876218e-05,1.966209305654449e-07,0.008531332015991211,0.0,re-projects r onto direction perp to grad C
C: reversed steering,C_reversed,True,True,6.618101068510736e-05,1.835288330582163e-05,1.4005964103835922e-05,1.9651080935900118e-07,0.008181571960449219,0.0,"response = (gy, -gx); opposite perpendicular"
D: magnitude only (no orientation),D_magnitude_only,True,True,0.0,0.0,8.769449672629825e-05,1.080678026959794e-06,0.008532047271728516,0.0,"response = (|grad C|, 0); loses orientation"
E: scale 1.00,E_scale,True,True,6.61807310983852e-05,1.835288318744329e-05,1.399395725876218e-05,1.966209305654449e-07,0.008147716522216797,0.0,scale=1.0
E: scale 0.75,E_scale,True,True,4.9635574873013296e-05,1.376466245530729e-05,1.0494166680086181e-05,1.4745537467349596e-07,0.008213281631469727,0.0,scale=0.75
E: scale 0.50,E_scale,True,True,3.3090400883784254e-05,9.17644166981149e-06,6.99567902961995e-06,9.829670083357408e-08,0.008326530456542969,0.0,scale=0.5
E: scale 0.25,E_scale,True,True,1.6545209227259167e-05,4.588220846446532e-06,3.4984481331878925e-06,4.91449092162218e-08,0.008219480514526367,0.0,scale=0.25
E: scale 0.10,E_scale,True,True,6.6180857932117555e-06,1.8352883399368822e-06,1.3995253191900758e-06,1.9657137786183784e-08,0.008185148239135742,0.0,scale=0.1
F: radius 1-cell,F_locality,True,True,6.61807310983852e-05,1.835288318744329e-05,1.399395725876218e-05,1.966209305654449e-07,0.011475324630737305,0.0,stencil radius=0 cells
F: radius von Neumann (5 cells),F_locality,True,True,7.392390506920582e-05,2.0692071618945208e-05,1.532031826978475e-05,2.2059391334705581e-07,0.012115716934204102,0.0,stencil radius=1 cells
F: radius Moore (3x3),F_locality,True,True,9.029679579638192e-05,2.5745027956228805e-05,1.8021223086917004e-05,2.715381506932883e-07,0.012191057205200195,0.0,stencil radius=2 cells
G_T: transverse only,G_decomp,True,True,6.61807310983852e-05,1.835288318744329e-05,1.399395725876218e-05,1.966209305654449e-07,0.008121013641357422,0.0,transverse only
G_Grad: gradient only,G_decomp,True,True,9.264478774695384e-06,3.2377456307604603e-06,8.767313320867665e-05,1.0495882277614418e-06,0.008052587509155273,0.0,gradient only
G_Rot: rotational only,G_decomp,True,True,0.0,0.0,0.0003451751786531787,4.84262207527536e-06,0.008753538131713867,0.0,rotational only
G_T+Grad,G_decomp,True,True,6.746844013864657e-05,1.8354235051826263e-05,8.5714342744736e-05,1.0494910997888018e-06,0.007996797561645508,0.0,G_T+Grad
G_T+Rot,G_decomp,True,True,6.62094579014901e-05,1.8358752073629182e-05,0.0003432173306711084,4.842507732595437e-06,0.008653879165649414,0.0,G_T+Rot
G_Grad+Rot,G_decomp,True,True,9.26729497374712e-06,3.238463277934783e-06,0.0004328483118507531,5.892210301321199e-06,0.008369207382202148,0.0,G_Grad+Rot
G_T+Grad+Rot,G_decomp,True,True,6.749773064509448e-05,1.8360104971387157e-05,0.0004308894944843322,5.8920959292555226e-06,0.00858306884765625,0.0,G_T+Grad+Rot
H.1: r projected onto v,H_force_parallel,True,True,0.0,0.0,0.0,0.0,0.008859395980834961,1.0,force response parallel to velocity
H.2: r projected perp to v,H_force_perp,True,True,6.618077003622361e-05,1.8352883240806397e-05,1.1102230246251565e-16,3.546545773108139e-18,0.008992671966552734,3.2185926592954487e-22,force response perpendicular to velocity
H.3: no normalization,H_normalization,False,True,6.618087192175467e-05,1.8352883411007032e-05,4.497978997930474e-05,6.74614557048968e-07,0.007640838623046875,0.328089456244571,normalization removed
H.4: normalize every 2,H_normalization,True,True,6.61807688925035e-05,1.8352883272759664e-05,1.399395724477337e-05,1.286676187215822e-07,0.007942438125610352,0.3280894562622472,normalize every 2 steps
H.4: normalize every 5,H_normalization,True,True,6.61808331325868e-05,1.8352883378690116e-05,3.306889960397186e-05,3.637987363153436e-07,0.007760524749755859,0.3280894562574869,normalize every 5 steps
H.4: normalize every 10,H_normalization,True,True,6.618086951381759e-05,1.8352883409628273e-05,4.308821733878254e-05,5.89837188666299e-07,0.007654428482055664,0.328089456248871,normalize every 10 steps
H.5: perp diagnostic on ref,H_diagnostic,True,True,6.61807310983852e-05,1.835288318744329e-05,2.220446049250313e-16,8.480870326997724e-18,0.008165836334228516,0.3280894562656353,mean |v.r|/(|v||r|) across all photon-steps
H.6: perp diagnostic on parallel,H_diagnostic,True,True,9.264478774695384e-06,3.2377456307604603e-06,1.1102230246251565e-16,7.555684473143426e-18,0.008155107498168945,0.9177480471752602,"mean |v.r|/(|v||r|) across all photon-steps, parallel rule"
