label,hypothesis,bend_max,bend_mean,conservation_residual,speed_drift_pre,speed_drift_pre_max,speed_drift_post,direction_drift,position_error,stable,runtime
Ref: transverse (subtract),reference,6.61807310983852e-05,1.835288318744329e-05,2.220446049250313e-16,1.966209305654449e-07,1.399395725876218e-05,8.480870326997724e-18,1.0876030232817946e-06,0.0005935771863628402,True,0.014947175979614258
A.ref: transverse (subtract+renorm),A,6.61807310983852e-05,1.835288318744329e-05,2.220446049250313e-16,1.966209305654449e-07,1.399395725876218e-05,8.480870326997724e-18,1.0876030232817946e-06,0.0005935771863628402,True,0.01481175422668457
A.par: parallel (subtract+renorm),A,9.264478774695384e-06,3.2377456307604603e-06,1.1102230246251565e-16,1.0495882277614418e-06,8.767313320867665e-05,7.555684473143426e-18,2.3639463504552373e-07,9.935799898870716e-05,True,0.014760255813598633
B.ref: transverse (rotate only),B,1.1618573785288078e-06,4.857210367596522e-07,2.220446049250313e-16,1.9657477959212417e-07,1.3994772747549789e-05,6.1679056923619804e-18,7.355116735697456e-08,1.4220569843738239e-05,True,0.015772342681884766
B.par: parallel (rotate only),B,6.49173027286687e-05,1.883955416375032e-05,1.1102230246251565e-16,1.0495882244788825e-06,8.767354768990376e-05,5.705312765434832e-18,1.1188084704718497e-06,0.0006078156156672595,True,0.015627145767211914
C.ref: transverse energy diag,C,6.61807310983852e-05,1.835288318744329e-05,2.220446049250313e-16,1.966209305654449e-07,1.399395725876218e-05,8.480870326997724e-18,1.0876030232817946e-06,0.0005935771863628402,True,0.014859437942504883
C.par: parallel energy diag,C,9.264478774695384e-06,3.2377456307604603e-06,1.1102230246251565e-16,1.0495882277614418e-06,8.767313320867665e-05,7.555684473143426e-18,2.3639463504552373e-07,9.935799898870716e-05,True,0.014747381210327148
"D.1: r perp to v, mag=|grad C|",D,3.062978088722506e-14,5.0686435244071864e-15,0.0,1.8745753097941058e-11,3.845162410698322e-09,0.0,4.653258903944901e-08,1.071956060168877e-11,True,0.016896486282348633
"D.2: r fixed perp, mag=|grad C|",D,6.618847645585934e-05,1.8837615084189178e-05,2.220446049250313e-16,1.080678020247879e-06,8.769449469703261e-05,1.1719020815487763e-17,1.118354260898026e-06,0.000607778870771792,True,0.01612114906311035
D.3: r tangential to position,D,0.00013238672733880072,3.7120892614646074e-05,2.220446049250313e-16,2.0081465760145455e-07,1.6001418862376937e-05,7.555684473143426e-18,2.163359087415929e-06,0.001199075459810996,True,0.016977310180664062
E.quadratic: perp(test field),E,2.410383748035696,1.166551743445814,2.220446049250313e-16,0.06563127599370251,0.5069219311706965,4.2250153992679566e-17,0.042879259015199116,3224.6011841117074,True,0.015852928161621094
E.sinusoidal: perp(test field),E,3.768795664037193,2.8624290412836038,2.220446049250313e-16,0.009495245948537569,0.026108140670782265,4.0862375211898125e-17,0.02295392022377842,1007.4135327865805,True,0.015703916549682617
E.gaussian_off: perp(test field),E,2.349531772607017e-16,2.6105908584522408e-17,0.0,1.6021135035910245e-16,1.8207657603852567e-14,0.0,4.653258903944901e-08,1.0699442731901736e-11,True,0.015330791473388672
F.1: pure perp to v (const mag),F,1.36511975057374e-08,1.3651197233903937e-08,0.0,1.7774998403441432e-07,1.799999840290667e-07,0.0,4.653258903944901e-08,3.317240990925723e-06,True,0.015446186065673828
F.2: perp to position (const mag),F,0.22718725724302455,0.22109376752984453,2.220446049250313e-16,0.0001911857914399761,0.0004915141632393372,3.7624224723408085e-17,0.0011399402695307973,53.97954471740989,True,0.01498103141784668
"F.3: vortex r = (-y, x) const",F,0.15483061645585128,0.14974212771936093,2.220446049250313e-16,9.999389269130074e-05,0.00019999771779311004,3.9937189358043825e-17,0.0006901879972338401,38.50251029974795,True,0.014329671859741211
