module_id,module_name,source_sha256,independent_validation,wrong_control,unit_status,integration_status,freeze_status,reason
M01,conventions,22d440e7c58ddeecb2c1e7fc774b6a62d67439e8ff2b6cbf5522bf431d62e054,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M02,coordinate_transforms,ce7dcf894a1ff1341d8de59d5bd75b42b6c81b0786e21752dcdfa61beb2ade38,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M03,vector_transforms,ee04e46fb1c8ac9bf33019bb2684f662b3dbe71642b2a1f28e6c83dc7d5101c4,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M04,tensor_transforms,6ca29cf1a875dd61f966016ff157f2167552235f11b25f0542a9192096247ac0,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M05,pair_enumeration,c39d1f01cac2afe5b6286f403a9fa16d544bb3735506406e7695c6a7e22bb386,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M06,a8_pair_amplitude,79261ab7f3ce69722a369a76324d4c13ead6fa35b706229720b8bed8a52b1c11,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M07,transverse_projector,3fe82fa33bacb5d544e2c50a5d88a8e40eb76428b2657a1c037128e18ebb1bbc,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M08,pair_transfer,8ad1ed47011928cce719c16dc52a114680235202c29833c74919556f541598b3,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M09,pair_transfer,8ad1ed47011928cce719c16dc52a114680235202c29833c74919556f541598b3,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M10,midpoint_rasterization,aee44348180e5f0ddf991a443cf52e0503fac3f2c617344f0a2db9a9680ffd99,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M11,field_diagnostics,e975d5cface916b3a7a6f9082f18f97b7a9643c6dae917e9197de35519b43790,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M12,differential_operators,ff6977ead05c4cbd0f6c65b2cc01457cdc9e7b218a195cf691483506b06fc3f9,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M13,helmholtz_3d,747b2006f6eff3ca6e8c8bb30ece47bea9c6a71bd0c3396a91df5993c8aebc59,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M14,los_projection,2bed6a1c65806573b17e459fb4cc43781ef632dc016cb09df8238665eb302cb0,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M15,ray_interface,12d68f794551cf054913a8acbf5c9c38d96c77653afbcff0233122cbbfaab940,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
M16,observable_extraction,b63f01a6f182773bc015eb7ac7e3be8062461a10c74d2310a6f401f1b968f1a8,PASS,PASS,PASS,PASS,FROZEN,all checks pass and no protected-function violations
