rank,candidate_number,candidate_name,candidate_family,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,mean_kappa_bias,improvement_vs_control_pearson_kappa,improvement_vs_control_ssim_kappa,improvement_vs_control_kappa_bias
1,10,Combined Local Response,combined response,0.10339683814108096,0.08236006923316277,-0.01173258724612844,-0.061180008043671144,0.013886752833729518,-0.0011530095711572291,0.0011673398185465256
2,6,Phase-Coherent Response,phase coherence,0.09670267155981405,0.0756994110087377,-0.006100102026690792,-0.05888187420690869,0.007192586252462607,0.004479475648280418,0.0034654736553089774
3,4,Elastic Memory,elastic memory,0.09458271637575731,0.08242904852747251,-0.009290403902590946,-0.0625772018495527,0.005072631068405872,0.001289173772380265,-0.00022985398733503526
4,3,Cooperative Neighbour Response,cooperative response,0.09390719107780873,0.08036447397255711,-0.0006716969215228043,-0.06114439646382151,0.0043971057704572936,0.009907880753448407,0.001202951398396157
5,2,Local Neighbour Coherence,neighbour coherence,0.09346934011095259,0.08103140360220147,-0.012931028445331609,-0.0608517029498576,0.003959254803601153,-0.0023514507703603985,0.0014956449123600668
6,5,Gradient Curvature,gradient curvature,0.09282796974857636,0.08344616310096478,-0.009397399729156486,-0.0627546074308692,0.0033178844412249248,0.0011821779458147247,-0.0004072595686515357
7,7,Relaxation Response,relaxation,0.0899244116982756,0.07961756123592502,-0.004698540450767815,-0.06170543222984626,0.0004143263909241607,0.005881037224203396,0.000641915632371412
8,1,Gradient (control),gradient,0.08951008530735144,0.08360319633681881,-0.01057957767497121,-0.06234734786221767,0.0,0.0,0.0
9,9,Constitutive Coupling,constitutive coupling,0.08944883970143155,0.08423177533458921,-0.010615365032790697,-0.062469792298139995,-6.124560591988515e-05,-3.578735781948651e-05,-0.00012244443592232535
10,8,Weak-Gradient Enhancement,weak-gradient enhancement,0.06768269648002563,-0.02734154656745164,0.0018039969064904036,-0.0652026430859032,-0.021827388827325808,0.012383574581461615,-0.002855295223685536
