architecture_family,attenuation_log,attenuation_score,closest_ratio_value,closest_stable_ratio,cluster,cluster_id,coherence_length,dispersion_class,energy_final,energy_initial,group_velocity_normalized,helicity,laboratory_id,longitudinal_energy_fraction,longitudinal_score,mode_conversion_fraction,mode_stability,model,number_of_wave_modes,perturbation,phase_velocity_normalized,polarization_axis,polarization_like,propagating_score,relative_distance_to_3alpha,relative_distance_to_alpha,spatial_dimension,standing_score,transverse_1_energy_fraction,transverse_2_energy_fraction,transverse_score
D1 (control),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49739832006263723,,0.9963426112983473,,2,,0.0,,0.010209502942145843,0.0,inf,inf,,0.0,,,0.629968716201571
D1 (control),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49646362631782104,,0.9980887922650928,,2,,0.0,,0.01628914385961644,0.0,inf,inf,,0.0,,,0.6924864560809377
D1 (control),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4944143178653349,,0.9950458777992539,,2,,0.0,,0.02790992524963698,0.0,inf,inf,,0.0,,,0.7632579447931696
D1 (control),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49709227440621784,,0.9951585495508779,,2,,0.0,,0.014816175347728278,0.0,inf,inf,,0.0,,,0.7559740997485407
D1 (control),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49800549405210726,,0.9928624928457311,,2,,0.0,,0.008265516222426994,0.0,inf,inf,,0.0,,,0.5551846791092163
D2 (single_layer),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.5,,0.9834264698071462,,1,,0.0,,1.0,0.0,inf,inf,,0.0,,,0.0
D2 (single_layer),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.5,,0.9834396501854269,,1,,0.0,,1.0,0.0,inf,inf,,0.0,,,0.0
D2 (single_layer),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.5,,0.9849729719804391,,1,,0.0,,1.0,0.0,inf,inf,,0.0,,,0.0
D2 (single_layer),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.5,,0.9868306984458899,,1,,0.0,,1.0,0.0,inf,inf,,0.0,,,0.0
D2 (single_layer),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.5,,0.9810869788933279,,1,,0.0,,1.0,0.0,inf,inf,,0.0,,,0.0
